Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""",4,"=""""","=""0.0000""","=""""","=""0""","=""                                                   ""","=""L4995"""
"=""2s2.2p5""","=""2P*""","=""1/2""",2,"=""""","=""0.2762""","=""""","=""""","=""                                                   ""","="""""
"=""2s.2p6""","=""2S""","=""1/2""",2,"=""""","=""38.6250""","=""""","=""""","=""  99             :     1  2p4.(1D).3d        2S    ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""67.41274""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""67.58845""","=""""","=""""","=""  99             :     1  2s2.2p4.(3P).3s    2P    ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""67.68984""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""68.64585""","=""""","=""""","=""  99             :     1  2s2.2p4.(3P).3s    4P    ""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""68.85362""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""72.22853""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""72.23052""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""73.95928""","=""""","=""""","=""  99             :     1  2s2.2p4.(3P).3p    4D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""74.02671""","=""""","=""""","=""  99             :     1  2s2.2p4.(3P).3p    4D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""74.09092""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""74.77959""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""74.88684""","=""""","=""""","=""  96             :     3  2s2.2p4.(3P).3p    2D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""74.96864""","=""""","=""""","=""  98             :     1  2s2.2p4.(3P).3p    2D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""",2,"=""""","=""75.01459""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""",6,"=""""","=""75.36897""","=""""","=""""","=""  97             :     3  2s2.2p4.(3P).3p    4D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""",4,"=""""","=""75.54429""","=""""","=""""","=""  96             :     3  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""*""","=""1/2""",2,"=""""","=""75.75226""","=""o""","=""""","=""  43  2P*        :    41  2s2.2p4.(3P).3p    2S*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""",4,"=""""","=""75.90714""","=""""","=""""","=""  93             :     4  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",4,"=""""","=""75.94052""","=""""","=""""","=""  69             :    20  2s2.2p4.(1D).3p    2P*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""*""","=""1/2""",2,"=""""","=""75.99531""","=""o""","=""""","=""  58  2S*        :    31  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(1S).3s""","=""2S""","=""1/2""",2,"=""""","=""77.37973""","=""""","=""""","=""  99             :     1  2s2.2p4.(1D).3d    2S    ""","="""""
"=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""",6,"=""""","=""79.08700""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3p""","=""2F*""","=""7/2""",8,"=""""","=""79.11592""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3p""","=""2D*""","=""3/2""",4,"=""""","=""79.92560""","=""""","=""""","=""  99             :     1  2s2.2p4.(1D).3p    2P*   ""","="""""
"=""2s2.2p4.(1D).3p""","=""2D*""","=""5/2""",6,"=""""","=""79.94332""","=""""","=""""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3p""","=""2P*""","=""3/2""",4,"=""""","=""80.59737""","=""""","=""""","=""  76             :    24  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(1D).3p""","=""2P*""","=""1/2""",2,"=""""","=""80.72536""","=""""","=""""","=""  75             :    25  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""83.16688""","=""""","=""""","=""  98             :     2  2s2.2p4.(3P).3d    4F    ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""83.19697""","=""""","=""""","=""  97             :     1  2s2.2p4.(3P).3d    4F    ""","="""""
