obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""11.81641""","=""4g*""","=""""",,"=""0.0000""","=""104.9255""","=""2s2.2p5""","=""2P*""","=""3/2""","=""""","=""2D?""","=""3/2""",4,4,,"=""""","=""L1965""",
"=""""","=""11.81641""","=""4g*""","=""""",,"=""0.0000""","=""104.9255""","=""2s2.2p5""","=""2P*""","=""3/2""","=""""","=""2D?""","=""5/2""",4,6,,"=""""","=""L1965""",
"=""11.8424""","=""11.84239""","=""5g*""","=""""",,"=""0.0000""","=""104.6952""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1S).4d?""","=""2D?""","=""5/2""",4,6,,"=""""","=""L1965""",
"=""11.8476""","=""11.84784""","=""4g,bl""","=""""",,"=""0.0000""","=""104.6471""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).5d?""","=""2P?""","=""1/2""",4,2,,"=""""","=""L1965""",
"=""11.8487""","=""11.84871""","=""3g,bl""","=""""",,"=""0.0000""","=""104.6394""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).5d?""","=""2P?""","=""3/2""",4,4,,"=""""","=""L1965""",
"=""11.8737""","=""11.87372""","=""4g""","=""""",,"=""0.2762""","=""104.6952""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1S).4d?""","=""2D?""","=""3/2""",2,4,,"=""""","=""L1965""",
"=""11.8792""","=""11.87919""","=""4g,bl""","=""""",,"=""0.2762""","=""104.6471""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).5d?""","=""2P?""","=""1/2""",2,2,,"=""""","=""L1965""",
"=""12.1542""","=""12.15460""","=""5g*""","=""""",,"=""0.0000""","=""102.0060""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).5s""","=""2D""","=""3/2""",4,4,,"=""""","=""L1965""",
"=""12.1542""","=""12.15460""","=""5g*""","=""""",,"=""0.0000""","=""102.0060""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).5s""","=""2D""","=""5/2""",4,6,,"=""""","=""L1965""",
"=""12.1873""","=""12.18760""","=""1g""","=""""",,"=""0.2762""","=""102.0060""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).5s""","=""2D""","=""3/2""",2,4,,"=""""","=""L1965""",
"=""12.3169""","=""12.31697""","=""2g""","=""""",,"=""0.0000""","=""100.6613""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""""","=""3/2""",4,4,,"=""""","=""L1965""",
"=""12.3266""","=""12.32660""","=""8g""","=""""",,"=""0.0000""","=""100.5827""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L1965""",
"=""12.3367""","=""12.3367""","=""6g,bl""","=""""",,"=""0.0000""","=""100.500""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""""","=""3/2?""",4,4,,"=""""","=""L1965""",
"=""12.3377""","=""12.33818""","=""2g,bl""","=""""",,"=""0.0000""","=""100.4882""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""""","=""1/2?""",4,2,,"=""""","=""L1965""",
"=""12.3401""","=""12.34010""","=""4g""","=""""",,"=""0.0000""","=""100.4726""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""4F?""","=""5/2""",4,6,,"=""""","=""L1965""",
"=""12.3417""","=""12.34189""","=""3g""","=""""",,"=""0.0000""","=""100.4581""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""4F?""","=""3/2""",4,4,,"=""""","=""L1965""",
"=""12.3508""","=""12.35086""","=""7g""","=""""",,"=""0.2762""","=""100.6613""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).5d""","=""""","=""3/2""",2,4,,"=""""","=""L1965""",
"=""12.3567""","=""12.35689""","=""5g""","=""""",,"=""0.0000""","=""100.3361""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""""","=""1/2?""",4,2,,"=""""","=""L1965""",
"=""12.3590""","=""12.35900""","=""7g""","=""""",,"=""0.0000""","=""100.3190""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""2F?""","=""5/2""",4,6,,"=""""","=""L1965""",
"=""12.3613""","=""12.36147""","=""0g""","=""""",,"=""0.0000""","=""100.2989""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5d""","=""4P""","=""1/2""",4,2,,"=""""","=""L1965""",
"=""12.3708""","=""12.3707""","=""2g,bl""","=""""",,"=""0.2762""","=""100.500""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).5d""","=""""","=""3/2?""",2,4,,"=""""","=""L1965""",
"=""12.3722""","=""12.37220""","=""4g,bl""","=""""",,"=""0.2762""","=""100.4882""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).5d""","=""""","=""1/2?""",2,2,,"=""""","=""L1965""",
