spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Mg IX,Mg,8,1s2.2s2,1S,0.0,1,0.0,0.0,even,,no,327.99,,,,,,,,,,L4995
Mg IX,Mg,8,1s2.2s.2p,3P*,0.0,1,17.4203,,odd,,no,327.99,,,,,,,,,,
Mg IX,Mg,8,1s2.2s.2p,3P*,1.0,3,17.56,,odd,,no,327.99,1.106194375783236e-05,"ASD 1/sum(Aki), J-resolved",1.106194375783236e-05,2/2,yes,17.56,17.56,,,
Mg IX,Mg,8,1s2.2s.2p,3P*,2.0,5,17.865,,odd,,no,327.99,3.067477840731796,"ASD 1/sum(Aki), J-resolved",3.067477840731796,4/4,yes,0.3049999999999997,17.865,,,
Mg IX,Mg,8,1s2.2s.2p,1P*,1.0,3,33.6849,,odd,,no,327.99,1.9417475645735503e-10,"ASD 1/sum(Aki), J-resolved",1.9417475645735503e-10,6/6,yes,33.6849,33.6849,,,
Mg IX,Mg,8,1s2.2p2,3P,0.0,1,45.3604,,even,,no,327.99,2.518806035110668e-10,"ASD 1/sum(Aki), J-resolved",2.518806035110668e-10,3/3,yes,27.8004,27.8004,,,
Mg IX,Mg,8,1s2.2p2,3P,1.0,3,45.5219,,even,,no,327.99,2.4937582447554406e-10,"ASD 1/sum(Aki), J-resolved",2.4937582447554406e-10,9/9,yes,27.656900000000004,45.5219,,,
Mg IX,Mg,8,1s2.2p2,3P,2.0,5,45.791,,even,,no,327.99,2.468882204011253e-10,"ASD 1/sum(Aki), J-resolved",2.468882204011253e-10,11/11,yes,27.926,45.791,,,
Mg IX,Mg,8,1s2.2p2,1D,2.0,5,50.23,,even,,no,327.99,1.2524392191584313e-09,"ASD 1/sum(Aki), J-resolved",1.2524392191584313e-09,13/13,yes,16.545099999999998,50.23,,,
Mg IX,Mg,8,1s2.2p2,1S,0.0,1,61.9466,,even,,no,327.99,1.319261177752871e-10,"ASD 1/sum(Aki), J-resolved",1.319261177752871e-10,5/5,yes,28.261699999999998,44.081599999999995,,,
Mg IX,Mg,8,1s2.2s.3s,3S,1.0,3,190.0,,even,,no,327.99,7.467742340187326e-12,"ASD 1/sum(Aki), J-resolved",7.467742340187326e-12,4/4,yes,172.135,172.5797,,,
Mg IX,Mg,8,1s2.2s.3s,1S,0.0,1,193.177,,even,,no,327.99,2.272604345492221e-11,"ASD 1/sum(Aki), J-resolved",2.272604345492221e-11,2/2,yes,159.4921,175.617,,,
Mg IX,Mg,8,1s2.2s.3p,1P*,1.0,3,197.581,,odd,,no,327.99,3.198201842995794e-12,"ASD 1/sum(Aki), J-resolved",3.198201842995794e-12,8/8,yes,197.581,197.581,,,
Mg IX,Mg,8,1s2.2s.3p,3P*,1.0,3,198.06,,odd,,no,327.99,1.4914131885668264e-10,"ASD 1/sum(Aki), J-resolved",1.4914131885668264e-10,6/6,yes,198.06,198.06,,,
