obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""9.2432""","=""""","=""2.26e+10""",D+,"=""0.00000""","=""134.136""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).5d?""","=""3P*?""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""""","=""9.2432""","=""""","=""1.26e+10""",D,"=""0.00000""","=""134.136""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).5d?""","=""3P*?""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""9.2584""","=""""","=""7.50e+09""",E,"=""0.22108""","=""134.136""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).5d?""","=""3P*?""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""""","=""9.2584""","=""""","=""7.52e+09""",D,"=""0.22108""","=""134.136""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).5d?""","=""3P*?""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""""","=""9.2648""","=""""","=""9.97e+09""",E,"=""0.31266""","=""134.136""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2D*).5d?""","=""3P*?""","=""1""",1,3,,"=""c57,LS""","=""""",
"=""""","=""9.3104""","=""""","=""1.58e+09""",D,"=""4.4543""","=""137.621?""","=""2s2.2p4""","=""1D""","=""2""","=""2s2.2p3.(2P*).5d""","=""1D*""","=""2""",5,5,,"=""c6,LS""","=""""",
"=""""","=""9.5554""","=""""","=""6.42e+10""",C,"=""4.4543""","=""134.207?""","=""2s2.2p4""","=""1D""","=""2""","=""2s2.2p3.(2D*).5d""","=""1F*""","=""3""",5,7,,"=""c57""","=""""",
"=""""","=""9.5798""","=""200g""","=""3.28e+10""",C,"=""0.00000""","=""129.422""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""3""",5,7,,"=""c57,LS""","=""L5142""",
"=""""","=""9.5798""","=""""","=""9.12e+08""",E,"=""0.00000""","=""129.422""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""9.5798""","=""""","=""8.21e+09""",D,"=""0.00000""","=""129.422""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""9.5896""","=""9.5896""","=""100g""","=""1.33e+10""",D,"=""0.00000""","=""129.291""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""2""",5,5,,"=""c57,LS""","=""L5142""",
"=""9.5914""","=""9.5917""","=""50g""","=""7.36e+09""",E,"=""0.00000""","=""129.262""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""1""",5,3,,"=""c57,LS""","=""L5142""",
"=""""","=""9.5962""","=""""","=""1.36e+10""",D,"=""0.22108""","=""129.422""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""9.5963""","=""9.5962""","=""100g""","=""2.45e+10""",D+,"=""0.22108""","=""129.422""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""2""",3,5,,"=""c57,LS""","=""L5142""",
"=""9.6029""","=""9.6030""","=""80g""","=""1.81e+10""",D,"=""0.31266""","=""129.422""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2P*).4d?""","=""3D*?""","=""1""",1,3,,"=""c57,LS""","=""L5142""",
"=""""","=""9.6060""","=""""","=""4.38e+09""",E,"=""0.22108""","=""129.291""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""9.6083""","=""9.6081""","=""100g,bl""","=""4.39e+09""",E,"=""0.22108""","=""129.262""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""1""",3,3,,"=""c57,LS""","=""L5142""",
"=""9.6150""","=""9.6149""","=""10g,bl""","=""5.84e+09""",E,"=""0.31266""","=""129.262""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2P*).4d?""","=""3P*?""","=""1""",1,3,,"=""c57,LS""","=""L5142""",
"=""9.7391""","=""9.7392""","=""100g""","=""2.33e+10""",D+,"=""0.00000""","=""127.304""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""3""",5,7,,"=""c57,LS""","=""L5142""",
"=""""","=""9.7392""","=""""","=""5.83e+09""",E,"=""0.00000""","=""127.304""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""""","=""9.7392""","=""""","=""6.48e+08""",E,"=""0.00000""","=""127.304""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""9.7440""","=""""","=""200g""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5142""",
"=""""","=""9.7561""","=""""","=""9.67e+09""",E,"=""0.22108""","=""127.304""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""1""",3,3,,"=""c57,LS""","=""""",
