Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p2""","=""3P""","=""0""",1,"=""""","=""0.0000""","=""""","=""0""","=""L4995"""
"=""2s2.2p2""","=""3P""","=""1""",3,"=""""","=""0.1373""","=""""","=""""","="""""
"=""2s2.2p2""","=""3P""","=""2""",5,"=""""","=""0.3625""","=""""","=""""","="""""
"=""2s2.2p2""","=""1D""","=""2""",5,"=""""","=""5.0769""","=""""","=""""","="""""
"=""2s2.2p2""","=""1S""","=""0""",1,"=""""","=""10.5576""","=""""","=""""","="""""
"=""2s.2p3""","=""5S*""","=""2""",5,"=""""","=""14.64""","=""+x""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""3""",7,"=""""","=""28.8701""","=""""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""2""",5,"=""""","=""28.8830""","=""""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""1""",3,"=""""","=""28.8913""","=""""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""1""",3,"=""""","=""34.0829""","=""""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""2""",5,"=""""","=""34.0838""","=""""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""0""",1,"=""""","=""34.0891""","=""""","=""""","="""""
"=""2s.2p3""","=""1D*""","=""2""",5,"=""""","=""43.9401""","=""""","=""""","="""""
"=""2s.2p3""","=""3S*""","=""1""",3,"=""""","=""44.8968""","=""""","=""""","="""""
"=""2s.2p3""","=""1P*""","=""1""",3,"=""""","=""49.2407""","=""""","=""""","="""""
"=""2p4""","=""3P""","=""2""",5,"=""""","=""67.2386""","=""""","=""""","="""""
"=""2p4""","=""3P""","=""1""",3,"=""""","=""67.4961""","=""""","=""""","="""""
"=""2p4""","=""3P""","=""0""",1,"=""""","=""67.6041""","=""""","=""""","="""""
"=""2p4""","=""1D""","=""2""",5,"=""""","=""71.450""","=""""","=""""","="""""
"=""2p4""","=""1S""","=""0""",1,"=""""","=""81.636""","=""""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""129.887""","=""""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""129.985""","=""""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""130.294""","=""""","=""""","="""""
"=""2s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""131.551""","=""""","=""""","="""""
"=""2s2.2p.3p""","=""3P""","=""0""",1,"=""""","=""139.326""","=""?""","=""""","="""""
"=""2s2.2p.3p""","=""3P""","=""1""",3,"=""""","=""139.475""","=""""","=""""","="""""
"=""2s2.2p.3p""","=""3P""","=""2""",5,"=""""","=""139.586""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3F*""","=""3""",7,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3F*""","=""4""",9,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3F*""","=""2""",5,"=""""","=""146.146""","=""""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""1""",3,"=""""","=""""","=""""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""2""",5,"=""""","=""146.296""","=""+x""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""3""",7,"=""""","=""146.480""","=""+x""","=""""","="""""
"=""2s2.2p.3d""","=""1D*""","=""2""",5,"=""""","=""146.414""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3D*""","=""1""",3,"=""""","=""147.758""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3D*""","=""2""",5,"=""""","=""147.810""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3D*""","=""3""",7,"=""""","=""147.919""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""2""",5,"=""""","=""148.378""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""1""",3,"=""""","=""148.465""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""0""",1,"=""""","=""148.514""","=""""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""3P""","=""0""",1,"=""""","=""150.165""","=""?""","=""""","="""""
