spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Mg VII,Mg,6,2s2.2p2,3P,0.0,1,0.0,0.0,even,,no,225.02,,,,,,,,,,L4995
Mg VII,Mg,6,2s2.2p2,3P,1.0,3,0.1373,,even,,no,225.02,41.1522633744856,"ASD 1/sum(Aki), J-resolved",41.1522633744856,1/1,yes,0.1373,0.1373,,,
Mg VII,Mg,6,2s2.2p2,3P,2.0,5,0.3625,,even,,no,225.02,12.578573727449532,"ASD 1/sum(Aki), J-resolved",12.578573727449532,3/3,yes,0.22519999999999998,0.3625,,,
Mg VII,Mg,6,2s2.2p2,1D,2.0,5,5.0769,,even,,no,225.02,0.23081953167178662,"ASD 1/sum(Aki), J-resolved",0.23081953167178662,5/5,yes,4.7144,5.0769,,,
Mg VII,Mg,6,2s2.2p2,1S,0.0,1,10.5576,,even,,no,225.02,0.024882740087338415,"ASD 1/sum(Aki), J-resolved",0.024882740087338415,3/3,yes,10.420300000000001,10.420300000000001,,,
Mg VII,Mg,6,2s.2p3,5S*,2.0,5,14.64,,odd,,no,225.02,11.172677970580924,"ASD 1/sum(Aki), J-resolved",11.172677970580924,5/5,yes,14.5027,14.64,,,
Mg VII,Mg,6,2s.2p3,3D*,3.0,7,28.8701,,odd,,no,225.02,4.761904757070272e-10,"ASD 1/sum(Aki), J-resolved",4.761904757070272e-10,6/6,yes,28.5076,28.7328,,,
Mg VII,Mg,6,2s.2p3,3D*,2.0,5,28.883,,odd,,no,225.02,4.672897192633538e-10,"ASD 1/sum(Aki), J-resolved",4.672897192633538e-10,11/11,yes,28.7457,28.883,,,
Mg VII,Mg,6,2s.2p3,3D*,1.0,3,28.8913,,odd,,no,225.02,4.568296024316227e-10,"ASD 1/sum(Aki), J-resolved",4.568296024316227e-10,11/11,yes,28.8913,28.8913,,,
Mg VII,Mg,6,2s.2p3,3P*,1.0,3,34.0829,,odd,,no,225.02,1.818181810981806e-10,"ASD 1/sum(Aki), J-resolved",1.818181810981806e-10,13/13,yes,33.720400000000005,34.0829,,,
Mg VII,Mg,6,2s.2p3,3P*,2.0,5,34.0838,,odd,,no,225.02,1.818181806222611e-10,"ASD 1/sum(Aki), J-resolved",1.818181806222611e-10,15/15,yes,33.7213,34.0838,,,
Mg VII,Mg,6,2s.2p3,3P*,0.0,1,34.0891,,odd,,no,225.02,1.851851849117967e-10,"ASD 1/sum(Aki), J-resolved",1.851851849117967e-10,8/8,yes,33.9518,33.9518,,,
Mg VII,Mg,6,2s.2p3,1D*,2.0,5,43.9401,,odd,,no,225.02,1.1235955029975598e-10,"ASD 1/sum(Aki), J-resolved",1.1235955029975598e-10,19/19,yes,38.8632,43.9401,,,
Mg VII,Mg,6,2s.2p3,3S*,1.0,3,44.8968,,odd,,no,225.02,3.5714285693187664e-11,"ASD 1/sum(Aki), J-resolved",3.5714285693187664e-11,20/20,yes,44.5343,44.8968,,,
Mg VII,Mg,6,2s.2p3,1P*,1.0,3,49.2407,,odd,,no,225.02,3.9525691625800984e-11,"ASD 1/sum(Aki), J-resolved",3.9525691625800984e-11,17/17,yes,44.163799999999995,49.10339999999999,,,
Mg VII,Mg,6,2p4,3P,2.0,5,67.2386,,even,,no,225.02,4.212038889990946e-05,"ASD 1/sum(Aki), J-resolved",4.212038889990946e-05,4/7,no,67.10130000000001,67.2386,,,
Mg VII,Mg,6,2p4,3P,1.0,3,67.4961,,even,,no,225.02,3.658434238437281e-05,"ASD 1/sum(Aki), J-resolved",3.658434238437281e-05,6/10,no,67.1336,67.4961,,,
Mg VII,Mg,6,2p4,3P,0.0,1,67.6041,,even,,no,225.02,2.724330945184827e-05,"ASD 1/sum(Aki), J-resolved",2.724330945184827e-05,3/6,no,67.2416,67.4668,,,
Mg VII,Mg,6,2p4,1D,2.0,5,71.45,,even,,no,225.02,0.029381519024533564,"ASD 1/sum(Aki), J-resolved",0.029381519024533564,3/5,no,71.3127,71.45,,,
Mg VII,Mg,6,2p4,1S,0.0,1,81.636,,even,,no,225.02,1.571866309249418e-05,"ASD 1/sum(Aki), J-resolved",1.571866309249418e-05,3/4,no,76.5591,81.4987,,,
Mg VII,Mg,6,2s2.2p.3s,3P*,0.0,1,129.887,,odd,,no,225.02,1.941747572815534e-11,"ASD 1/sum(Aki), J-resolved",1.941747572815534e-11,1/1,yes,129.7497,129.7497,,,
Mg VII,Mg,6,2s2.2p.3s,3P*,1.0,3,129.985,,odd,,no,225.02,1.9266709053426583e-11,"ASD 1/sum(Aki), J-resolved",1.9266709053426583e-11,5/5,yes,129.6225,129.985,,,
Mg VII,Mg,6,2s2.2p.3s,3P*,2.0,5,130.294,,odd,,no,225.02,1.9248833520688647e-11,"ASD 1/sum(Aki), J-resolved",1.9248833520688647e-11,3/3,yes,129.9315,130.1567,,,
Mg VII,Mg,6,2s2.2p.3s,1P*,1.0,3,131.551,,odd,,no,225.02,1.2450168201772406e-11,"ASD 1/sum(Aki), J-resolved",1.2450168201772406e-11,5/5,yes,126.47409999999999,131.551,,,
Mg VII,Mg,6,2s2.2p.3p,3P,0.0,1,139.326,,even,yes,no,225.02,1.3267174357205402e-10,"ASD 1/sum(Aki), J-resolved",1.3267174357205402e-10,4/4,yes,110.43469999999999,110.43469999999999,,,
Mg VII,Mg,6,2s2.2p.3p,3P,1.0,3,139.475,,even,,no,225.02,1.3310616547758492e-10,"ASD 1/sum(Aki), J-resolved",1.3310616547758492e-10,9/9,yes,110.592,110.592,,,
Mg VII,Mg,6,2s2.2p.3p,3P,2.0,5,139.586,,even,,no,225.02,1.1855364552459988e-10,"ASD 1/sum(Aki), J-resolved",1.1855364552459988e-10,8/8,yes,110.7159,110.7159,,,
Mg VII,Mg,6,2s2.2p.3d,3F*,2.0,5,146.146,,odd,,no,225.02,,,,,,,,,,
Mg VII,Mg,6,2s.2p2.(4P).3s,5P,2.0,5,146.296,,even,,no,225.02,2.8169014084507044e-11,"ASD 1/sum(Aki), J-resolved",2.8169014084507044e-11,1/1,yes,131.656,131.656,,,
