conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,3P,1.0,3.0,0.1373,0.1373,9030.1674,0.0243,8.9121e-08,8.9121e-08,2.3653e-09
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,3P,2.0,5.0,0.3625,0.3625,3420.25375,2.24e-07,1.9642e-13,1.9642e-13,5.2131e-15
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,1D,2.0,5.0,5.0769,5.0769,244.21241,0.000125,5.5882e-13,5.5882e-13,1.4831e-14
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,5S*,2.0,5.0,14.64,14.64,84.68866,0.0194,1.043e-11,1.043e-11,2.7681e-13
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3D*,2.0,5.0,28.883,28.883,42.92636,0.475,6.561e-11,6.561e-11,1.7413e-12
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3D*,1.0,3.0,28.8913,28.8913,42.91403,1200000000.0,0.099394,0.099394,0.0026379
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3P*,1.0,3.0,34.0829,34.0829,36.37724,1800000000.0,0.10713,0.10713,0.0028432
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3P*,2.0,5.0,34.0838,34.0838,36.37628,0.207,2.0532e-11,2.0532e-11,5.4493e-13
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,1D*,2.0,5.0,43.9401,43.9401,28.21664,2.35,1.4025e-10,1.4025e-10,3.7223e-12
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3S*,1.0,3.0,44.8968,44.8968,27.61538,3500000000.0,0.12005,0.12005,0.003186
2s2.2p2,3P,0.0,1.0,0.0,2p4,3P,2.0,5.0,67.2386,67.2386,18.43944,7340.0,1.8708e-07,1.8708e-07,4.965e-09
2s2.2p2,3P,0.0,1.0,0.0,2p4,3P,1.0,3.0,67.4961,67.4961,18.36909,0.415,6.298e-12,6.298e-12,1.6715e-13
2s2.2p2,3P,0.0,1.0,0.0,2p4,1D,2.0,5.0,71.45,71.45,17.35258,0.689,1.5552e-11,1.5552e-11,4.1274e-13
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3s,3P*,1.0,3.0,129.985,129.985,9.53835,17100000000.0,0.069972,0.069972,0.0018571
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3s,1P*,1.0,3.0,131.551,131.551,9.4248,104000000.0,0.00041549,0.00041549,1.1027e-05
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3d,3D*,1.0,3.0,147.758,147.758,8.39103,297000000000.0,0.94052,0.94052,0.024961
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3d,3P*,1.0,3.0,148.465,148.465,8.35107,38600000000.0,0.12107,0.12107,0.0032133
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3d,1P*,1.0,3.0,150.368,150.368,8.24538,535000000.0,0.0016359,0.0016359,4.3417e-05
2s2.2p2,3P,0.0,1.0,0.0,2s.2p2.(4P).3p,3S*?,,3.0,153.159,153.159,8.09513,16600000000.0,0.048926,0.048926,0.0012985
2s2.2p2,3P,0.0,1.0,0.0,2s.2p2.(4P).3p,3P*?,1.0,3.0,158.266,158.266,7.83391,29000000000.0,0.080045,0.080045,0.0021244
2s2.2p2,3P,1.0,3.0,0.1373,2s2.2p2,3P,2.0,5.0,0.3625,0.2252,5505.51503,4.54e-08,3.4384e-14,1.0315e-13,9.1256e-16
2s2.2p2,3P,1.0,3.0,0.1373,2s2.2p2,3P,2.0,5.0,0.3625,0.2252,5505.51503,0.0795,6.021e-08,1.8063e-07,1.598e-09
2s2.2p2,3P,1.0,3.0,0.1373,2s2.2p2,1D,2.0,5.0,5.0769,4.9396,251.00048,0.000334,5.2578e-13,1.5773e-12,1.3954e-14
2s2.2p2,3P,1.0,3.0,0.1373,2s2.2p2,1D,2.0,5.0,5.0769,4.9396,251.00048,1.2,1.889e-09,5.6671e-09,5.0135e-11
2s2.2p2,3P,1.0,3.0,0.1373,2s2.2p2,1S,0.0,1.0,10.5576,10.4203,118.98333,36.2,2.5611e-09,7.6832e-09,6.797e-11
2s2.2p2,3P,1.0,3.0,0.1373,2s.2p3,5S*,2.0,5.0,14.64,14.5027,85.49042,0.0411,7.5056e-12,2.2517e-11,1.992e-13
2s2.2p2,3P,1.0,3.0,0.1373,2s.2p3,3D*,3.0,7.0,28.8701,28.7328,43.15075,0.447,2.9115e-11,8.7346e-11,7.7272e-13
2s2.2p2,3P,1.0,3.0,0.1373,2s.2p3,3D*,2.0,5.0,28.883,28.7457,43.13139,0.486,2.2591e-11,6.7772e-11,5.9956e-13
2s2.2p2,3P,1.0,3.0,0.1373,2s.2p3,3D*,2.0,5.0,28.883,28.7457,43.13139,1600000000.0,0.074373,0.22312,0.0019739
2s2.2p2,3P,1.0,3.0,0.1373,2s.2p3,3D*,1.0,3.0,28.8913,28.754,43.11894,0.2,5.5748e-12,1.6724e-11,1.4795e-13
