conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p,2P*,0.5,2.0,0.0,2s2.2p,2P*,1.5,4.0,0.4094,0.4094,3028.4367,8.64e-07,2.376e-13,4.7519e-13,6.3058e-15
2s2.2p,2P*,0.5,2.0,0.0,2s2.2p,2P*,1.5,4.0,0.4094,0.4094,3028.4367,0.323,8.8824e-08,1.7765e-07,2.3574e-09
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,4P,0.5,2.0,16.104,16.104,76.98969,81000.0,7.198e-06,1.4396e-05,1.9103e-07
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,4P,1.5,4.0,16.246,16.246,76.31675,1890.0,3.3006e-07,6.6012e-07,8.7598e-09
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,4P,2.5,6.0,16.454,16.454,75.35201,0.0346,8.8358e-12,1.7672e-11,2.345e-13
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2D,1.5,4.0,28.8024,28.8024,43.04648,1410000000.0,0.07834,0.15668,0.0020791
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2S,0.5,2.0,36.9823,36.9823,33.52528,3240000000.0,0.054595,0.10919,0.0014489
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2P,0.5,2.0,39.5164,39.5164,31.37538,8320000000.0,0.12279,0.24558,0.0032588
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2P,1.5,4.0,39.7646,39.7646,31.17954,2270000000.0,0.066169,0.13234,0.0017561
2s2.2p,2P*,0.5,2.0,0.0,2p3,2D*,2.5,6.0,57.745,57.745,21.47098,3020.0,6.2617e-08,1.2523e-07,1.6619e-09
2s2.2p,2P*,0.5,2.0,0.0,2s2.3s,2S,0.5,2.0,150.106,150.106,8.25978,25500000000.0,0.026082,0.052163,0.00069221
2s2.2p,2P*,0.5,2.0,0.0,2s2.3d,2D,1.5,4.0,165.626,165.626,7.48579,359000000000.0,0.6032,1.2064,0.016009
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2P,0.5,2.0,174.616,174.616,7.10039,107000000000.0,0.080874,0.16175,0.0021464
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2P,1.5,4.0,174.743,174.743,7.09523,26700000000.0,0.040303,0.080605,0.0010696
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2D,1.5,4.0,178.613,178.613,6.9415,143000000000.0,0.2066,0.4132,0.0054832
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2S,0.5,2.0,181.13,181.13,6.84504,56900000000.0,0.039969,0.079938,0.0010608
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(1P*).3p,2P,0.5,2.0,192.174,192.174,6.45166,37700000000.0,0.023526,0.047052,0.00062437
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(1P*).3p,2P,1.5,4.0,192.245,192.245,6.44928,9460000000.0,0.011798,0.023596,0.00031312
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(1P*).3p,2S,0.5,2.0,192.993,192.993,6.42428,16000000000.0,0.0098999,0.0198,0.00026274
2s2.2p,2P*,0.5,2.0,0.0,2p2.(1D).3s,2D,1.5,4.0,203.184,203.184,6.10207,699000000.0,0.00078041,0.0015608,2.0712e-05
2s2.2p,2P*,0.5,2.0,0.0,2s2.4s,2S,0.5,2.0,204.311,204.311,6.06841,5470000000.0,0.0030199,0.0060398,8.0149e-05
2s2.2p,2P*,0.5,2.0,0.0,2s2.4d,2D,1.5,4.0,210.008,210.008,5.90378,120000000000.0,0.12541,0.25082,0.0033284
2s2.2p,2P*,0.5,2.0,0.0,2p2.(1D).3d,2P,0.5,2.0,217.424,217.424,5.70242,6670000000.0,0.0032516,0.0065033,8.6299e-05
2s2.2p,2P*,0.5,2.0,0.0,2p2.(1D).3d,2P,1.5,4.0,217.566,217.566,5.69869,1670000000.0,0.0016261,0.0032523,4.3158e-05
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).4p,2P,1.5,4.0,224.928,224.928,5.51217,12000000000.0,0.010932,0.021865,0.00029015
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).4p,2D,1.5,4.0,226.029,226.029,5.48532,57300000000.0,0.051695,0.10339,0.001372
2s2.2p,2P*,0.5,2.0,0.0,2s2.5d,2D,1.5,4.0,230.402,230.402,5.38121,53900000000.0,0.046799,0.093598,0.0012421
2s2.2p,2P*,0.5,2.0,0.0,2s2.6d,2D,1.5,4.0,241.281,241.281,5.13858,20300000000.0,0.016072,0.032144,0.00042655
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,4P,0.5,2.0,16.104,15.6946,78.998,67400.0,3.153e-06,1.2612e-05,8.368e-08
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,4P,0.5,2.0,16.104,15.6946,78.998,0.0212,9.9174e-13,3.967e-12,2.6321e-14
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,4P,1.5,4.0,16.246,15.8366,78.28966,17400.0,1.5989e-06,6.3955e-06,4.2434e-08
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,4P,1.5,4.0,16.246,15.8366,78.28966,0.0044,4.0432e-13,1.6173e-12,1.0731e-14
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,4P,2.5,6.0,16.454,16.0446,77.27472,62600.0,8.4062e-06,3.3625e-05,2.231e-07
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,4P,2.5,6.0,16.454,16.0446,77.27472,0.0997,1.3388e-11,5.3553e-11,3.5532e-13
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,2D,2.5,6.0,28.7983,28.3889,43.67348,1570000000.0,0.067342,0.26937,0.0017873
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,2D,1.5,4.0,28.8024,28.393,43.66717,230000000.0,0.006575,0.0263,0.0001745
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,2S,0.5,2.0,36.9823,36.5729,33.90057,4010000000.0,0.034545,0.13818,0.00091683
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,2P,0.5,2.0,39.5164,39.107,31.70384,5380000000.0,0.040535,0.16214,0.0010758
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p2,2P,1.5,4.0,39.7646,39.3552,31.50389,11500000000.0,0.17111,0.68446,0.0045414
2s2.2p,2P*,1.5,4.0,0.4094,2s2.3s,2S,0.5,2.0,150.106,149.6966,8.28237,51300000000.0,0.026379,0.10552,0.00070009
2s2.2p,2P*,1.5,4.0,0.4094,2s2.3d,2D,1.5,4.0,165.626,165.2166,7.50434,71400000000.0,0.060281,0.24113,0.0015999
2s2.2p,2P*,1.5,4.0,0.4094,2s2.3d,2D,2.5,6.0,165.647,165.2376,7.50339,428000000000.0,0.54189,2.1676,0.014382
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(3P*).3p,2P,0.5,2.0,174.616,174.2066,7.11708,52900000000.0,0.020086,0.080343,0.00053308
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(3P*).3p,2P,1.5,4.0,174.743,174.3336,7.11189,132000000000.0,0.10009,0.40037,0.0026565
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(3P*).3p,2D,1.5,4.0,178.613,178.2036,6.95745,28200000000.0,0.020465,0.081859,0.00054314
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(3P*).3p,2D,2.5,6.0,178.888,178.4786,6.94673,170000000000.0,0.18448,0.73794,0.0048962
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(3P*).3p,2S,0.5,2.0,181.13,180.7206,6.86055,113000000000.0,0.039868,0.15947,0.0010581
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(1P*).3p,2D,2.5,6.0,192.033,191.6236,6.47019,17800000000.0,0.016757,0.067029,0.00044474
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(1P*).3p,2P,0.5,2.0,192.174,191.7646,6.46544,18700000000.0,0.0058596,0.023438,0.00015551
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(1P*).3p,2P,1.5,4.0,192.245,191.8356,6.46304,46800000000.0,0.029308,0.11723,0.00077782
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(1P*).3p,2S,0.5,2.0,192.993,192.5836,6.43794,31800000000.0,0.0098799,0.039519,0.00026221
2s2.2p,2P*,1.5,4.0,0.4094,2p2.(1D).3s,2D,1.5,4.0,203.184,202.7746,6.11439,139000000.0,7.7908e-05,0.00031163,2.0677e-06
2s2.2p,2P*,1.5,4.0,0.4094,2p2.(1D).3s,2D,2.5,6.0,203.184,202.7746,6.11439,833000000.0,0.00070033,0.0028013,1.8587e-05
2s2.2p,2P*,1.5,4.0,0.4094,2s2.4s,2S,0.5,2.0,204.311,203.9016,6.08059,10900000000.0,0.003021,0.012084,8.0177e-05
2s2.2p,2P*,1.5,4.0,0.4094,2s2.4d,2D,1.5,4.0,210.008,209.5986,5.91532,23600000000.0,0.01238,0.049521,0.00032857
2s2.2p,2P*,1.5,4.0,0.4094,2s2.4d,2D,2.5,6.0,210.008,209.5986,5.91532,142000000000.0,0.11174,0.44695,0.0029655
2s2.2p,2P*,1.5,4.0,0.4094,2p2.(3P).3d,2D,2.5,6.0,211.18,210.7706,5.88242,14100000000.0,0.010972,0.043888,0.00029119
2s2.2p,2P*,1.5,4.0,0.4094,2p2.(1D).3d,2D,2.5,6.0,214.976,214.5666,5.77835,6700000000.0,0.0050308,0.020123,0.00013352
2s2.2p,2P*,1.5,4.0,0.4094,2p2.(1D).3d,2P,0.5,2.0,217.424,217.0146,5.71317,3320000000.0,0.00081231,0.0032492,2.1559e-05
2s2.2p,2P*,1.5,4.0,0.4094,2p2.(1D).3d,2P,1.5,4.0,217.566,217.1566,5.70944,8310000000.0,0.0040611,0.016245,0.00010778
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(3P*).4p,2P,1.5,4.0,224.928,224.5186,5.52222,59300000000.0,0.027111,0.10844,0.00071952
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(3P*).4p,2D,1.5,4.0,226.029,225.6196,5.49528,11400000000.0,0.0051611,0.020644,0.00013698
2s2.2p,2P*,1.5,4.0,0.4094,2s.2p.(3P*).4p,2D,2.5,6.0,226.303,225.8936,5.48861,68600000000.0,0.046473,0.18589,0.0012334
2s2.2p,2P*,1.5,4.0,0.4094,2s2.5d,2D,1.5,4.0,230.402,229.9926,5.39079,10700000000.0,0.0046617,0.018647,0.00012372
2s2.2p,2P*,1.5,4.0,0.4094,2s2.5d,2D,2.5,6.0,230.415,230.0056,5.39049,64400000000.0,0.042082,0.16833,0.0011168
2s2.2p,2P*,1.5,4.0,0.4094,2s2.6d,2D,2.5,6.0,241.281,240.8716,5.14731,24300000000.0,0.014478,0.057913,0.00038425
2s2.2p,2P*,1.5,4.0,0.4094,2s2.6d,2D,1.5,4.0,241.281,240.8716,5.14731,4050000000.0,0.0016087,0.0064348,4.2695e-05
2s.2p2,4P,0.5,2.0,16.104,2s.2p2,4P,1.5,4.0,16.246,0.142,8731.28158,0.0333,7.6118e-08,1.5224e-07,2.0202e-09
2s.2p2,4P,0.5,2.0,16.104,2s.2p2,4P,1.5,4.0,16.246,0.142,8731.28158,5.16e-10,1.1795e-15,2.359e-15,3.1304e-17
2s.2p2,4P,0.5,2.0,16.104,2s.2p2,4P,2.5,6.0,16.454,0.35,3542.40567,2.86e-07,1.6141e-13,3.2283e-13,4.2839e-15
2s.2p2,4P,0.5,2.0,16.104,2s.2p2,2D,2.5,6.0,28.7983,12.6943,97.66919,0.00131,5.6204e-13,1.1241e-12,1.4917e-14
2s.2p2,4P,0.5,2.0,16.104,2s.2p2,2S,0.5,2.0,36.9823,20.8783,59.38424,11.2,5.9213e-10,1.1843e-09,1.5715e-11
2s.2p2,4P,0.5,2.0,16.104,2s.2p2,2P,0.5,2.0,39.5164,23.4124,52.95664,3.32,1.3958e-10,2.7917e-10,3.7046e-12
2s.2p2,4P,0.5,2.0,16.104,2p3,4S*,1.5,4.0,51.281,35.177,35.24581,2140000000.0,0.079711,0.15942,0.0021155
2s.2p2,4P,0.5,2.0,16.104,2p3,2D*,1.5,4.0,57.7541,41.6501,29.76804,26700.0,7.0942e-07,1.4188e-06,1.8828e-08
2s.2p2,4P,0.5,2.0,16.104,2p3,2P*,0.5,2.0,65.0486,48.9446,25.33154,632000.0,6.0799e-06,1.216e-05,1.6136e-07
2s.2p2,4P,0.5,2.0,16.104,2p3,2P*,1.5,4.0,65.072,48.968,25.31943,30800.0,5.9204e-07,1.1841e-06,1.5713e-08
2s.2p2,4P,0.5,2.0,16.104,2s.2p.(3P*).3s,4P*,0.5,2.0,167.551,151.447,8.18664,15300000000.0,0.015373,0.030746,0.000408
2s.2p2,4P,0.5,2.0,16.104,2s.2p.(3P*).3s,4P*,1.5,4.0,167.692,151.588,8.17902,38400000000.0,0.077024,0.15405,0.0020442
2s.2p2,4P,0.5,2.0,16.104,2s.2p.(3P*).3d,4D*?,1.5,4.0,183.033,166.929,7.42736,275000000000.0,0.45487,0.90975,0.012072
2s.2p2,4P,0.5,2.0,16.104,2s.2p.(3P*).3d,4P*,1.5,4.0,184.045,167.941,7.3826,148000000000.0,0.24186,0.48373,0.0064191
2s.2p2,4P,0.5,2.0,16.104,2s.2p.(3P*).3d,4P*,0.5,2.0,184.105,168.001,7.37997,59200000000.0,0.048338,0.096676,0.0012829
2s.2p2,4P,0.5,2.0,16.104,2p2.(3P).3p,4S*?,1.5,4.0,207.552,191.448,6.47613,16100000000.0,0.020246,0.040493,0.00053734
2s.2p2,4P,0.5,2.0,16.104,2s.2p.(3P*).4d,4P*,1.5,4.0,228.05,211.946,5.8498,51100000000.0,0.052432,0.10486,0.0013915
2s.2p2,4P,1.5,4.0,16.246,2s.2p2,4P,2.5,6.0,16.454,0.208,5960.77877,0.0762,6.0885e-08,2.4354e-07,1.6159e-09
2s.2p2,4P,1.5,4.0,16.246,2s.2p2,4P,2.5,6.0,16.454,0.208,5960.77877,3.01e-08,2.405e-14,9.6202e-14,6.383e-16
2s.2p2,4P,1.5,4.0,16.246,2p3,4S*,1.5,4.0,51.281,35.035,35.38867,4230000000.0,0.07942,0.31768,0.0021078
2s.2p2,4P,1.5,4.0,16.246,2p3,2D*,2.5,6.0,57.745,41.499,29.87643,59300.0,1.1903e-06,4.7613e-06,3.1591e-08
2s.2p2,4P,1.5,4.0,16.246,2p3,2D*,1.5,4.0,57.7541,41.5081,29.86988,841000.0,1.1249e-05,4.4997e-05,2.9855e-07
2s.2p2,4P,1.5,4.0,16.246,2p3,2P*,0.5,2.0,65.0486,48.8026,25.40524,135000.0,6.5315e-07,2.6126e-06,1.7334e-08
2s.2p2,4P,1.5,4.0,16.246,2p3,2P*,1.5,4.0,65.072,48.826,25.39307,1600000.0,1.5467e-05,6.1869e-05,4.105e-07
2s.2p2,4P,1.5,4.0,16.246,2s.2p.(3P*).3s,4P*,0.5,2.0,167.551,151.305,8.19432,76200000000.0,0.038354,0.15342,0.0010179
2s.2p2,4P,1.5,4.0,16.246,2s.2p.(3P*).3s,4P*,1.5,4.0,167.692,151.446,8.18669,12300000000.0,0.012359,0.049436,0.00032801
2s.2p2,4P,1.5,4.0,16.246,2s.2p.(3P*).3s,4P*,2.5,6.0,167.943,151.697,8.17315,27900000000.0,0.041912,0.16765,0.0011123
