Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s2""","=""1S""","=""0""",1,"=""""","=""0.0000""","=""""","=""0.0010""","="" 100                             ""","=""L21139"""
"=""1s.2s""","=""3S""","=""1""",3,"=""(""","=""1331.11204""","="")""","=""0.00011""","="" 100                             ""","=""L21139"""
"=""1s.2p""","=""3P*""","=""0""",1,"=""(""","=""1342.995806""","="")""","=""0.000020""","="" 100                             ""","=""L21139"""
"=""1s.2p""","=""3P*""","=""1""",3,"=""(""","=""1343.098984""","="")""","=""0.000019""","="" 100                             ""","=""L21139"""
"=""1s.2p""","=""3P*""","=""2""",5,"=""(""","=""1343.541917""","="")""","=""0.000017""","="" 100                             ""","=""L21139"""
"=""1s.2s""","=""1S""","=""0""",1,"=""(""","=""1343.83638""","="")""","=""0.00011""","="" 100                             ""","=""L21139"""
"=""1s.2p""","=""1P*""","=""1""",3,"=""(""","=""1352.248484""","="")""","=""0.000011""","="" 100                             ""","=""L21139"""
"=""1s.3s""","=""3S""","=""1""",3,"=""(""","=""1573.5044""","="")""","=""0.0025""","="" 100                             ""","=""L21139"""
"=""1s.3p""","=""3P*""","=""0""",1,"=""(""","=""1576.7653""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.3p""","=""3P*""","=""1""",3,"=""(""","=""1576.7981""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.3p""","=""3P*""","=""2""",5,"=""(""","=""1576.9291""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.3s""","=""1S""","=""0""",1,"=""(""","=""1576.8672""","="")""","=""0.0025""","="" 100                             ""","=""L21139"""
"=""1s.3d""","=""3D""","=""1""",3,"=""(""","=""1578.7145""","="")""","=""0.0012""","="" 100                             ""","=""L22382c208,L19700"""
"=""1s.3d""","=""3D""","=""2""",5,"=""(""","=""1578.7194""","="")""","=""0.0012""","=""  91                             ""","=""L22382c208,L19700"""
"=""1s.3d""","=""3D""","=""3""",7,"=""(""","=""1578.7666""","="")""","=""0.0012""","="" 100                             ""","=""L22382c208,L19700"""
"=""1s.3d""","=""1D""","=""2""",5,"=""(""","=""1578.8527""","="")""","=""0.0012""","=""  91                             ""","=""L22382c208,L19700"""
"=""1s.3p""","=""1P*""","=""1""",3,"=""(""","=""1579.3133""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.4s""","=""3S""","=""1""",3,"=""(""","=""1656.6795""","="")""","=""0.0024""","="" 100                             ""","=""L21139"""
"=""1s.4p""","=""3P*""","=""0""",1,"=""(""","=""1658.0187""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.4p""","=""3P*""","=""1""",3,"=""(""","=""1658.0329""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.4p""","=""3P*""","=""2""",5,"=""(""","=""1658.0881""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.4s""","=""1S""","=""0""",1,"=""(""","=""1658.0419""","="")""","=""0.0024""","="" 100                             ""","=""L21139"""
"=""1s.4d""","=""3D""","=""1""",3,"=""(""","=""1658.8208""","="")""","=""0.0025""","="" 100                             ""","=""L11959c209,L19700"""
"=""1s.4d""","=""3D""","=""2""",5,"=""(""","=""1658.8238""","="")""","=""0.0024""","=""  94                             ""","=""L11959c209,L19700"""
"=""1s.4d""","=""3D""","=""3""",7,"=""(""","=""1658.843""","="")""","=""0.003""","="" 100                             ""","=""L11959c209,L19700"""
"=""1s.4f""","=""3F*""","=""3""",7,"=""(""","=""1658.8849""","="")""","=""0.0025""","=""  56         :    44  1s.4f 1F*  ""","=""L19700c211"""
"=""1s.4f""","=""3F*""","=""2""",5,"=""(""","=""1658.8879""","="")""","=""0.0025""","="" 100                             ""","=""L19700c211"""
"=""1s.4f""","=""3F*""","=""4""",9,"=""(""","=""1658.8990""","="")""","=""0.0025""","="" 100                             ""","=""L19700c211"""
"=""1s.4d""","=""1D""","=""2""",5,"=""(""","=""1658.8900""","="")""","=""0.0022""","=""  94                             ""","=""L11959c209,L19700"""
"=""1s.4f""","=""1F*""","=""3""",7,"=""(""","=""1658.9011""","="")""","=""0.0025""","=""  56         :    44  1s.4f 3F*  ""","=""L19700c211"""
"=""1s.4p""","=""1P*""","=""1""",3,"=""(""","=""1659.0660""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.5s""","=""3S""","=""1""",3,"=""(""","=""1694.8190""","="")""","=""0.0024""","="" 100                             ""","=""L21139"""
"=""1s.5p""","=""3P*""","=""0""",1,"=""(""","=""1695.4957""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.5p""","=""3P*""","=""1""",3,"=""(""","=""1695.5030""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.5p""","=""3P*""","=""2""",5,"=""(""","=""1695.5312""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.5s""","=""1S""","=""0""",1,"=""(""","=""1695.5029""","="")""","=""0.0024""","="" 100                             ""","=""L21139"""
"=""1s.5d""","=""3D""","=""1""",3,"=""(""","=""1695.9022""","="")""","=""0.0025""","="" 100                             ""","=""L11959c209,L19700"""
"=""1s.5d""","=""3D""","=""2""",5,"=""(""","=""1695.9040""","="")""","=""0.0025""","=""  94                             ""","=""L11959c209,L19700"""
"=""1s.5d""","=""3D""","=""3""",7,"=""(""","=""1695.913""","="")""","=""0.003""","="" 100                             ""","=""L11959c209,L19700"""
"=""1s.5f""","=""3F*""","=""3""",7,"=""(""","=""1695.9367""","="")""","=""0.0016""","=""  57         :    43  1s.5f 1F*  ""","=""L19700c211"""
"=""1s.5f""","=""3F*""","=""2""",5,"=""(""","=""1695.9382""","="")""","=""0.0016""","="" 100                             ""","=""L19700c211"""
"=""1s.5f""","=""3F*""","=""4""",9,"=""(""","=""1695.9439""","="")""","=""0.0016""","="" 100                             ""","=""L19700c211"""
"=""1s.5d""","=""1D""","=""2""",5,"=""(""","=""1695.9399""","="")""","=""0.0022""","=""  94                             ""","=""L11959c209,L19700"""
"=""1s.5g""","=""3G""","=""4""",9,"=""(""","=""1695.9446""","="")""","=""0.0016""","=""  54         :    46  1s.5g 1G   ""","=""L19700c211"""
"=""1s.5g""","=""3G""","=""5""",11,"=""(""","=""1695.9490""","="")""","=""0.0016""","="" 100                             ""","=""L19700c211"""
"=""1s.5g""","=""3G""","=""3""",7,"=""(""","=""1695.9455""","="")""","=""0.0016""","="" 100                             ""","=""L19700c211"""
"=""1s.5f""","=""1F*""","=""3""",7,"=""(""","=""1695.9450""","="")""","=""0.0016""","=""  57         :    43  1s.5f 3F*  ""","=""L19700c211"""
"=""1s.5g""","=""1G""","=""4""",9,"=""(""","=""1695.9496""","="")""","=""0.0016""","=""  54         :    46  1s.5g 3G   ""","=""L19700c211"""
"=""1s.5p""","=""1P*""","=""1""",3,"=""(""","=""1696.0254""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.6s""","=""3S""","=""1""",3,"=""(""","=""1715.4208""","="")""","=""0.0024""","="" 100                             ""","=""L21139"""
"=""1s.6p""","=""3P*""","=""0""",1,"=""(""","=""1715.8095""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.6p""","=""3P*""","=""1""",3,"=""(""","=""1715.8137""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.6p""","=""3P*""","=""2""",5,"=""(""","=""1715.8301""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.6s""","=""1S""","=""0""",1,"=""(""","=""1715.8122""","="")""","=""0.0024""","="" 100                             ""","=""L21139"""
"=""1s.6d""","=""3D""","=""1""",3,"=""(""","=""1716.0425""","="")""","=""0.0014""","="" 100                             ""","=""L19700c211"""
"=""1s.6d""","=""3D""","=""2""",5,"=""(""","=""1716.0435""","="")""","=""0.0014""","=""  95                             ""","=""L19700c211"""
"=""1s.6d""","=""3D""","=""3""",7,"=""(""","=""1716.0489""","="")""","=""0.0014""","="" 100                             ""","=""L19700c211"""
"=""1s.6f""","=""3F*""","=""3""",7,"=""(""","=""1716.0623""","="")""","=""0.0014""","=""  58         :    42  1s.6f 1F*  ""","=""L19700c211"""
"=""1s.6f""","=""3F*""","=""2""",5,"=""(""","=""1716.0632""","="")""","=""0.0014""","="" 100                             ""","=""L19700c211"""
"=""1s.6f""","=""3F*""","=""4""",9,"=""(""","=""1716.0665""","="")""","=""0.0014""","="" 100                             ""","=""L19700c211"""
"=""1s.6d""","=""1D""","=""2""",5,"=""(""","=""1716.0647""","="")""","=""0.0014""","=""  95                             ""","=""L19700c211"""
"=""1s.6g""","=""3G""","=""4""",9,"=""(""","=""1716.0665""","="")""","=""0.0014""","=""  54         :    46  1s.6g 1G   ""","=""L19700c211"""
"=""1s.6g""","=""3G""","=""3""",7,"=""(""","=""1716.0670""","="")""","=""0.0014""","="" 100                             ""","=""L19700c211"""
"=""1s.6g""","=""3G""","=""5""",11,"=""(""","=""1716.0690""","="")""","=""0.0014""","="" 100                             ""","=""L19700c211"""
"=""1s.6f""","=""1F*""","=""3""",7,"=""(""","=""1716.0673""","="")""","=""0.0014""","=""  58         :    42  1s.6f 3F*  ""","=""L19700c211"""
"=""1s.6h""","=""3H*""","=""5""",11,"=""(""","=""1716.0689""","="")""","=""0.0014""","=""  54         :    46  1s.6h 1H*  ""","=""L19700c211"""
"=""1s.6h""","=""3H*""","=""4""",9,"=""(""","=""1716.0693""","="")""","=""0.0014""","="" 100                             ""","=""L19700c211"""
"=""1s.6h""","=""3H*""","=""6""",13,"=""(""","=""1716.0705""","="")""","=""0.0014""","="" 100                             ""","=""L19700c211"""
"=""1s.6g""","=""1G""","=""4""",9,"=""(""","=""1716.0694""","="")""","=""0.0014""","=""  54         :    46  1s.6g 3G   ""","=""L19700c211"""
"=""1s.6h""","=""1H*""","=""5""",11,"=""(""","=""1716.0707""","="")""","=""0.0014""","=""  54         :    46  1s.6h 3H*  ""","=""L19700c211"""
"=""1s.6p""","=""1P*""","=""1""",3,"=""(""","=""1716.1140""","="")""","=""0.0012""","="" 100                             ""","=""L21139"""
"=""1s.7s""","=""3S""","=""1""",3,"=""(""","=""1727.7964""","="")""","=""0.0024""","=""                                 ""","=""L21139"""
"=""1s.7p""","=""3P*""","=""0""",1,"=""(""","=""1728.0400""","="")""","=""0.0012""","=""                                 ""","=""L21139"""
"=""1s.7p""","=""3P*""","=""1""",3,"=""(""","=""1728.0427""","="")""","=""0.0012""","=""                                 ""","=""L21139"""
"=""1s.7p""","=""3P*""","=""2""",5,"=""(""","=""1728.0530""","="")""","=""0.0012""","=""                                 ""","=""L21139"""
"=""1s.7s""","=""1S""","=""0""",1,"=""(""","=""1728.0410""","="")""","=""0.0024""","=""                                 ""","=""L21139"""
"=""1s.7d""","=""3D""","=""1""",3,"=""(""","=""1728.1870""","="")""","=""0.0025""","=""                                 ""","=""u50"""
"=""1s.7d""","=""3D""","=""2""",5,"=""(""","=""1728.1876""","="")""","=""0.0025""","=""                                 ""","=""u50"""
"=""1s.7d""","=""3D""","=""3""",7,"=""(""","=""1728.1909""","="")""","=""0.0025""","=""                                 ""","=""u50"""
"=""1s.7d""","=""1D""","=""2""",5,"=""(""","=""1728.2015""","="")""","=""0.0025""","=""                                 ""","=""u50"""
"=""1s.7p""","=""1P*""","=""1""",3,"=""(""","=""1728.2309""","="")""","=""0.0012""","=""                                 ""","=""L21139"""
"=""1s.8s""","=""3S""","=""1""",3,"=""(""","=""1735.807""","="")""","=""0.003""","=""                                 ""","=""u49"""
"=""1s.8p""","=""3P*""","=""0""",1,"=""(""","=""1735.9697""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.8p""","=""3P*""","=""1""",3,"=""(""","=""1735.9716""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.8p""","=""3P*""","=""2""",5,"=""(""","=""1735.9784""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.8s""","=""1S""","=""0""",1,"=""(""","=""1735.9707""","="")""","=""0.0025""","=""                                 ""","=""u49"""
"=""1s.8p""","=""1P*""","=""1""",3,"=""(""","=""1736.0973""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.9s""","=""3S""","=""1""",3,"=""(""","=""1741.288""","="")""","=""0.003""","=""                                 ""","=""u49"""
"=""1s.9p""","=""3P*""","=""0""",1,"=""(""","=""1741.4018""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.9p""","=""3P*""","=""1""",3,"=""(""","=""1741.4031""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.9p""","=""3P*""","=""2""",5,"=""(""","=""1741.4079""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.9s""","=""1S""","=""0""",1,"=""(""","=""1741.4025""","="")""","=""0.0025""","=""                                 ""","=""u49"""
"=""1s.9p""","=""1P*""","=""1""",3,"=""(""","=""1741.4912""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.10s""","=""3S""","=""1""",3,"=""(""","=""1745.202""","="")""","=""0.003""","=""                                 ""","=""u49"""
"=""1s.10p""","=""3P*""","=""0""",1,"=""(""","=""1745.2848""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.10p""","=""3P*""","=""1""",3,"=""(""","=""1745.2856""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.10p""","=""3P*""","=""2""",5,"=""(""","=""1745.2892""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""1s.10s""","=""1S""","=""0""",1,"=""(""","=""1745.2853""","="")""","=""0.0025""","=""                                 ""","=""u49"""
"=""1s.10p""","=""1P*""","=""1""",3,"=""(""","=""1745.3499""","="")""","=""0.0014""","=""                                 ""","=""u49"""
"=""Mg XII (1s 2S<1/2>)""","=""Limit""","=""---""",,"=""(""","=""1761.8049""","="")""","=""0.0010""","=""                                 ""","=""L21139"""
"=""2s2""","=""1S""","=""0""",1,"=""[""","=""2782.30""","=""]""","=""0.06""","=""  77                             ""","=""L10635,L19700"""
"=""2s.2p""","=""3P*""","=""0""",1,"=""[""","=""2785.33""","=""]""","=""0.06""","="" 100                             ""","=""L10635,L19700"""
"=""2s.2p""","=""3P*""","=""1""",3,"=""[""","=""2785.60""","=""]""","=""0.06""","="" 100                             ""","=""L10635,L19700"""
"=""2s.2p""","=""3P*""","=""2""",5,"=""[""","=""2786.20""","=""]""","=""0.06""","="" 100                             ""","=""L10635,L19700"""
"=""2p2""","=""3P""","=""0""",1,"=""[""","=""2795.81""","=""]""","=""0.06""","="" 100                             ""","=""L10635,L19700"""
"=""2p2""","=""3P""","=""1""",3,"=""[""","=""2796.10""","=""]""","=""0.06""","="" 100                             ""","=""L10635,L19700"""
"=""2p2""","=""3P""","=""2""",5,"=""[""","=""2796.62""","=""]""","=""0.06""","="" 100                             ""","=""L10635,L19700"""
"=""2p2""","=""1D""","=""2""",5,"=""[""","=""2802.10""","=""]""","=""0.06""","="" 100                             ""","=""L10635,L19700"""
"=""2s.2p""","=""1P*""","=""1""",3,"=""[""","=""2803.18""","=""]""","=""0.06""","="" 100                             ""","=""L10635,L19700"""
"=""2p2""","=""1S""","=""0""",1,"=""[""","=""2820.24""","=""]""","=""0.06""","=""  78                             ""","=""L10635,L19700"""
"=""Mg XII (2p 2P*<1/2>)""","=""Limit""","=""---""",,"=""(""","=""3233.4957""","="")""","=""0.0010""","=""                                 ""","=""L21139,L19200"""
