obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""0.7103687""","=""0.0000007""","=""10g""","=""1.40e+11""",A+,"=""0.0000""","=""(1745.3499)""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""""",
"=""0.7128""","=""0.7119427""","=""0.0000007""","=""15g""","=""1.92e+11""",A,"=""0.0000""","=""(1741.4912)""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""L2304""",
"=""0.7156""","=""0.7141547""","=""0.0000007""","=""20g""","=""2.74e+11""",A,"=""0.0000""","=""(1736.0973)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""L2304""",
"=""0.7177""","=""0.7174053""","=""0.0000006""","=""25g""","=""4.10e+11""",A,"=""0.0000""","=""(1728.2309)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""L2304""",
"=""0.72256""","=""0.7224707""","=""0.0000006""","=""35g""","=""6.52e+11""",A+,"=""0.0000""","=""(1716.1140)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""L2560c7""",
"=""0.73102""","=""0.7310280""","=""0.0000006""","=""50g""","=""1.13e+12""",A+,"=""0.0000""","=""(1696.0254)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""L7418c8""",
"=""""","=""0.7312532""","=""0.0000006""","=""2g""","=""""",,"=""0.0000""","=""(1695.5030)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
"=""0.74738""","=""0.7473132""","=""0.0000007""","=""100g""","=""2.24e+12""",A+,"=""0.0000""","=""(1659.0660)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""L7418c8""",
"=""""","=""0.7477789""","=""0.0000007""","=""5g""","=""""",,"=""0.0000""","=""(1658.0329)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
"=""0.78509""","=""0.7850513""","=""0.0000008""","=""400g""","=""5.43e+12""",A+,"=""0.0000""","=""(1579.3133)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""L7418c8""",
"=""0.78612""","=""0.7863036""","=""0.0000007""","=""20g""","=""""",,"=""0.0000""","=""(1576.7981)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""""","=""L4110c7""",
"=""0.84460""","=""0.84458""","=""0.00004""","=""""","=""""",,"=""(1352.248484)""","=""[2820.24]""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""L2560c7""",
"=""0.84917""","=""0.84959""","=""0.00004""","=""""","=""""",,"=""(1343.83638)""","=""[2803.18]""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""1P*""","=""1""",1,3,,"=""""","=""L2560c7""",
"=""0.85235""","=""0.85207""","=""0.00004""","=""*""","=""""",,"=""(1331.11204)""","=""[2786.20]""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""2""",3,5,,"=""""","=""L2560c7""",
"=""0.85235""","=""0.85242""","=""0.00004""","=""*""","=""""",,"=""(1331.11204)""","=""[2785.60]""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""1""",3,3,,"=""""","=""L2560c7""",
"=""0.85235""","=""0.85258""","=""0.00004""","=""*""","=""""",,"=""(1331.11204)""","=""[2785.33]""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""0""",3,1,,"=""""","=""L2560c7""",
"=""0.85335""","=""0.85299""","=""0.00004""","=""*""","=""""",,"=""(1343.098984)""","=""[2796.62]""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""2""",3,5,,"=""""","=""L2560c7""",
"=""0.85335""","=""0.85323""","=""0.00004""","=""*""","=""""",,"=""(1342.995806)""","=""[2796.10]""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""1""",1,3,,"=""""","=""L2560c7""",
"=""0.85335""","=""0.85325""","=""0.00004""","=""*""","=""""",,"=""(1343.541917)""","=""[2796.62]""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""2""",5,5,,"=""""","=""L2560c7""",
"=""0.85335""","=""0.85330""","=""0.00004""","=""*""","=""""",,"=""(1343.098984)""","=""[2796.10]""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""1""",3,3,,"=""""","=""L2560c7""",
"=""0.85335""","=""0.85347""","=""0.00004""","=""*""","=""""",,"=""(1343.098984)""","=""[2795.81]""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0""",3,1,,"=""""","=""L2560c7""",
"=""0.85335""","=""0.85356""","=""0.00004""","=""*""","=""""",,"=""(1343.541917)""","=""[2796.10]""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""1""",5,3,,"=""""","=""L2560c7""",
"=""0.85494""","=""0.85515""","=""0.00004""","=""""","=""""",,"=""(1352.248484)""","=""[2802.10]""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""L2560c7""",
