spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Mn I,Mn,0,3d5.4s2,a 6S,2.5,6,0.0,0.0,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,L7185
Mn I,Mn,0,3d6.(5D).4s,a 6D,4.5,10,2.114215,,even,,no,7.434038,3.4482758620689657,"ASD 1/sum(Aki), J-resolved",3.4482758620689657,1/1,yes,2.114215,2.114215,,,
Mn I,Mn,0,3d6.(5D).4s,a 6D,3.5,8,2.142695,,even,,no,7.434038,3.2258064516129035,"ASD 1/sum(Aki), J-resolved",3.2258064516129035,1/1,yes,2.142695,2.142695,,,
Mn I,Mn,0,3d6.(5D).4s,a 6D,2.5,6,2.163713,,even,,no,7.434038,3.0303030303030303,"ASD 1/sum(Aki), J-resolved",3.0303030303030303,1/1,yes,2.163713,2.163713,,,
Mn I,Mn,0,3d6.(5D).4s,a 6D,1.5,4,2.178214,,even,,no,7.434038,2.941176470588235,"ASD 1/sum(Aki), J-resolved",2.941176470588235,1/1,yes,2.178214,2.178214,,,
Mn I,Mn,0,3d6.(5D).4s,a 6D,0.5,2,2.186728,,even,,no,7.434038,2.857142857142857,"ASD 1/sum(Aki), J-resolved",2.857142857142857,1/1,yes,2.186728,2.186728,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 8P*,2.5,6,2.281614,,odd,,no,7.434038,0.00016556291390728477,"ASD 1/sum(Aki), J-resolved",0.00016556291390728477,1/1,yes,2.281614,2.281614,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 8P*,3.5,8,2.297631,,odd,,no,7.434038,0.00011111111111111112,"ASD 1/sum(Aki), J-resolved",0.00011111111111111112,1/1,yes,2.297631,2.297631,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 8P*,4.5,10,2.31917,,odd,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(5D).4s,a 4D,3.5,8,2.888419,,even,,no,7.434038,775.1937984496125,"ASD 1/sum(Aki), J-resolved",775.1937984496125,3/3,yes,0.7742039999999997,0.7742039999999997,,,
Mn I,Mn,0,3d6.(5D).4s,a 4D,2.5,6,2.919729,,even,,no,7.434038,814.9959250203749,"ASD 1/sum(Aki), J-resolved",814.9959250203749,4/4,yes,0.03130999999999995,0.777034,,,
Mn I,Mn,0,3d6.(5D).4s,a 4D,1.5,4,2.940846,,even,,no,7.434038,982.0288716488263,"ASD 1/sum(Aki), J-resolved",982.0288716488263,4/4,yes,0.762632,0.7771330000000001,,,
Mn I,Mn,0,3d6.(5D).4s,a 4D,0.5,2,2.953164,,even,,no,7.434038,1084.5986984815618,"ASD 1/sum(Aki), J-resolved",1084.5986984815618,4/4,yes,0.7664360000000001,2.953164,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 6P*,1.5,4,3.072244,,odd,,no,7.434038,6.329113924050633e-08,"ASD 1/sum(Aki), J-resolved",6.329113924050633e-08,1/1,yes,3.072244,3.072244,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 6P*,2.5,6,3.073327,,odd,,no,7.434038,6.060606060606061e-08,"ASD 1/sum(Aki), J-resolved",6.060606060606061e-08,1/1,yes,3.073327,3.073327,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 6P*,3.5,8,3.075087,,odd,,no,7.434038,5.882352941176471e-08,"ASD 1/sum(Aki), J-resolved",5.882352941176471e-08,1/1,yes,3.075087,3.075087,,,
Mn I,Mn,0,3d5.4s2,a 4G,5.5,12,3.132553,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,a 4G,2.5,6,3.134449,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,a 4G,4.5,10,3.134994,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,a 4G,3.5,8,3.13528,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,a 4P,2.5,6,3.372561,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,a 4P,1.5,4,3.378321,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,a 4P,0.5,2,3.382518,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,b 4D,3.5,8,3.763442,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,b 4D,0.5,2,3.770575,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,b 4D,2.5,6,3.771551,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.4s2,b 4D,1.5,4,3.772307,,even,,no,7.434038,,metastable - no allowed radiative channel,,,,,,,yes,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 4P*,2.5,6,3.843653,,odd,,no,7.434038,2.6455026455026455e-06,"ASD 1/sum(Aki), J-resolved",2.6455026455026455e-06,1/1,yes,3.843653,3.843653,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 4P*,1.5,4,3.852985,,odd,,no,7.434038,4.081632653061224e-06,"ASD 1/sum(Aki), J-resolved",4.081632653061224e-06,1/1,yes,3.852985,3.852985,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(3P*),z 4P*,0.5,2,3.859002,,odd,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3P2).4s,b 4P,2.5,6,4.193826,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3P2).4s,b 4P,1.5,4,4.272913,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3P2).4s,b 4P,0.5,2,4.320262,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3H).4s,a 4H,6.5,14,4.232682,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3H).4s,a 4H,5.5,12,4.246523,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3H).4s,a 4H,4.5,10,4.258101,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3H).4s,a 4H,3.5,8,4.267942,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3F2).4s,a 4F,4.5,10,4.331847,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3F2).4s,a 4F,3.5,8,4.344576,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3F2).4s,a 4F,2.5,6,4.353703,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d6.(3F2).4s,a 4F,1.5,4,4.359911,,even,,no,7.434038,,,,,,,,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(1P*),y 6P*,1.5,4,4.424994,,odd,,no,7.434038,2.6970243730092588e-09,"ASD 1/sum(Aki), J-resolved",2.6970243730092588e-09,2/2,yes,4.424994,4.424994,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(1P*),y 6P*,2.5,6,4.429441,,odd,,no,7.434038,2.767706401704907e-09,"ASD 1/sum(Aki), J-resolved",2.767706401704907e-09,2/2,yes,4.429441,4.429441,,,
Mn I,Mn,0,3d5.(6S).4s.4p.(1P*),y 6P*,3.5,8,4.434911,,odd,,no,7.434038,2.6989460615629597e-09,"ASD 1/sum(Aki), J-resolved",2.6989460615629597e-09,2/2,yes,4.434911,4.434911,,,
