obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""93.30682""","=""0.00017""","=""""","=""2.e+04""",E,"=""0.0000000""","=""13.28780""","=""3d5.(6S).4s""","=""a 7S""","=""3""","=""3d4.(b 3F).4s.4p.(3P*)""","=""u 5P*""","=""3""",7,7,,"=""T7574,c88""","=""""",
"=""""","=""""","=""93.67690""","=""0.00018""","=""""","=""2.e+04""",E,"=""0.0000000""","=""13.23530""","=""3d5.(6S).4s""","=""a 7S""","=""3""","=""3d4.(b 3F).4s.4p.(3P*)""","=""u 5P*""","=""2""",7,5,,"=""T7574,c88""","=""""",
"=""95.304""","=""0.0015""","=""95.30441""","=""0.00014""","=""1""","=""3.e+08""",E,"=""1.7761810""","=""14.785463""","=""3d6""","=""a 5D""","=""4""","=""3d5.(6S).8f""","=""5F*""","=""5""",9,11,,"=""c88""","=""L562""",
"=""95.548""","=""0.0015""","=""95.54573""","=""0.00009""","=""0""","=""""",,"=""1.8094049""","=""14.785830""","=""3d6""","=""a 5D""","=""3""","=""3d5.(6S).8f""","=""5F*""","=""4""",7,9,,"=""""","=""L562""",
"=""95.720""","=""0.0015""","=""95.72099""","=""0.00018""","=""0""","=""""",,"=""1.8326359""","=""14.785302""","=""3d6""","=""a 5D""","=""2""","=""3d5.(6S).8f""","=""5F*""","=""3""",5,7,,"=""""","=""L562""",
"=""97.255""","=""0.0015""","=""97.25495""","=""0.00019""","=""10""","=""2.e+08""",E,"=""1.7761810""","=""14.52455""","=""3d6""","=""a 5D""","=""4""","=""3d5.(6S).7f""","=""5F*""","=""5""",9,11,,"=""c88""","=""L562""",
"=""97.519""","=""0.0015""","=""97.5191""","=""0.0004""","=""8""","=""""",,"=""1.8094049""","=""14.52324""","=""3d6""","=""a 5D""","=""3""","=""3d5.(6S).7f""","=""5F*""","=""4""",7,9,,"=""""","=""L562""",
"=""97.696""","=""0.0015""","=""97.6960""","=""0.0015""","=""7""","=""""",,"=""1.8326359""","=""14.52345""","=""3d6""","=""a 5D""","=""2""","=""3d5.(6S).7f""","=""5F*""","=""3""",5,7,,"=""""","=""L562""",
"=""97.811""","=""0.0015""","=""97.8110""","=""0.0015""","=""5""","=""""",,"=""1.8475137""","=""14.52341""","=""3d6""","=""a 5D""","=""1""","=""3d5.(6S).7f""","=""5F*""","=""2""",3,5,,"=""""","=""L562""",
"=""97.870""","=""0.0015""","=""97.8700""","=""0.0015""","=""0""","=""""",,"=""1.8547882""","=""14.52304""","=""3d6""","=""a 5D""","=""0""","=""3d5.(6S).7f""","=""5F*""","=""1""",1,3,,"=""""","=""L562""",
"=""98.290""","=""0.0015""","=""98.2896""","=""0.0003""","=""25""","=""""",,"=""1.1745014""","=""13.78868""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""""","=""s 5P*""","=""3""",5,7,,"=""""","=""L562""",
"=""98.324""","=""0.0015""","=""98.32288""","=""0.00010""","=""20""","=""""",,"=""1.1745014""","=""13.784404""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""""","=""s 5P*""","=""2""",5,5,,"=""""","=""L562""",
"=""98.340""","=""0.0015""","=""98.33866""","=""0.00019""","=""15""","=""""",,"=""1.1745014""","=""13.782381""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""""","=""s 5P*""","=""1""",5,3,,"=""""","=""L562""",
"=""100.096""","=""0.0015""","=""100.09368""","=""0.00018""","=""25""","=""""",,"=""1.1745014""","=""13.56132""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""t 5P*""","=""3""",5,7,,"=""""","=""L562""",
"=""100.300""","=""0.0015""","=""100.29977""","=""0.00004""","=""22""","=""2.e+08""",E,"=""1.7761810""","=""14.137545""","=""3d6""","=""a 5D""","=""4""","=""3d5.(6S).6f""","=""5F*""","=""5""",9,11,,"=""c88""","=""L562""",
"=""100.502""","=""0.0015""","=""100.50018""","=""0.00020""","=""20""","=""""",,"=""1.1745014""","=""13.51122""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""t 5P*""","=""2""",5,5,,"=""""","=""L562""",
"=""100.570""","=""0.0015""","=""100.568944""","=""0.000020""","=""22""","=""""",,"=""1.8094049""","=""14.137684""","=""3d6""","=""a 5D""","=""3""","=""3d5.(6S).6f""","=""5F*""","=""4""",7,9,,"=""""","=""L562""",
"=""100.672""","=""0.0015""","=""100.67168""","=""0.00004""","=""7""","=""""",,"=""1.7761810""","=""14.091879""","=""3d6""","=""a 5D""","=""4""","=""3d5.(4G).5p""","=""s 5F*""","=""5""",9,11,,"=""""","=""L562""",
"=""100.753""","=""0.0015""","=""100.75160""","=""0.00020""","=""15""","=""""",,"=""1.1745014""","=""13.48043""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""t 5P*""","=""1""",5,3,,"=""""","=""L562""",
"=""100.761""","=""0.0015""","=""100.760495""","=""0.000020""","=""15""","=""""",,"=""1.8326359""","=""14.137478""","=""3d6""","=""a 5D""","=""2""","=""3d5.(6S).6f""","=""5F*""","=""3""",5,7,,"=""""","=""L562""",
"=""100.885""","=""0.0015""","=""100.88396""","=""0.00004""","=""12""","=""""",,"=""1.8475137""","=""14.137297""","=""3d6""","=""a 5D""","=""1""","=""3d5.(6S).6f""","=""5F*""","=""2""",3,5,,"=""""","=""L562""",
"=""100.945""","=""0.0015""","=""100.94508""","=""0.00005""","=""10""","=""""",,"=""1.8547882""","=""14.137130""","=""3d6""","=""a 5D""","=""0""","=""3d5.(6S).6f""","=""5F*""","=""1""",1,3,,"=""""","=""L562""",
"=""100.956""","=""0.0015""","=""100.95508""","=""0.00004""","=""6""","=""""",,"=""1.8094049""","=""14.090530""","=""3d6""","=""a 5D""","=""3""","=""3d5.(4G).5p""","=""s 5F*""","=""4""",7,9,,"=""""","=""L562""",
"=""101.151""","=""0.0015""","=""101.15202""","=""0.00003""","=""5""","=""""",,"=""1.8326359""","=""14.089851""","=""3d6""","=""a 5D""","=""2""","=""3d5.(4G).5p""","=""s 5F*""","=""3""",5,7,,"=""""","=""L562""",
"=""101.271""","=""0.0015""","=""101.27142""","=""0.00003""","=""4""","=""""",,"=""1.8475137""","=""14.090277""","=""3d6""","=""a 5D""","=""1""","=""3d5.(4G).5p""","=""s 5F*""","=""2""",3,5,,"=""""","=""L562""",
"=""101.335""","=""0.002""","=""101.33112""","=""0.00005""","=""0h""","=""""",,"=""1.8547882""","=""14.090338""","=""3d6""","=""a 5D""","=""0""","=""3d5.(4G).5p""","=""s 5F*""","=""1""",1,3,,"=""""","=""L562""",
"=""102.355""","=""0.0015""","=""102.35382""","=""0.00020""","=""20""","=""5.e+08""",E,"=""1.1745014""","=""13.28780""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(b 3F).4s.4p.(3P*)""","=""u 5P*""","=""3""",5,7,,"=""c88""","=""L562""",
