Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d5""","=""a 6S""","=""5/2""",6,"=""""","=""0.000000""","=""""","=""0""","="" 100                                         ""","=""L7185"""
"=""3d5""","=""a 4G""","=""11/2""",12,"=""""","=""3.325802""","=""""","=""""","="" 100                                         ""","="""""
"=""3d5""","=""a 4G""","=""9/2""",10,"=""""","=""3.329112""","=""""","=""""","="" 100                                         ""","="""""
"=""3d5""","=""a 4G""","=""5/2""",6,"=""""","=""3.329943""","=""""","=""""","="" 100                                         ""","="""""
"=""3d5""","=""a 4G""","=""7/2""",8,"=""""","=""3.330203""","=""""","=""""","="" 100                                         ""","="""""
"=""3d5""","=""a 4P""","=""5/2""",6,"=""""","=""3.616334""","=""""","=""""","=""  97                                         ""","="""""
"=""3d5""","=""a 4P""","=""3/2""",4,"=""""","=""3.621244""","=""""","=""""","=""  98                                         ""","="""""
"=""3d5""","=""a 4P""","=""1/2""",2,"=""""","=""3.625472""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""a 4D""","=""7/2""",8,"=""""","=""4.005595""","=""""","=""""","="" 100                                         ""","="""""
"=""3d5""","=""a 4D""","=""1/2""",2,"=""""","=""4.01323""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""a 4D""","=""5/2""",6,"=""""","=""4.015067""","=""""","=""""","=""  97                                         ""","="""""
"=""3d5""","=""a 4D""","=""3/2""",4,"=""""","=""4.015191""","=""""","=""""","=""  98                                         ""","="""""
"=""3d5""","=""a 2I""","=""11/2""",12,"=""""","=""4.85701""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""a 2I""","=""13/2""",14,"=""""","=""4.85727""","=""""","=""""","="" 100                                         ""","="""""
"=""3d5""","=""a 2D3""","=""5/2""",6,"=""""","=""5.11287""","=""""","=""""","=""  58             :    22  3d5           2F1  ""","="""""
"=""3d5""","=""a 2D3""","=""3/2""",4,"=""""","=""5.15400""","=""""","=""""","=""  73             :    24  3d5           2D1  ""","="""""
"=""3d5""","=""a 2F1""","=""7/2""",8,"=""""","=""5.28253""","=""""","=""""","=""  98                                         ""","="""""
"=""3d5""","=""a 2F1""","=""5/2""",6,"=""""","=""5.34439""","=""""","=""""","=""  72             :    14  3d5           2D3  ""","="""""
"=""3d5""","=""a 4F""","=""9/2""",10,"=""""","=""5.402383""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""a 4F""","=""7/2""",8,"=""""","=""5.406021""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""a 4F""","=""5/2""",6,"=""""","=""5.414246""","=""""","=""""","=""  90                                         ""","="""""
"=""3d5""","=""a 4F""","=""3/2""",4,"=""""","=""5.41497""","=""""","=""""","=""  96                                         ""","="""""
"=""3d5""","=""a 2H""","=""9/2""",10,"=""""","=""5.76724""","=""""","=""""","=""  92                                         ""","="""""
"=""3d5""","=""a 2H""","=""11/2""",12,"=""""","=""5.78643""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""a 2G2""","=""7/2""",8,"=""""","=""5.93165""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""a 2G2""","=""9/2""",10,"=""""","=""5.95189""","=""""","=""""","=""  91                                         ""","="""""
"=""3d5""","=""b 2F2""","=""5/2""",6,"=""""","=""6.32353""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""b 2F2""","=""7/2""",8,"=""""","=""6.33060""","=""""","=""""","=""  99                                         ""","="""""
"=""3d5""","=""a 2S""","=""1/2""",2,"=""""","=""6.90316""","=""""","=""""","="" 100                                         ""","="""""
"=""3d5""","=""b 2D2""","=""3/2""",4,"=""""","=""7.63497""","=""""","=""""","="" 100                                         ""","="""""
