State,Lifetime /s,Energy /eV
N 4So;v=2s2.2p3,,0.0
N 2Do;v=2s2.2p3,49164.2,2.38455787634845
N 2Po;v=2s2.2p3,11.0828,3.57548541793489
N 4P;v=2s2.2p2(3P)3s,2.5e-09,10.3256741795225
N 2P;v=2s2.2p2(3P)3s,2.12935e-09,10.6794301321765
N 4P;v=2s.2p4,6.62252e-09,10.9315089892669
N 2So;v=2s2.2p2(3P)3p,1.13222e-07,11.6023720109649
N 4Do;v=2s2.2p2(3P)3p,3.80706e-08,11.7498230166395
N 4Po;v=2s2.2p2(3P)3p,3.16961e-08,11.8371554713585
N 4So;v=2s2.2p2(3P)3p,2.406e-08,11.995293668397
N 2Do;v=2s2.2p2(3P)3p,3.98748e-08,11.9998685797814
N 2Po;v=2s2.2p2(3P)3p,3.16442e-08,12.1216802446896
N 2D;v=2s2.2p2(1D)3s,2.51249e-09,12.3564637050831
N 4P;v=2s2.2p2(3P)4s,1.22704e-08,12.8473182216613
N 2P;v=2s2.2p2(3P)4s,7.55697e-09,12.912036480269
N 2P;v=2s2.2p2(3P)3d,8.85268e-09,12.9751429814784
N 4F;v=2s2.2p2(3P)3d,2.49198e-08,12.9763827948617
N 2F;v=2s2.2p2(3P)3d,7.08542e-09,12.9944840702577
N 4P;v=2s2.2p2(3P)3d,4.57565e-09,13.0039066519707
N 4D;v=2s2.2p2(3P)3d,2.23605e-08,13.016056823127
N 2D;v=2s2.2p2(3P)3d,7.73197e-09,13.0329182851397
N 2So;v=2s2.2p2(3P)4p,2.3084e-07,13.2012849425904
N 4Do;v=2s2.2p2(3P)4p,2.43853e-07,13.2361236986609
N 4Po;v=2s2.2p2(3P)4p,2.05141e-07,13.2635235744316
N 2Do;v=2s2.2p2(3P)4p,2.37473e-07,13.2886917861124
N 4So;v=2s2.2p2(3P)4p,1.26743e-07,13.3212988780929
N 2Po;v=2s2.2p2(3P)4p,1.55481e-07,13.3389042281356
N 4F;v=2s2.2p2(3P)4d,9.46432e-08,13.6621235771592
N 2P;v=2s2.2p2(3P)4d,1.97746e-08,13.6683226440756
N 2F;v=2s2.2p2(3P)4d,1.43618e-08,13.6734058789471
N 4P;v=2s2.2p2(3P)4d,9.32827e-09,13.6813406846002
N 4D;v=2s2.2p2(3P)4d,9.08926e-08,13.68580401278
N 2D;v=2s2.2p2(3P)4d,2.00441e-08,13.6933668744181
N 2Do;v=2s2.2p2(1D)3p,3.29368e-08,13.7025414934544
N 2Fo;v=2s2.2p2(1D)3p,3.5868e-08,13.7260979477369
N 2Po;v=2s2.2p2(1D)3p,2.64564e-08,13.9223604063116
N 2S;v=2s2.2p2(1S)3s,8.992e-06,14.4164260395525
N 2D;v=2s2.2p2(1D)4s,1.56977e-08,14.7798153421947
N 2F;v=2s2.2p2(1D)3d,2.68305e-08,14.8545760892071
N 2D;v=2s2.2p2(1D)3d,3.54374e-09,14.8971016882539
N 2P;v=2s2.2p2(1D)3d,3.82702e-09,14.9163187956949
N 2S;v=2s2.2p2(1D)3d,4.47473e-09,14.9479340369688
N 2D;v=2s.2p4,1.99278e-09,15.0265382054693
N 2Po;v=2s2.2p2(3P)5p,,13.7865819957
N 2P;v=2s2.2p2(3P)5s,,13.6423758296
