spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
N II,N,1,2s2.2p2,3P,0.0,1,0.0,0.0,even,,no,29.60125,,metastable - no allowed radiative channel,,,,,,,yes,L7288
N II,N,1,2s2.2p2,3P,1.0,3,0.00604,,even,,no,29.60125,480769.23076923075,"ASD 1/sum(Aki), J-resolved",480769.23076923075,1/1,yes,0.00604,0.00604,,yes,
N II,N,1,2s2.2p2,3P,2.0,5,0.01622,,even,,no,29.60125,134048.23724744964,"ASD 1/sum(Aki), J-resolved",134048.23724744964,2/2,yes,0.010179999999999998,0.01622,,yes,
N II,N,1,2s2.2p2,1D,2.0,5,1.89897,,even,,no,29.60125,256.14117682014563,"ASD 1/sum(Aki), J-resolved",256.14117682014563,5/5,yes,1.8827500000000001,1.89897,256.141,,
N II,N,1,2s2.2p2,1S,0.0,1,4.05289,,even,,no,29.60125,0.8532750830876613,"ASD 1/sum(Aki), J-resolved",0.8532750830876613,3/3,yes,2.1539199999999994,4.04685,0.853275,,
N II,N,1,2s.2p3,5S*,2.0,5,5.80055,,odd,,no,29.60125,0.005602211614210442,"ASD 1/sum(Aki), J-resolved",0.005602211614210442,3/3,yes,5.784330000000001,5.794510000000001,0.00560221,,
N II,N,1,2s.2p3,3D*,3.0,7,11.43596,,odd,,no,29.60125,2.6881421265903114e-09,"ASD 1/sum(Aki), J-resolved",2.6881421265903114e-09,2/2,yes,11.41974,11.41974,2.67408e-09,,
N II,N,1,2s.2p3,3D*,2.0,5,11.43758,,odd,,no,29.60125,2.6809598789716053e-09,"ASD 1/sum(Aki), J-resolved",2.6809598789716053e-09,3/3,yes,11.43154,11.43154,2.67408e-09,,
N II,N,1,2s.2p3,3D*,1.0,3,11.43777,,odd,,no,29.60125,2.67407648268409e-09,"ASD 1/sum(Aki), J-resolved",2.67407648268409e-09,5/5,yes,11.43777,11.43777,2.67408e-09,,
N II,N,1,2s.2p3,3P*,1.0,3,13.54113,,odd,,no,29.60125,7.867775915474674e-10,"ASD 1/sum(Aki), J-resolved",7.867775915474674e-10,10/10,yes,13.52491,13.54113,7.87397e-10,,
N II,N,1,2s.2p3,3P*,2.0,5,13.54126,,odd,,no,29.60125,7.880206358802642e-10,"ASD 1/sum(Aki), J-resolved",7.880206358802642e-10,10/10,yes,13.525039999999999,13.535219999999999,7.87397e-10,,
N II,N,1,2s.2p3,3P*,0.0,1,13.54199,,odd,,no,29.60125,7.874015743299089e-10,"ASD 1/sum(Aki), J-resolved",7.874015743299089e-10,3/3,yes,13.53595,13.53595,7.87397e-10,,
N II,N,1,2s.2p3,1D*,2.0,5,17.877026,,odd,,no,29.60125,3.184665646372277e-10,"ASD 1/sum(Aki), J-resolved",3.184665646372277e-10,5/5,yes,15.978056,17.870986000000002,3.18467e-10,,
N II,N,1,2s2.2p.3s,3P*,0.0,1,18.462312,,odd,,no,29.60125,8.849557522123894e-10,"ASD 1/sum(Aki), J-resolved",8.849557522123894e-10,1/1,yes,18.456272000000002,18.456272000000002,6.60655e-10,,
N II,N,1,2s2.2p.3s,3P*,1.0,3,18.466228,,odd,,no,29.60125,7.068886296963913e-10,"ASD 1/sum(Aki), J-resolved",7.068886296963913e-10,5/5,yes,18.450008,18.466228,6.60655e-10,,
N II,N,1,2s2.2p.3s,3P*,2.0,5,18.483133,,odd,,no,29.60125,8.802761341726391e-10,"ASD 1/sum(Aki), J-resolved",8.802761341726391e-10,3/3,yes,18.466912999999998,18.477093,6.60655e-10,,
N II,N,1,2s2.2p.3s,1P*,1.0,3,18.49693,,odd,,no,29.60125,2.6173899387530753e-10,"ASD 1/sum(Aki), J-resolved",2.6173899387530753e-10,5/5,yes,16.59796,18.49693,2.61739e-10,,
N II,N,1,2s.2p3,3S*,1.0,3,19.233263,,odd,,no,29.60125,9.354428004711876e-11,"ASD 1/sum(Aki), J-resolved",9.354428004711876e-11,11/11,yes,19.217043,19.233263,9.35443e-11,,
N II,N,1,2s2.2p.3p,1P,1.0,3,20.409133,,even,,no,29.60125,3.085699792658439e-08,"ASD 1/sum(Aki), J-resolved",3.085699792658439e-08,11/11,yes,1.9122030000000017,8.971553,3.0857e-08,,
N II,N,1,2s2.2p.3p,3D,1.0,3,20.646058,,even,,no,29.60125,1.2716109802887909e-08,"ASD 1/sum(Aki), J-resolved",1.2716109802887909e-08,11/11,yes,2.1837459999999993,14.845507999999999,1.27161e-08,,
N II,N,1,2s2.2p.3p,3D,2.0,5,20.653592,,even,,no,29.60125,1.2695183680458683e-08,"ASD 1/sum(Aki), J-resolved",1.2695183680458683e-08,10/10,yes,2.1873639999999988,14.853041999999999,1.27161e-08,,
N II,N,1,2s2.2p.3p,3D,3.0,7,20.665518,,even,,no,29.60125,1.2681471653284589e-08,"ASD 1/sum(Aki), J-resolved",1.2681471653284589e-08,6/6,yes,2.182385,14.864967999999998,1.27161e-08,,
