Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
N+ 1D;v=2s2.2p2,N+ 3P;v=2s2.2p2,256.14,-1.89892297411394
N+ 1S;v=2s2.2p2,N+ 1D;v=2s2.2p2,0.87719,-2.1538781982536004
N+ 1S;v=2s2.2p2,N+ 3P;v=2s2.2p2,31.294,-4.05280117236754
N+ 5So;v=2s.2p3,N+ 3P;v=2s2.2p2,0.0056022,-5.80041732118482
N+ 5So;v=2s.2p3,N+ 1D;v=2s2.2p2,1071.8,-3.9014943470708796
N+ 3Do;v=2s.2p3,N+ 3P;v=2s2.2p2,2.6741e-09,-11.4375016272551
N+ 3Do;v=2s.2p3,N+ 1D;v=2s2.2p2,0.0019231,-9.53857865314116
N+ 3Do;v=2s.2p3,N+ 1S;v=2s2.2p2,0.0027624,-7.38470045488756
N+ 3Po;v=2s.2p3,N+ 3P;v=2s2.2p2,7.874e-10,-13.5417376976418
N+ 3Po;v=2s.2p3,N+ 1D;v=2s2.2p2,0.0001938,-11.64281472352786
N+ 3Po;v=2s.2p3,N+ 1S;v=2s2.2p2,0.00048544,-9.488936525274259
N+ 3Po;v=2s.2p3,N+ 3Do;v=2s.2p3,1.3101,-2.1042360703866994
N+ 3Po;v=2s.2p3,N+ 5So;v=2s.2p3,86.956,-7.74132037645698
N+ 1Do;v=2s.2p3,N+ 1D;v=2s2.2p2,3.1847e-10,-15.977698236861361
N+ 1Do;v=2s.2p3,N+ 3P;v=2s2.2p2,2.125e-05,-17.8766212109753
N+ 1Do;v=2s.2p3,N+ 3Po;v=2s.2p3,123.76,-4.3348835133335015
N+ 3Po;v=2s2.2p.3s,N+ 3P;v=2s2.2p2,8.8496e-10,-18.4619371092263
N+ 3Po;v=2s2.2p.3s,N+ 1D;v=2s2.2p2,2.6247e-09,-16.56301413511236
N+ 3Po;v=2s2.2p.3s,N+ 1S;v=2s2.2p2,3.7736e-07,-14.40913593685876
N+ 1Po;v=2s2.2p.3s,N+ 1D;v=2s2.2p2,2.71e-10,-16.59760492850616
N+ 1Po;v=2s2.2p.3s,N+ 3P;v=2s2.2p2,9.5238e-09,-18.4965279026201
N+ 1Po;v=2s2.2p.3s,N+ 1S;v=2s2.2p2,3.9062e-08,-14.44372673025256
N+ 3So;v=2s.2p3,N+ 3P;v=2s2.2p2,9.3545e-11,-19.2328530709558
N+ 3So;v=2s.2p3,N+ 1D;v=2s2.2p2,9.434e-06,-17.33393009684186
N+ 3So;v=2s.2p3,N+ 1S;v=2s2.2p2,5.4054e-05,-15.18005189858826
N+ 3So;v=2s.2p3,N+ 3Do;v=2s.2p3,2.8531,-7.795351443700701
N+ 3So;v=2s.2p3,N+ 3Po;v=2s.2p3,144.51,-5.691115373314002
N+ 1P;v=2s2.2p.3p,N+ 1Po;v=2s2.2p.3s,3.8759e-08,-1.9121641810474976
N+ 1P;v=2s2.2p.3p,N+ 3Po;v=2s2.2p.3s,2.8343e-07,-1.9467549744412977
N+ 1P;v=2s2.2p.3p,N+ 1Do;v=2s.2p3,3.2894e-07,-2.532070872692298
N+ 1P;v=2s2.2p.3p,N+ 3Po;v=2s.2p3,3.1338e-05,-6.8669543860257996
N+ 1P;v=2s2.2p.3p,N+ 3Do;v=2s.2p3,0.00014118,-8.971190456412499
N+ 3D;v=2s2.2p.3p,N+ 3Po;v=2s2.2p.3s,2.1249e-08,-2.183683311987899
N+ 3D;v=2s2.2p.3p,N+ 3Po;v=2s.2p3,4.5523e-08,-7.103882723572401
N+ 3D;v=2s2.2p.3p,N+ 3Do;v=2s.2p3,1.385e-07,-9.2081187939591
N+ 3D;v=2s2.2p.3p,N+ 1Po;v=2s2.2p.3s,4.1841e-07,-2.1490925185940988
N+ 3D;v=2s2.2p.3p,N+ 1Do;v=2s.2p3,0.00029412,-2.768999210238899
N+ 1Po;v=2s.2p3,N+ 1D;v=2s2.2p2,3.1546e-10,-18.77694889365256
N+ 1Po;v=2s.2p3,N+ 1S;v=2s2.2p2,7.4074e-10,-16.623070695398958
N+ 1Po;v=2s.2p3,N+ 3P;v=2s2.2p2,4.7461e-06,-20.6758718677665
N+ 1Po;v=2s.2p3,N+ 1P;v=2s2.2p.3p,4.7847e-05,-0.2671797840989001
N+ 1Po;v=2s.2p3,N+ 1Do;v=2s.2p3,0.2445,-2.799250656791198
N+ 3S;v=2s2.2p.3p,N+ 3Po;v=2s.2p3,1.2502e-08,-7.3977184954120006
N+ 3S;v=2s2.2p.3p,N+ 3Po;v=2s2.2p.3s,1.5865e-08,-2.4775190838274987
N+ 3S;v=2s2.2p.3p,N+ 1Po;v=2s2.2p.3s,4.1152e-07,-2.4429282904336986
N+ 3S;v=2s2.2p.3p,N+ 3Do;v=2s.2p3,1.1037e-05,-9.5019545657987
N+ 3S;v=2s2.2p.3p,N+ 1Do;v=2s.2p3,0.00069444,-3.062834982078499
N+ 3P;v=2s2.2p.3p,N+ 3Po;v=2s2.2p.3s,1.1062e-08,-2.6859317135584995
N+ 3P;v=2s2.2p.3p,N+ 3Do;v=2s.2p3,1.6447e-08,-9.7103671955297
N+ 3P;v=2s2.2p.3p,N+ 1Po;v=2s2.2p.3s,1.171e-07,-2.6513409201646994
N+ 3P;v=2s2.2p.3p,N+ 3Po;v=2s.2p3,3.1153e-07,-7.606131125143001
N+ 3P;v=2s2.2p.3p,N+ 3So;v=2s.2p3,8.8495e-05,-1.9150157518289994
N+ 1D;v=2s2.2p.3p,N+ 1Po;v=2s2.2p.3s,8.1966e-09,-3.1025090103437982
N+ 1D;v=2s2.2p.3p,N+ 3Po;v=2s2.2p.3s,8.259e-08,-3.1370998037375983
N+ 1D;v=2s2.2p.3p,N+ 1Do;v=2s.2p3,4.9751e-07,-3.7224157019885986
N+ 1D;v=2s2.2p.3p,N+ 1Po;v=2s.2p3,1.5773e-06,-0.9231650451974005
N+ 1D;v=2s2.2p.3p,N+ 3So;v=2s.2p3,0.00031645,-2.3661838420080983
N+ 1S;v=2s2.2p.3p,N+ 1Po;v=2s2.2p.3s,5.2356e-09,-3.6059972252975996
N+ 1S;v=2s2.2p.3p,N+ 3Po;v=2s2.2p.3s,5.2356e-08,-3.6405880186913997
N+ 1S;v=2s2.2p.3p,N+ 1Po;v=2s.2p3,8.6207e-07,-1.4266532601512019
N+ 1S;v=2s2.2p.3p,N+ 3Do;v=2s.2p3,0.00011877,-10.6650235006626
N+ 1S;v=2s2.2p.3p,N+ 3So;v=2s.2p3,0.00017889,-2.8696720569618996
N+ 3Fo;v=2s2.2p.3d,N+ 3D;v=2s2.2p.3p,8.8646e-09,-2.4783869531957983
N+ 3Fo;v=2s2.2p.3d,N+ 1D;v=2s2.2p2,4.2537e-08,-21.22508440029606
