conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p,2P*,0.5,2.0,0.0,2s2.2p,2P*,1.5,4.0,0.02162,0.02162,57346.99278,4.79e-05,4.7233e-09,9.4466e-09,1.2536e-10
2s2.2p,2P*,0.5,2.0,0.0,2s2.2p,2P*,1.5,4.0,0.02162,0.02162,57346.99278,7.38e-12,7.2772e-16,1.4554e-15,1.9314e-17
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,4P,0.5,2.0,7.0903,7.0903,174.86453,497.0,2.2783e-07,4.5567e-07,6.0467e-09
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,4P,1.5,4.0,7.0977,7.0977,174.68222,9.49,8.6827e-09,1.7365e-08,2.3044e-10
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2D,1.5,4.0,12.5262,12.5262,98.9799,418000000.0,0.12279,0.24558,0.0032588
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2S,0.5,2.0,16.24246,16.24246,76.33339,958000000.0,0.083686,0.16737,0.002221
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2P,0.5,2.0,18.08628,18.08628,68.55152,3830000000.0,0.26983,0.53966,0.0071613
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2P,1.5,4.0,18.09993,18.09993,68.49982,963000000.0,0.13549,0.27097,0.0035958
2s2.2p,2P*,0.5,2.0,0.0,2s2.3s,2S,0.5,2.0,27.43798,27.43798,45.18707,1030000000.0,0.03153,0.06306,0.00083681
2s2.2p,2P*,0.5,2.0,0.0,2s2.3d,2D,1.5,4.0,33.13334,33.13334,37.41977,9890000000.0,0.41523,0.83046,0.01102
2s2.2p,2P*,0.5,2.0,0.0,2s2.4s,2S,0.5,2.0,37.32948,37.32948,33.21348,371000000.0,0.0061357,0.012271,0.00016284
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2P,0.5,2.0,38.32738,38.32738,32.34873,2210000000.0,0.034671,0.069342,0.00092017
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2P,1.5,4.0,38.33408,38.33408,32.34307,553000000.0,0.017345,0.03469,0.00046034
2s2.2p,2P*,0.5,2.0,0.0,2s2.4d,2D,1.5,4.0,39.39569,39.39569,31.47151,6540000000.0,0.19422,0.38845,0.0051547
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2D,1.5,4.0,39.79622,39.79622,31.15477,548000000.0,0.015948,0.031897,0.00042327
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2S,0.5,2.0,40.55002,40.55002,30.57562,484000000.0,0.0067835,0.013567,0.00018003
2s2.2p,2P*,0.5,2.0,0.0,2s2.5s,2S,0.5,2.0,41.37501,41.37501,29.96596,405000000.0,0.0054522,0.010904,0.0001447
2s2.2p,2P*,0.5,2.0,0.0,2s2.5d,2D,1.5,4.0,42.39611,42.39611,29.24424,1890000000.0,0.048465,0.096931,0.0012863
2s2.2p,2P*,0.5,2.0,0.0,2s2.6s,2S,0.5,2.0,43.37275,43.37275,28.58574,156000000.0,0.0019111,0.0038222,5.0721e-05
2s2.2p,2P*,0.5,2.0,0.0,2s2.6d,2D,1.5,4.0,43.95618,43.95618,28.20632,1130000000.0,0.026956,0.053913,0.00071542
2s2.2p,2P*,0.5,2.0,0.0,2s2.7d,2D,1.5,4.0,44.8905,44.8905,27.61925,726000000.0,0.016605,0.033211,0.00044071
2s2.2p,2P*,0.5,2.0,0.0,2s2.8d,2D,1.5,4.0,45.4948,45.4948,27.25239,495000000.0,0.011023,0.022046,0.00029255
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).4p,2P,0.5,2.0,46.46263,46.46263,26.68471,532000000.0,0.0056793,0.011359,0.00015073
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).4p,2P,1.5,4.0,46.46987,46.46987,26.68056,133000000.0,0.0028388,0.0056776,7.5341e-05
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(1P*).3p,2P,0.5,2.0,46.81369,46.81369,26.4846,1250000000.0,0.013145,0.02629,0.00034887
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(1P*).3p,2P,1.5,4.0,46.81783,46.81783,26.48226,312000000.0,0.0065608,0.013122,0.00017412
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).5p,2P,0.5,2.0,49.91909,49.91909,24.83703,608000000.0,0.0056229,0.011246,0.00014923
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).5p,2P,1.5,4.0,49.92913,49.92913,24.83204,148000000.0,0.0027364,0.0054728,7.2623e-05
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).6p,2P,0.5,2.0,52.08652,52.08652,23.80351,202000000.0,0.0017159,0.0034318,4.554e-05
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).6p,2P,1.5,4.0,52.09548,52.09548,23.79942,50500000.0,0.00085766,0.0017153,2.2762e-05
2s2.2p,2P*,1.5,4.0,0.02162,2s.2p2,4P,0.5,2.0,7.0903,7.06868,175.39937,522.0,1.2038e-07,4.8152e-07,3.1949e-09
2s2.2p,2P*,1.5,4.0,0.02162,2s.2p2,4P,1.5,4.0,7.0977,7.07608,175.21594,65.0,2.9917e-08,1.1967e-07,7.94e-10
2s2.2p,2P*,1.5,4.0,0.02162,2s.2p2,4P,2.5,6.0,7.10775,7.08613,174.96743,308.0,2.1204e-07,8.4816e-07,5.6275e-09
2s2.2p,2P*,1.5,4.0,0.02162,2s.2p2,2D,2.5,6.0,12.52537,12.50375,99.15761,497000000.0,0.10989,0.43956,0.0029165
2s2.2p,2P*,1.5,4.0,0.02162,2s.2p2,2D,1.5,4.0,12.5262,12.50458,99.15103,81700000.0,0.012041,0.048166,0.00031958
