spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
N IV,N,3,1s2.2s2,1S,0.0,1,0.0,0.0,even,,no,77.4735,,,,,,,,,,L7288
N IV,N,3,1s2.2s.2p,3P*,0.0,1,8.33288,,odd,,no,77.4735,,,,,,,,,,
N IV,N,3,1s2.2s.2p,3P*,1.0,3,8.3407,,odd,,no,77.4735,0.0016806722561118568,"ASD 1/sum(Aki), J-resolved",0.0016806722561118568,2/2,yes,8.3407,8.3407,,,
N IV,N,3,1s2.2s.2p,3P*,2.0,5,8.35856,,odd,,no,77.4735,86.65285991081596,"ASD 1/sum(Aki), J-resolved",86.65285991081596,4/4,yes,8.35856,8.35856,,,
N IV,N,3,1s2.2s.2p,1P*,1.0,3,16.20398,,odd,,no,77.4735,4.310344827491916e-10,"ASD 1/sum(Aki), J-resolved",4.310344827491916e-10,6/6,yes,16.20398,16.20398,,,
N IV,N,3,1s2.2p2,3P,0.0,1,21.76362,,even,,no,77.4735,5.694756798443008e-10,"ASD 1/sum(Aki), J-resolved",5.694756798443008e-10,3/3,yes,13.42292,13.42292,,,
N IV,N,3,1s2.2p2,3P,1.0,3,21.77263,,even,,no,77.4735,5.688605464865915e-10,"ASD 1/sum(Aki), J-resolved",5.688605464865915e-10,9/9,yes,13.414069999999999,21.77263,,,
N IV,N,3,1s2.2p2,3P,2.0,5,21.7881,,even,,no,77.4735,5.680189386754792e-10,"ASD 1/sum(Aki), J-resolved",5.680189386754792e-10,11/11,yes,13.42954,21.7881,,,
N IV,N,3,1s2.2p2,1D,2.0,5,23.41845,,even,,no,77.4735,4.306374788582042e-09,"ASD 1/sum(Aki), J-resolved",4.306374788582042e-09,13/13,yes,7.214469999999999,23.41845,,,
N IV,N,3,1s2.2p2,1S,0.0,1,29.18207,,even,,no,77.4735,3.425823875422947e-10,"ASD 1/sum(Aki), J-resolved",3.425823875422947e-10,6/6,yes,12.978089999999998,20.841369999999998,,,
N IV,N,3,1s2.2s.3s,3S,1.0,3,46.77735,,even,,no,77.4735,1.1123470522803115e-10,"ASD 1/sum(Aki), J-resolved",1.1123470522803115e-10,3/3,yes,38.41879,38.444469999999995,,,
N IV,N,3,1s2.2s.3s,1S,0.0,1,48.21183,,even,,no,77.4735,3.9215686274509806e-10,"ASD 1/sum(Aki), J-resolved",3.9215686274509806e-10,1/1,yes,32.00785,32.00785,,,
N IV,N,3,1s2.2s.3p,1P*,1.0,3,50.15439,,odd,,no,77.4735,7.668182410723186e-11,"ASD 1/sum(Aki), J-resolved",7.668182410723186e-11,4/4,yes,50.15439,50.15439,,,
N IV,N,3,1s2.2s.3p,3P*,0.0,1,50.33406,,odd,,no,77.4735,8.257638315441784e-09,"ASD 1/sum(Aki), J-resolved",8.257638315441784e-09,2/2,yes,3.5567100000000025,28.56143,,,
N IV,N,3,1s2.2s.3p,3P*,1.0,3,50.33603,,odd,,no,77.4735,8.050881571532082e-09,"ASD 1/sum(Aki), J-resolved",8.050881571532082e-09,5/5,yes,3.5586800000000025,50.33603,,,
N IV,N,3,1s2.2s.3p,3P*,2.0,5,50.34041,,odd,,no,77.4735,8.258320257659592e-09,"ASD 1/sum(Aki), J-resolved",8.258320257659592e-09,3/3,yes,3.56306,28.56778,,,
N IV,N,3,1s2.2s.3d,3D,1.0,3,52.07904,,even,,no,77.4735,3.283286093960228e-11,"ASD 1/sum(Aki), J-resolved",3.283286093960228e-11,6/6,yes,43.74616,43.74616,,,
N IV,N,3,1s2.2s.3d,3D,2.0,5,52.07951,,even,,no,77.4735,3.276404709373073e-11,"ASD 1/sum(Aki), J-resolved",3.276404709373073e-11,4/4,yes,43.73881,43.73881,,,
N IV,N,3,1s2.2s.3d,3D,3.0,7,52.08055,,even,,no,77.4735,3.27748498911875e-11,"ASD 1/sum(Aki), J-resolved",3.27748498911875e-11,2/2,yes,43.721990000000005,43.721990000000005,,,
N IV,N,3,1s2.2s.3d,1D,2.0,5,53.20901,,even,,no,77.4735,5.4006761646558146e-11,"ASD 1/sum(Aki), J-resolved",5.4006761646558146e-11,2/2,yes,37.00503,37.00503,,,
N IV,N,3,1s2.2p.(2P*).3s,3P*,0.0,1,57.68883,,odd,,no,77.4735,1.4338973329509607e-10,"ASD 1/sum(Aki), J-resolved",1.4338973329509607e-10,2/2,yes,35.9162,35.9162,,,
N IV,N,3,1s2.2p.(2P*).3s,3P*,1.0,3,57.69865,,odd,,no,77.4735,1.4336917562724014e-10,"ASD 1/sum(Aki), J-resolved",1.4336917562724014e-10,4/4,yes,35.91055,35.93503,,,
N IV,N,3,1s2.2p.(2P*).3s,3P*,2.0,5,57.71918,,odd,,no,77.4735,1.4291839359725597e-10,"ASD 1/sum(Aki), J-resolved",1.4291839359725597e-10,3/3,yes,35.93108,35.94655,,,
N IV,N,3,1s2.2p.(2P*<3/2>).3s,1P*,1.0,3,58.64816,,odd,,no,77.4735,1.177717583323519e-10,"ASD 1/sum(Aki), J-resolved",1.177717583323519e-10,4/4,yes,35.22971,58.64816,,,
N IV,N,3,1s2.2p.(2P*<1/2>).3p,1P,1.0,3,59.62204,,even,,no,77.4735,1.2631350253448042e-10,"ASD 1/sum(Aki), J-resolved",1.2631350253448042e-10,3/3,yes,43.41806,43.41806,,,
N IV,N,3,1s2.2p.(2P*).3p,3D,1.0,3,60.07012,,even,,no,77.4735,2.7554676745065234e-10,"ASD 1/sum(Aki), J-resolved",2.7554676745065234e-10,9/9,yes,51.73724,51.73724,,,
