conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,3P*,1.0,3.0,8.3407,8.3407,148.64963,595.0,5.9132e-07,5.9132e-07,1.5694e-08
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,3P*,2.0,5.0,8.35856,8.35856,148.33201,0.0115,1.8967e-11,1.8967e-11,5.0338e-13
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,1P*,1.0,3.0,16.20398,16.20398,76.51466,2320000000.0,0.61088,0.61088,0.016213
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p2,3P,1.0,3.0,21.77263,21.77263,56.94498,0.00663,9.6695e-13,9.6695e-13,2.5663e-14
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p2,3P,2.0,5.0,21.7881,21.7881,56.90455,0.114,2.7671e-11,2.7671e-11,7.3439e-13
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p2,1D,2.0,5.0,23.41845,23.41845,52.94296,2680.0,5.6309e-07,5.6309e-07,1.4945e-08
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.3p,1P*,1.0,3.0,50.15439,50.15439,24.72051,11900000000.0,0.32707,0.32707,0.0086805
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.3p,3P*,1.0,3.0,50.33603,50.33603,24.6313,3080000.0,8.4044e-05,8.4044e-05,2.2305e-06
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p.(2P*<3/2>).3s,1P*,1.0,3.0,58.64816,58.64816,21.14034,222000000.0,0.0044623,0.0044623,0.00011843
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.4p,1P*,1.0,3.0,62.86345,62.86345,19.72278,6010000000.0,0.10515,0.10515,0.0027906
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p.(2P*<3/2>).3d,1P*,1.0,3.0,64.29951,64.29951,19.28229,358000000.0,0.0059866,0.0059866,0.00015888
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.5p,1P*,1.0,3.0,68.22015,68.22015,18.17413,2800000000.0,0.041595,0.041595,0.0011039
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.6p,1P*,1.0,3.0,71.00961,71.00961,17.4602,1700000000.0,0.023309,0.023309,0.00061863
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p.(2P*<3/2>).4s,1P*,1.0,3.0,72.01219,72.01219,17.21711,5850000.0,7.7993e-05,7.7993e-05,2.0699e-06
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.7p,1P*,1.0,3.0,72.90015,72.90015,17.0074,1000000000.0,0.013009,0.013009,0.00034527
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.8p,1P*,1.0,3.0,73.92817,73.92817,16.7709,1020000000.0,0.012903,0.012903,0.00034245
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p.(2P*<3/2>).4d,1P*,1.0,3.0,74.20928,74.20928,16.70737,420000000.0,0.0052729,0.0052729,0.00013994
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.9p,1P*,1.0,3.0,74.71403,74.71403,16.5945,329000000.0,0.0040748,0.0040748,0.00010814
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.10p,1P*,1.0,3.0,75.23587,75.23587,16.4794,323000000.0,0.0039452,0.0039452,0.0001047
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.2p,3P*,1.0,3.0,8.3407,0.00782,158547.56829,4.53e-06,5.1215e-09,5.1215e-09,1.3592e-10
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.2p,3P*,2.0,5.0,8.35856,0.02568,48280.45109,6.53e-12,1.141e-15,1.141e-15,3.0282e-17
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.2p,1P*,1.0,3.0,16.20398,7.8711,157.51826,0.0124,1.3838e-11,1.3838e-11,3.6725e-13
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2p2,3P,1.0,3.0,21.77263,13.43975,92.25186,587600000.0,0.22491,0.22491,0.0059692
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2p2,3P,2.0,5.0,21.7881,13.45522,92.1458,0.0173,1.1011e-11,1.1011e-11,2.9223e-13
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2p2,1D,2.0,5.0,23.41845,15.08557,82.18728,0.0721,3.6507e-11,3.6507e-11,9.6889e-13
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.3s,3S,1.0,3.0,46.77735,38.44447,32.2502,1000000000.0,0.046778,0.046778,0.0012415
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.3d,3D,1.0,3.0,52.07904,43.74616,28.34173,16900000000.0,0.61055,0.61055,0.016204
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2p.(2P*).3p,3D,1.0,3.0,60.07012,51.73724,23.96421,1770000000.0,0.045717,0.045717,0.0012133
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.4s,3S,1.0,3.0,60.45561,52.12273,23.78697,969000000.0,0.024659,0.024659,0.00065446
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2p.(2P*).3p,3P,1.0,3.0,61.28653,52.95365,23.41372,1590000000.0,0.039203,0.039203,0.0010404
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2p.(2P*<3/2>).3p,3S,1.0,3.0,61.74977,53.41689,23.21067,1030000000.0,0.024957,0.024957,0.00066236
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.4d,3D,1.0,3.0,63.41,55.07712,22.51102,5570000000.0,0.12695,0.12695,0.0033692
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.5s,3S,1.0,3.0,67.54825,59.21537,20.93784,148000000.0,0.0029181,0.0029181,7.7447e-05
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.5d,3D,1.0,3.0,68.53718,60.2043,20.59391,2770000000.0,0.052837,0.052837,0.0014023
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.6s,3S,1.0,3.0,70.71827,62.38539,19.87392,112000000.0,0.0019896,0.0019896,5.2804e-05
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.6d,3D,1.0,3.0,71.2947,62.96182,19.69197,1590000000.0,0.02773,0.02773,0.00073596
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.7s,3S,1.0,3.0,72.52792,64.19504,19.31367,159000000.0,0.0026675,0.0026675,7.0796e-05
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2p.(2P*).4p,3D,1.0,3.0,72.61872,64.28584,19.28639,1090000000.0,0.018235,0.018235,0.00048396
1s2.2s.2p,3P*,0.0,1.0,8.33288,1s2.2s.7d,3D,1.0,3.0,72.95015,64.61727,19.18747,727000000.0,0.012038,0.012038,0.00031949
