conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2,1S,0.0,1.0,0.0,1s.2s,3S,1.0,3.0,419.791888,419.791888,2.95347,255.0,1.0004e-10,1.0004e-10,2.6551e-12
1s2,1S,0.0,1.0,0.0,1s.2p,3P*,2.0,5.0,426.328357,426.328357,2.90819,103000.0,6.53e-08,6.53e-08,1.7331e-09
1s2,1S,0.0,1.0,0.0,1s.2p,1P*,1.0,3.0,430.695665,430.695665,2.8787,1809000000000.0,0.67423,0.67423,0.017894
1s2,1S,0.0,1.0,0.0,1s.3s,3S,1.0,3.0,494.9247,494.9247,2.50511,83.6,2.3596e-11,2.3596e-11,6.2624e-13
1s2,1S,0.0,1.0,0.0,1s.3d,1D,2.0,5.0,497.6392,497.6392,2.49145,57770000.0,2.688e-05,2.688e-05,7.1341e-07
1s2,1S,0.0,1.0,0.0,1s.3p,1P*,1.0,3.0,497.9194,497.9194,2.49005,515800000000.0,0.14384,0.14384,0.0038175
1s2,1S,0.0,1.0,0.0,1s.4s,3S,1.0,3.0,520.3346,520.3346,2.38278,45.9,1.1721e-11,1.1721e-11,3.1107e-13
1s2,1S,0.0,1.0,0.0,1s.4p,1P*,1.0,3.0,521.5635,521.5635,2.37716,214500000000.0,0.054516,0.054516,0.0014469
1s2,1S,0.0,1.0,0.0,1s.5p,1P*,1.0,3.0,532.5293,532.5293,2.32821,109100000000.0,0.026598,0.026598,0.00070591
1s2,1S,0.0,1.0,0.0,1s.6p,1P*,1.0,3.0,538.4925,538.4925,2.30243,62900000000.0,0.014997,0.014997,0.00039802
1s.2s,3S,1.0,3.0,419.791888,1s.2p,3P*,0.0,1.0,426.291202,6.499314,190.76504,67050000.0,0.012194,0.036581,0.00032362
1s.2s,3S,1.0,3.0,419.791888,1s.2p,3P*,1.0,3.0,426.292278,6.50039,190.73348,67110000.0,0.036602,0.1098,0.00097141
1s.2s,3S,1.0,3.0,419.791888,1s.2p,3P*,2.0,5.0,426.328357,6.536469,189.68068,68230000.0,0.061338,0.18401,0.0016279
1s.2p,3P*,0.0,1.0,426.291202,1s.3s,3S,1.0,3.0,494.9247,68.633498,18.06468,1430000000.0,0.020988,0.020988,0.00055703
1s.2p,3P*,0.0,1.0,426.291202,1s.3d,3D,1.0,3.0,497.5986,71.307398,17.38728,48690000000.0,0.66204,0.66204,0.017571
1s.2p,3P*,0.0,1.0,426.291202,1s.4s,3S,1.0,3.0,520.3346,94.043398,13.18372,560000000.0,0.0043777,0.0043777,0.00011618
1s.2p,3P*,0.0,1.0,426.291202,1s.4d,3D,1.0,3.0,521.4303,95.139098,13.03189,16110000000.0,0.12305,0.12305,0.0032658
1s.2p,3P*,0.0,1.0,426.291202,1s.5s,3S,1.0,3.0,531.9087,105.617498,11.73898,275400000.0,0.0017069,0.0017069,4.5301e-05
1s.2p,3P*,0.0,1.0,426.291202,1s.5d,3D,1.0,3.0,532.4623,106.171098,11.67777,7460000000.0,0.045755,0.045755,0.0012143
1s.2p,3P*,1.0,3.0,426.292278,1s.3s,3S,1.0,3.0,494.9247,68.632422,18.06496,4290000000.0,0.020989,0.062967,0.00055705
1s.2p,3P*,1.0,3.0,426.292278,1s.3d,3D,1.0,3.0,497.5986,71.306322,17.38755,36520000000.0,0.16553,0.49658,0.0043931
1s.2p,3P*,1.0,3.0,426.292278,1s.3d,3D,2.0,5.0,497.599,71.306722,17.38745,65730000000.0,0.49653,1.4896,0.013178
1s.2p,3P*,1.0,3.0,426.292278,1s.4s,3S,1.0,3.0,520.3346,94.042322,13.18387,1680000000.0,0.0043778,0.013133,0.00011619
1s.2p,3P*,1.0,3.0,426.292278,1s.4d,3D,1.0,3.0,521.4303,95.138022,13.03203,12090000000.0,0.030783,0.092349,0.00081698
1s.2p,3P*,1.0,3.0,426.292278,1s.4d,3D,2.0,5.0,521.4304,95.138122,13.03202,21750000000.0,0.092298,0.27689,0.0024496
1s.2p,3P*,1.0,3.0,426.292278,1s.5s,3S,1.0,3.0,531.9087,105.616422,11.7391,826200000.0,0.0017069,0.0051208,4.5302e-05
1s.2p,3P*,1.0,3.0,426.292278,1s.5d,3D,1.0,3.0,532.4623,106.170022,11.67789,5594000000.0,0.011437,0.034311,0.00030354
1s.2p,3P*,1.0,3.0,426.292278,1s.5d,3D,2.0,5.0,532.4624,106.170122,11.67788,10070000000.0,0.034314,0.10294,0.00091068
1s.2p,3P*,2.0,5.0,426.328357,1s.3s,3S,1.0,3.0,494.9247,68.596343,18.07446,7139000000.0,0.020979,0.10489,0.00055678
1s.2p,3P*,2.0,5.0,426.328357,1s.3d,3D,1.0,3.0,497.5986,71.270243,17.39635,2431000000.0,0.0066178,0.033089,0.00017564
1s.2p,3P*,2.0,5.0,426.328357,1s.3d,3D,2.0,5.0,497.599,71.270643,17.39625,21880000000.0,0.09927,0.49635,0.0026346
1s.2p,3P*,2.0,5.0,426.328357,1s.3d,3D,3.0,7.0,497.6022,71.273843,17.39547,87510000000.0,0.5558,2.779,0.014751
1s.2p,3P*,2.0,5.0,426.328357,1s.4s,3S,1.0,3.0,520.3346,94.006243,13.18893,2797000000.0,0.0043765,0.021882,0.00011615
1s.2p,3P*,2.0,5.0,426.328357,1s.4d,3D,1.0,3.0,521.4303,95.101943,13.03698,804800000.0,0.0012304,0.0061521,3.2655e-05
1s.2p,3P*,2.0,5.0,426.328357,1s.4d,3D,2.0,5.0,521.4304,95.102043,13.03696,7243000000.0,0.018456,0.092279,0.00048981
1s.2p,3P*,2.0,5.0,426.328357,1s.4d,3D,3.0,7.0,521.4318,95.103443,13.03677,28970000000.0,0.10334,0.51671,0.0027427
1s.2p,3P*,2.0,5.0,426.328357,1s.5s,3S,1.0,3.0,531.9087,105.580343,11.74311,1376000000.0,0.0017069,0.0085343,4.53e-05
1s.2p,3P*,2.0,5.0,426.328357,1s.5d,3D,1.0,3.0,532.4623,106.133943,11.68186,372600000.0,0.00045738,0.0022869,1.2139e-05
1s.2p,3P*,2.0,5.0,426.328357,1s.5d,3D,2.0,5.0,532.4624,106.134043,11.68185,3353000000.0,0.0068599,0.034299,0.00018206
1s.2p,3P*,2.0,5.0,426.328357,1s.5d,3D,3.0,7.0,532.4632,106.134843,11.68176,13410000000.0,0.038409,0.19205,0.0010194
1s.2s,1S,0.0,1.0,426.41457,1s.2p,1P*,1.0,3.0,430.695665,4.281095,289.60862,20790000.0,0.078426,0.078426,0.0020814
1s.2s,1S,0.0,1.0,426.41457,1s.3d,1D,2.0,5.0,497.6392,71.22463,17.40749,2709000.0,6.1533e-05,6.1533e-05,1.6331e-06
1s.2s,1S,0.0,1.0,426.41457,1s.3p,1P*,1.0,3.0,497.9194,71.50483,17.33928,26970000000.0,0.36469,0.36469,0.0096789
1s.2s,1S,0.0,1.0,426.41457,1s.4p,1P*,1.0,3.0,521.5635,95.14893,13.03054,12070000000.0,0.092175,0.092175,0.0024463
1s.2s,1S,0.0,1.0,426.41457,1s.5p,1P*,1.0,3.0,532.5293,106.11473,11.68398,6275000000.0,0.038528,0.038528,0.0010225
1s.2s,1S,0.0,1.0,426.41457,1s.6p,1P*,1.0,3.0,538.4925,112.07793,11.06232,3642000000.0,0.020045,0.020045,0.000532
1s.2s,1S,0.0,1.0,426.41457,1s.7p,1P*,1.0,3.0,542.0906,115.67603,10.71823,2310000000.0,0.011935,0.011935,0.00031677
1s.2s,1S,0.0,1.0,426.41457,1s.8p,1P*,1.0,3.0,544.427,118.01243,10.50603,1580000000.0,0.0078436,0.0078436,0.00020817
1s.2p,1P*,1.0,3.0,430.695665,1s.3s,1S,0.0,1.0,496.6774,65.981735,18.79068,11250000000.0,0.019851,0.059552,0.00052684
1s.2p,1P*,1.0,3.0,430.695665,1s.3d,1D,2.0,5.0,497.6392,66.943535,18.52071,82050000000.0,0.70324,2.1097,0.018664
1s.2p,1P*,1.0,3.0,430.695665,1s.4s,1S,0.0,1.0,521.0439,90.348235,13.72292,4534000000.0,0.0042669,0.012801,0.00011324
1s.2p,1P*,1.0,3.0,430.695665,1s.4d,1D,2.0,5.0,521.4522,90.756535,13.66119,25670000000.0,0.1197,0.35911,0.003177
1s.2p,1P*,1.0,3.0,430.695665,1s.5s,1S,0.0,1.0,532.2644,101.568735,12.20693,2259000000.0,0.0016822,0.0050465,4.4645e-05
1s.2p,1P*,1.0,3.0,430.695665,1s.5d,1D,2.0,5.0,532.4747,101.779035,12.1817,11630000000.0,0.043123,0.12937,0.0011445
1s.3s,1S,0.0,1.0,496.6774,1s.3p,1P*,1.0,3.0,497.9194,1.242,998.26247,3276000.0,0.14683,0.14683,0.0038969
1s.3s,1S,0.0,1.0,496.6774,1s.4p,1P*,1.0,3.0,521.5635,24.8861,49.82066,3540000000.0,0.39519,0.39519,0.010488
1s.3s,1S,0.0,1.0,496.6774,1s.5p,1P*,1.0,3.0,532.5293,35.8519,34.58232,1978000000.0,0.10639,0.10639,0.0028237
1s.3s,1S,0.0,1.0,496.6774,1s.6p,1P*,1.0,3.0,538.4925,41.8151,29.65058,1165000000.0,0.046065,0.046065,0.0012226
1s.3s,1S,0.0,1.0,496.6774,1s.7p,1P*,1.0,3.0,542.0906,45.4132,27.30136,745000000.0,0.024975,0.024975,0.00066284
1s.3s,1S,0.0,1.0,496.6774,1s.8p,1P*,1.0,3.0,544.427,47.7496,25.96549,504000000.0,0.015283,0.015283,0.00040561
1s.3d,1D,2.0,5.0,497.6392,1s.3p,1P*,1.0,3.0,497.9194,0.2802,4424.84648,60800.0,0.010708,0.05354,0.00028419
1s.3d,1D,2.0,5.0,497.6392,1s.4p,1P*,1.0,3.0,521.5635,23.9243,51.82354,411900000.0,0.0099508,0.049754,0.00026409
1s.3d,1D,2.0,5.0,497.6392,1s.5p,1P*,1.0,3.0,532.5293,34.8901,35.53564,179000000.0,0.0020333,0.010166,5.3963e-05
1s.3d,1D,2.0,5.0,497.6392,1s.6p,1P*,1.0,3.0,538.4925,40.8533,30.34864,93140000.0,0.00077166,0.0038583,2.048e-05
