obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1.9117875293""","=""0.0000000022""","=""""","=""4.7392e+10""",AA,"=""0.0000000""","=""(648.52498793)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""1.9117994445""","=""0.0000000022""","=""""","=""4.7353e+10""",AA,"=""0.0000000""","=""(648.52094601)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""1.9361181681""","=""0.0000000023""","=""""","=""8.2580e+10""",AA,"=""0.0000000""","=""(640.37516137)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""1.9361392863""","=""0.0000000023""","=""""","=""8.2520e+10""",AA,"=""0.0000000""","=""(640.36817657)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""1.9825676053""","=""0.0000000024""","=""""","=""1.6380e+11""",AA,"=""0.0000000""","=""(625.37185668)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""1.9826108575""","=""0.0000000025""","=""""","=""1.6372e+11""",AA,"=""0.0000000""","=""(625.35821370)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""2.090945682""","=""0.000000003""","=""""","=""4.0176e+11""",AA,"=""0.0000000""","=""(592.95752886)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""2.091059731""","=""0.000000003""","=""""","=""4.0171e+11""",AA,"=""0.0000000""","=""(592.9251882)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""2.477920351""","=""0.000000005""","=""""","=""1.5044e+12""",AA,"=""0.0000000""","=""(500.3558665)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""2.478460996""","=""0.000000005""","=""""","=""1.5057e+12""",AA,"=""0.0000000""","=""(500.2467201)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""8.36158974""","=""0.00000004""","=""""","=""1.0326e+10""",AA,"=""(500.2467201)""","=""(648.52498096)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""8.36180537""","=""0.00000004""","=""""","=""5.8968e+08""",AA,"=""(500.2467201)""","=""(648.52115724)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""8.36190681""","=""0.00000004""","=""""","=""6.8698e+09""",AA,"=""(500.2523497)""","=""(648.52498793)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""8.36213477""","=""0.00000004""","=""""","=""6.8763e+09""",AA,"=""(500.2523497)""","=""(648.52094601)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""8.36767315""","=""0.00000004""","=""""","=""1.2365e+10""",AA,"=""(500.3558665)""","=""(648.52632697)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""8.36774917""","=""0.00000004""","=""""","=""2.0592e+09""",AA,"=""(500.3558665)""","=""(648.52498096)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""8.36796511""","=""0.00000004""","=""""","=""1.1853e+09""",AA,"=""(500.3558665)""","=""(648.52115724)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""8.84789753""","=""0.00000005""","=""""","=""1.8914e+10""",AA,"=""(500.2467201)""","=""(640.37514943)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""8.84825225""","=""0.00000005""","=""""","=""1.1892e+10""",AA,"=""(500.2523497)""","=""(640.37516137)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""8.84831480""","=""0.00000005""","=""""","=""1.0339e+09""",AA,"=""(500.2467201)""","=""(640.36854123)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""8.84869334""","=""0.00000005""","=""""","=""1.1905e+10""",AA,"=""(500.2523497)""","=""(640.36817657)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""8.85464747""","=""0.00000005""","=""""","=""2.2653e+10""",AA,"=""(500.3558665)""","=""(640.37747533)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""8.85479455""","=""0.00000005""","=""""","=""3.7728e+09""",AA,"=""(500.3558665)""","=""(640.37514943)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""8.85521248""","=""0.00000005""","=""""","=""2.0782e+09""",AA,"=""(500.3558665)""","=""(640.36854123)""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""9.90881806""","=""0.00000006""","=""""","=""4.1381e+10""",AA,"=""(500.2467201)""","=""(625.37183361)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""9.90926206""","=""0.00000006""","=""""","=""2.3231e+10""",AA,"=""(500.2523497)""","=""(625.37185668)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""9.90984042""","=""0.00000006""","=""""","=""2.0687e+09""",AA,"=""(500.2467201)""","=""(625.35892491)""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""9.91034268""","=""0.00000006""","=""""","=""2.3266e+10""",AA,"=""(500.2523497)""","=""(625.35821370)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""9.91710869""","=""0.00000006""","=""""","=""4.9569e+10""",AA,"=""(500.3558665)""","=""(625.37637627)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""9.91746905""","=""0.00000006""","=""""","=""8.2573e+09""",AA,"=""(500.3558665)""","=""(625.37183361)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""9.91849319""","=""0.00000006""","=""""","=""4.1585e+09""",AA,"=""(500.3558665)""","=""(625.35892491)""","=""2p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
