spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
N VII,N,6,1s,2S,0.5,2,0.0,7e-07,even,,no,667.0461377,,,,,,,,,,L3620c107
N VII,N,6,2p,2P*,0.5,2,500.2467201,7e-07,odd,,no,667.0461377,6.641429235571495e-13,"ASD 1/sum(Aki), J-resolved",6.641429235571495e-13,1/1,yes,500.2467201,500.2467201,,,L19200
N VII,N,6,2p,2P*,1.5,4,500.3558665,7e-07,odd,,no,667.0461377,6.647168306301515e-13,"ASD 1/sum(Aki), J-resolved",6.647168306301515e-13,1/1,yes,500.3558665,500.3558665,,,L19200
N VII,N,6,2s,2S,0.5,2,500.2523497,7e-07,even,,no,667.0461377,,,,,,,,,,L19200
N VII,N,6,3p,2P*,0.5,2,592.9251882,5e-07,odd,,no,667.0461377,2.194204666634485e-12,"ASD 1/sum(Aki), J-resolved",2.194204666634485e-12,2/2,yes,592.9251882,592.9251882,,,L3620c107
N VII,N,6,3p,2P*,1.5,4,592.95752886,2.5e-07,odd,,no,667.0461377,2.194585080771704e-12,"ASD 1/sum(Aki), J-resolved",2.194585080771704e-12,2/2,yes,592.95752886,592.95752886,,,L3620c107
N VII,N,6,3s,2S,0.5,2,592.9268687,6e-07,even,,no,667.0461377,6.555442656265365e-11,"ASD 1/sum(Aki), J-resolved",6.555442656265365e-11,2/2,yes,92.57100220000001,92.6801486,,,L3620c107
N VII,N,6,3d,2D,1.5,4,592.957474786,1.2e-08,even,,no,667.0461377,6.430371932712588e-12,"ASD 1/sum(Aki), J-resolved",6.430371932712588e-12,2/2,yes,92.71075468600003,92.71075468600003,,,L3620c107
N VII,N,6,3d,2D,2.5,6,592.968242248,1.1e-08,even,,no,667.0461377,6.436663233779609e-12,"ASD 1/sum(Aki), J-resolved",6.436663233779609e-12,1/1,yes,92.61237574800003,92.61237574800003,,,L3620c107
N VII,N,6,4p,2P*,0.5,2,625.3582137,2.5e-07,odd,,no,667.0461377,5.122831934279394e-12,"ASD 1/sum(Aki), J-resolved",5.122831934279394e-12,4/4,yes,625.3582137,625.3582137,,,L3620c107
