State,Lifetime /s,Energy /eV
Na 2S;v=2p6.3s,,0.0
Na 2Po;v=2p6.3p,1.62866e-08,2.10225236897342
Na 2S;v=2p6.4s,3.78788e-08,3.19127964858729
Na 2D;v=2p6.3d,1.94288e-08,3.61689518493676
Na 2Po;v=2p6.4p,1.05185e-07,3.75254316720247
Na 2S;v=2p6.5s,7.76398e-08,4.11626721945813
Na 2D;v=2p6.4d,5.22739e-08,4.28340646165939
Na 2Fo;v=2p6.4f,7.12504e-08,4.28813015064972
Na 2Po;v=2p6.5p,3.64664e-07,4.34435568758191
Na 2D;v=2p6.5d,1.07881e-07,4.59187203142183
Na 2Fo;v=2p6.5f,1.3725e-07,4.59446324139291
Na 4Po;v=2p5.3s(3Po)4s,1.11111e-08,35.4958571635797
Na 4Po;v=2p5.3s(3Po)3d,6.32911e-09,36.2298266864872
Na 4Fo;v=2p5.3s(3Po)3d,5.95238e-09,36.3158697352874
Na 4Do;v=2p5.3s(3Po)3d,6.41026e-09,36.327771943767
Na 4S;v=2p5(2Po)3s.3p(3Po),,32.69949527
Na 4D;v=2p5(2Po)3s.3p(3Po),,33.05177585
Na 4P;v=2p5(2Po)3s.3p(3Po),,33.29071268
