Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Na 2Po;v=2p6.3p,Na 2S;v=2p6.3s,1.6287e-08,-2.10225236897342
Na 2S;v=2p6.4s,Na 2Po;v=2p6.3p,3.7879e-08,-1.08902727961387
Na 2S;v=2p6.4s,Na 2S;v=2p6.3s,1438.9,-3.19127964858729
Na 2D;v=2p6.3d,Na 2Po;v=2p6.3p,1.9429e-08,-1.5146428159633403
Na 2Po;v=2p6.4p,Na 2S;v=2p6.4s,1.5106e-07,-0.56126351861518
Na 2Po;v=2p6.4p,Na 2S;v=2p6.3s,3.663e-07,-3.75254316720247
Na 2Po;v=2p6.4p,Na 2D;v=2p6.3d,6.3694e-06,-0.13564798226570973
Na 2Po;v=2p6.4p,Na 2Po;v=2p6.3p,0.05618,-1.65029079822905
Na 2S;v=2p6.5s,Na 2Po;v=2p6.3p,1.3369e-07,-2.0140148504847097
Na 2S;v=2p6.5s,Na 2Po;v=2p6.4p,1.8519e-07,-0.36372405225565974
Na 2D;v=2p6.4d,Na 2Po;v=2p6.3p,8.2508e-08,-2.1811540926859703
Na 2D;v=2p6.4d,Na 2Po;v=2p6.4p,1.4265e-07,-0.5308632944569203
Na 2D;v=2p6.4d,Na 2D;v=2p6.3d,0.82919,-0.66651127672263
Na 2Fo;v=2p6.4f,Na 2D;v=2p6.3d,7.125e-08,-0.6712349657129599
Na 2Po;v=2p6.5p,Na 2S;v=2p6.5s,7.0422e-07,-0.22808846812378025
Na 2Po;v=2p6.5p,Na 2S;v=2p6.4s,1.3812e-06,-1.15307603899462
Na 2Po;v=2p6.5p,Na 2S;v=2p6.3s,1.8832e-06,-4.34435568758191
Na 2Po;v=2p6.5p,Na 2D;v=2p6.4d,1.6234e-05,-0.06094922592251972
Na 2Po;v=2p6.5p,Na 2D;v=2p6.3d,0.00017699,-0.7274605026451497
Na 2D;v=2p6.5d,Na 2Po;v=2p6.3p,2.0387e-07,-2.48961966244841
Na 2D;v=2p6.5d,Na 2Po;v=2p6.4p,3.8241e-07,-0.8393288642193601
Na 2D;v=2p6.5d,Na 2Po;v=2p6.5p,5.9102e-07,-0.24751634383992016
Na 2D;v=2p6.5d,Na 2Fo;v=2p6.4f,1.7391e-05,-0.30374188077210995
Na 2Fo;v=2p6.5f,Na 2D;v=2p6.3d,2.1308e-07,-0.9775680564561502
Na 2Fo;v=2p6.5f,Na 2D;v=2p6.4d,3.8566e-07,-0.3110567797335202
Na 4Po;v=2p5.3s(3Po)4s,Na 4D;v=2p5(2Po)3s.3p(3Po),1.7241e-08,-2.4440813135797015
Na 4Po;v=2p5.3s(3Po)4s,Na 4P;v=2p5(2Po)3s.3p(3Po),5.5555e-08,-2.2051444835797014
Na 4Po;v=2p5.3s(3Po)4s,Na 4S;v=2p5(2Po)3s.3p(3Po),7.1428e-08,-2.7963618935797
Na 4Po;v=2p5.3s(3Po)3d,Na 4S;v=2p5(2Po)3s.3p(3Po),8.6956e-09,-3.5303314164872006
Na 4Po;v=2p5.3s(3Po)3d,Na 4P;v=2p5(2Po)3s.3p(3Po),3.5714e-08,-2.939114006487202
Na 4Po;v=2p5.3s(3Po)3d,Na 4D;v=2p5(2Po)3s.3p(3Po),6.6667e-08,-3.178050836487202
Na 4Fo;v=2p5.3s(3Po)3d,Na 4D;v=2p5(2Po)3s.3p(3Po),9.5238e-09,-3.2640938852874015
Na 4Fo;v=2p5.3s(3Po)3d,Na 4P;v=2p5(2Po)3s.3p(3Po),2.8571e-08,-3.0251570552874014
Na 4Fo;v=2p5.3s(3Po)3d,Na 4S;v=2p5(2Po)3s.3p(3Po),3.5714e-08,-3.6163744652874
Na 4Do;v=2p5.3s(3Po)3d,Na 4D;v=2p5(2Po)3s.3p(3Po),1.1494e-08,-3.2759960937669987
Na 4Do;v=2p5.3s(3Po)3d,Na 4P;v=2p5(2Po)3s.3p(3Po),1.8518e-08,-3.0370592637669986
Na 4Do;v=2p5.3s(3Po)3d,Na 4S;v=2p5(2Po)3s.3p(3Po),6.6667e-08,-3.6282766737669974
