conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p5,2P*,0.5,2.0,0.16943,0.16943,7317.72404,0.0459,1.8424e-08,7.3698e-08,4.8898e-10
2s2.2p5,2P*,1.5,4.0,0.0,2s.2p6,2S,0.5,2.0,32.78824,32.78824,37.81362,8420000000.0,0.090248,0.36099,0.0023952
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,4P,2.5,6.0,45.397361,45.397361,27.31088,2040000.0,3.4218e-05,0.00013687,9.0814e-07
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,4P,1.5,4.0,45.507242,45.507242,27.24494,33700000.0,0.00037503,0.0015001,9.9532e-06
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,4P,0.5,2.0,45.570413,45.570413,27.20717,1270000.0,7.0469e-06,2.8188e-05,1.8703e-07
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,2P,1.5,4.0,46.324504,46.324504,26.76428,9670000000.0,0.10385,0.41539,0.0027561
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3s,2P,0.5,2.0,46.454388,46.454388,26.68945,3900000000.0,0.020824,0.083298,0.00055268
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1D).3s,2D,2.5,6.0,49.491356,49.491356,25.05169,4490000000.0,0.063368,0.25347,0.0016818
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1D).3s,2D,1.5,4.0,49.492299,49.492299,25.05121,610000000.0,0.0057391,0.022957,0.00015232
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(1S).3s,2S,0.5,2.0,53.936598,53.936598,22.98703,2910000000.0,0.011526,0.046105,0.00030591
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4D,2.5,6.0,57.083528,57.083528,21.71979,6790000.0,7.2033e-05,0.00028813,1.9118e-06
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4D,1.5,4.0,57.106331,57.106331,21.71111,24400000.0,0.00017243,0.00068972,4.5763e-06
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4D,0.5,2.0,57.125345,57.125345,21.70389,12300000.0,4.3432e-05,0.00017373,1.1527e-06
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4F,2.5,6.0,57.490469,57.490469,21.56604,2210000000.0,0.023114,0.092458,0.00061346
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4F,1.5,4.0,57.538235,57.538235,21.54814,698000000.0,0.0048589,0.019435,0.00012895
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,2F,2.5,6.0,57.577043,57.577043,21.53362,5310000000.0,0.055371,0.22148,0.0014695
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4P,0.5,2.0,57.579742,57.579742,21.53261,63600000.0,0.00022104,0.00088418,5.8665e-06
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4P,1.5,4.0,57.606938,57.606938,21.52244,1650000000.0,0.011458,0.045834,0.00030411
2s2.2p5,2P*,1.5,4.0,0.0,2s2.2p4.(3P).3d,4P,2.5,6.0,57.645879,57.645879,21.5079,6060000000.0,0.06304,0.25216,0.0016731
