obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""13.64295""","=""0.0002""","=""13.64296""","=""0.00019""","=""3""","=""1.74e+10""",D+,"=""0.00000""","=""90.8778""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3S*""","=""1""",5,3,,"=""c56,LS""","=""L3834""",
"=""""","=""""","=""13.65475""","=""0.00019""","=""""","=""1.16e+10""",D,"=""0.00000""","=""90.7993""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""1""",5,3,,"=""c56,LS""","=""""",
"=""13.65513""","=""0.0002""","=""13.65514""","=""0.00019""","=""4""","=""2.08e+10""",D+,"=""0.00000""","=""90.7967""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""",5,5,,"=""c56,LS""","=""L3834""",
"=""13.66359""","=""0.0002""","=""13.66358""","=""0.00019""","=""3""","=""1.04e+10""",D,"=""0.13716""","=""90.8778""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).4d""","=""3S*""","=""1""",3,3,,"=""c56,LS""","=""L3834""",
"=""""","=""""","=""13.67235""","=""0.00019""","=""""","=""3.46e+09""",E,"=""0.19540""","=""90.8778""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2D*).4d""","=""3S*""","=""1""",1,3,,"=""c56,LS""","=""""",
"=""13.67540""","=""0.0002""","=""13.67541""","=""0.00019""","=""3""","=""6.88e+09""",D,"=""0.13716""","=""90.7993""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""1""",3,3,,"=""c56,LS""","=""L3834""",
"=""""","=""""","=""13.67580""","=""0.00019""","=""""","=""6.89e+09""",D,"=""0.13716""","=""90.7967""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""",3,5,,"=""c56,LS""","=""""",
"=""""","=""""","=""13.68420""","=""0.00019""","=""""","=""9.18e+09""",D,"=""0.19540""","=""90.7993""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""1""",1,3,,"=""c56,LS""","=""""",
"=""""","=""""","=""13.68472""","=""0.00019""","=""""","=""4.33e+08""",E,"=""0.00000""","=""90.6005""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""",5,3,,"=""c56,LS""","=""""",
"=""13.68547""","=""0.0002""","=""13.68498""","=""0.00019""","=""4*""","=""3.88e+09""",D,"=""0.00000""","=""90.5987""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""",5,5,,"=""c56,LS""","=""L3834""",
"=""13.68547""","=""0.0002""","=""13.68547""","=""0.00019""","=""4*""","=""1.56e+10""",D+,"=""0.00000""","=""90.5955""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""3""",5,7,,"=""c56,LS""","=""L3834""",
"=""13.70573""","=""0.0002""","=""13.70547""","=""0.00019""","=""4*""","=""6.46e+09""",D,"=""0.13716""","=""90.6005""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""",3,3,,"=""c56,LS""","=""L3834""",
"=""13.70573""","=""0.0002""","=""13.70573""","=""0.00019""","=""4*""","=""1.16e+10""",D+,"=""0.13716""","=""90.5987""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""",3,5,,"=""c56,LS""","=""L3834""",
"=""13.71429""","=""0.0002""","=""13.71430""","=""0.00019""","=""3""","=""8.59e+09""",D,"=""0.19540""","=""90.6005""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""",1,3,,"=""c56,LS""","=""L3834""",
"=""13.77117""","=""0.0002""","=""13.77116""","=""0.00019""","=""5""","=""1.68e+10""",C,"=""3.82365""","=""93.8554""","=""2s2.2p4""","=""1D""","=""2""","=""2s2.2p3.(2P*).4d""","=""1F*""","=""3""",5,7,,"=""c56""","=""L3834""",
"=""13.79415""","=""0.0002""","=""13.79415""","=""0.00019""","=""5""","=""""",,"=""3.82365""","=""93.7054""","=""2s2.2p4""","=""1D""","=""2""","=""2s2.2p3.(2P*).4d""","=""1D*""","=""2""",5,5,,"=""""","=""L3834""",
"=""13.99613""","=""0.0002""","=""13.99613""","=""0.00020""","=""4""","=""""",,"=""0.00000""","=""88.5846""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).4s""","=""3P*""","=""2""",5,5,,"=""""","=""L3834""",
"=""14.01811""","=""0.0002""","=""14.01813""","=""0.00020""","=""3*""","=""""",,"=""0.13716""","=""88.5827?""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).4s""","=""3P*""","=""0""",3,1,,"=""""","=""L3834""",
