obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""1.106893""","=""0.000012""","=""""","=""""",,"=""[17.86177]""","=""(1137.972)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
"=""""","=""""","=""1.107214""","=""0.000012""","=""""","=""""",,"=""[18.18702]""","=""(1137.972)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""""",
"=""1.1088""","=""0.0003""","=""1.108999""","=""0.000007""","=""*""","=""""",,"=""0.00000""","=""(1117.983)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164,L21218""",
"=""1.1088""","=""0.0003""","=""1.109053""","=""0.000007""","=""*""","=""""",,"=""0.00000""","=""(1117.929)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164,L21218""",
"=""1.1156""","=""0.0003""","=""1.115397""","=""0.000005""","=""*""","=""""",,"=""0.00000""","=""(1111.570)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
"=""1.1156""","=""0.0003""","=""1.115589""","=""0.000005""","=""*""","=""""",,"=""0.00000""","=""(1111.379)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164""",
"=""1.1160""","=""0.0007""","=""1.116651""","=""0.000005""","=""*""","=""""",,"=""[17.86177]""","=""(1128.183)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""L22456,L21218,L627""",
"=""1.1160""","=""0.0007""","=""1.116970""","=""0.000006""","=""*""","=""""",,"=""[17.86177]""","=""(1127.867)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",2,2,,"=""""","=""L22456,L21218,L627""",
"=""1.1160""","=""0.0007""","=""1.116978""","=""0.000005""","=""*""","=""""",,"=""[18.18702]""","=""(1128.183)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",4,4,,"=""""","=""L22456,L21218,L627""",
"=""1.1160""","=""0.0007""","=""1.117297""","=""0.000006""","=""*""","=""""",,"=""[18.18702]""","=""(1127.867)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",4,2,,"=""""","=""L22456,L21218,L627""",
"=""1.1203""","=""0.0003""","=""1.119571""","=""0.000009""","=""*""","=""""",,"=""[17.86177]""","=""(1125.287)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
"=""1.1203""","=""0.0003""","=""1.119900""","=""0.000009""","=""*""","=""""",,"=""[18.18702]""","=""(1125.287)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",4,4,,"=""""","=""L22456,L2560c164""",
"=""1.1203""","=""0.0003""","=""1.119997""","=""0.000009""","=""*""","=""""",,"=""[18.18702]""","=""(1125.192)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",4,6,,"=""""","=""L22456,L2560c164""",
"=""""","=""""","=""1.127926""","=""0.000006""","=""""","=""""",,"=""[17.86177]""","=""(1117.085)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",2,6,,"=""""","=""""",
"=""""","=""""","=""1.128094""","=""0.000006""","=""""","=""""",,"=""[17.86177]""","=""(1116.921)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",2,4,,"=""""","=""""",
"=""""","=""""","=""1.128253""","=""0.000006""","=""""","=""""",,"=""[17.86177]""","=""(1116.766)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",2,2,,"=""""","=""""",
"=""""","=""""","=""1.128260""","=""0.000006""","=""""","=""""",,"=""[18.18702]""","=""(1117.085)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",4,6,,"=""""","=""""",
