spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Na VI,Na,5,2s2.2p2,3P,0.0,1,0.0,0.0,even,,no,172.23,,,,,,,,,,L13237
Na VI,Na,5,2s2.2p2,3P,1.0,3,0.086122,1.2e-05,even,,no,172.23,167.22408026755852,"ASD 1/sum(Aki), J-resolved",167.22408026755852,1/1,yes,0.086122,0.086122,,,
Na VI,Na,5,2s2.2p2,3P,2.0,5,0.230112,2.4e-05,even,,no,172.23,48.309178743961354,"ASD 1/sum(Aki), J-resolved",48.309178743961354,1/1,yes,0.14399,0.14399,,,
Na VI,Na,5,2s2.2p2,1D,2.0,5,4.4012,0.0019,even,,no,172.23,0.6464124111182935,"ASD 1/sum(Aki), J-resolved",0.6464124111182935,2/2,yes,4.171088,4.315078000000001,,,
Na VI,Na,5,2s2.2p2,1S,0.0,1,9.2262,0.0019,even,,no,172.23,0.061050061050061055,"ASD 1/sum(Aki), J-resolved",0.061050061050061055,2/2,yes,9.140078,9.140078,,,
Na VI,Na,5,2s.2p3,5S*,2.0,5,12.7716,0.0019,odd,,no,172.23,4.819277108433735e-05,"ASD 1/sum(Aki), J-resolved",4.819277108433735e-05,2/2,yes,12.541488,12.685478,,,
Na VI,Na,5,2s.2p3,3D*,3.0,7,25.3091,0.0019,odd,,no,172.23,7.243689297883684e-10,"ASD 1/sum(Aki), J-resolved",7.243689297883684e-10,2/2,yes,25.078988000000003,25.078988000000003,,,
Na VI,Na,5,2s.2p3,3D*,2.0,5,25.3204,0.0019,odd,,no,172.23,7.1270554427897e-10,"ASD 1/sum(Aki), J-resolved",7.1270554427897e-10,3/3,yes,25.234278,25.234278,,,
Na VI,Na,5,2s.2p3,3D*,1.0,3,25.3251,0.0019,odd,,no,172.23,7.035798423812294e-10,"ASD 1/sum(Aki), J-resolved",7.035798423812294e-10,5/5,yes,25.3251,25.3251,,,
Na VI,Na,5,2s.2p3,3P*,2.0,5,29.9225,0.0019,odd,,no,172.23,2.653163690754457e-10,"ASD 1/sum(Aki), J-resolved",2.653163690754457e-10,3/3,yes,29.692388,29.836378,,,
Na VI,Na,5,2s.2p3,3P*,1.0,3,29.9225,0.0019,odd,,no,172.23,2.630991128561014e-10,"ASD 1/sum(Aki), J-resolved",2.630991128561014e-10,5/5,yes,29.692388,29.9225,,,
Na VI,Na,5,2s.2p3,3P*,0.0,1,29.9225,0.0019,odd,,no,172.23,2.6246719160104987e-10,"ASD 1/sum(Aki), J-resolved",2.6246719160104987e-10,1/1,yes,29.836378,29.836378,,,
Na VI,Na,5,2s.2p3,1D*,2.0,5,38.7221,0.0019,odd,,no,172.23,8.690968874704727e-11,"ASD 1/sum(Aki), J-resolved",8.690968874704727e-11,6/6,yes,34.320899999999995,38.635977999999994,,,
Na VI,Na,5,2s.2p3,3S*,1.0,3,39.748,0.0019,odd,,no,172.23,3.9743081640842474e-11,"ASD 1/sum(Aki), J-resolved",3.9743081640842474e-11,8/8,yes,39.517888,39.748,,,
Na VI,Na,5,2s.2p3,1P*,1.0,3,43.434,0.0019,odd,,no,172.23,5.1547004471014575e-11,"ASD 1/sum(Aki), J-resolved",5.1547004471014575e-11,8/8,yes,39.032799999999995,43.434,,,
Na VI,Na,5,2p4,3P,2.0,5,59.1748,0.0019,even,,no,172.23,7.646072480179469e-11,"ASD 1/sum(Aki), J-resolved",7.646072480179469e-11,9/9,yes,33.8657,46.4032,,,
Na VI,Na,5,2p4,3P,1.0,3,59.3385,0.0019,even,,no,172.23,7.604065726654596e-11,"ASD 1/sum(Aki), J-resolved",7.604065726654596e-11,9/9,yes,34.018100000000004,46.566900000000004,,,
Na VI,Na,5,2p4,3P,0.0,1,59.4079,0.0019,even,,no,172.23,7.587214844962473e-11,"ASD 1/sum(Aki), J-resolved",7.587214844962473e-11,4/4,yes,34.0828,34.0828,,,
Na VI,Na,5,2p4,1D,2.0,5,62.7501,0.0019,even,,no,172.23,1.6136573503504258e-10,"ASD 1/sum(Aki), J-resolved",1.6136573503504258e-10,8/8,yes,24.028000000000006,37.441,,,
Na VI,Na,5,2p4,1S,0.0,1,71.8083,0.0019,even,,no,172.23,6.79609327937054e-11,"ASD 1/sum(Aki), J-resolved",6.79609327937054e-11,4/4,yes,28.374300000000005,46.483200000000004,,,
Na VI,Na,5,2s2.2p.3s,3P*,1.0,3,100.095,0.012,odd,,no,172.23,3.171582619727244e-11,"ASD 1/sum(Aki), J-resolved",3.171582619727244e-11,3/3,yes,99.864888,100.095,,,
Na VI,Na,5,2s2.2p.3s,3P*,2.0,5,100.278,0.012,odd,,no,172.23,3.1505986137366097e-11,"ASD 1/sum(Aki), J-resolved",3.1505986137366097e-11,2/2,yes,100.047888,100.191878,,,
Na VI,Na,5,2s2.2p.3s,1P*,1.0,3,101.387,0.012,odd,,no,172.23,2.0833333333333332e-11,"ASD 1/sum(Aki), J-resolved",2.0833333333333332e-11,2/2,yes,96.9858,96.9858,,,
Na VI,Na,5,2s2.2p.3p,3P,1.0,3,108.186,0.012,even,,no,172.23,2.3773043508235574e-10,"ASD 1/sum(Aki), J-resolved",2.3773043508235574e-10,8/8,yes,82.8656,82.8656,,,
Na VI,Na,5,2s2.2p.3p,3P,2.0,5,108.274,0.012,even,,no,172.23,2.301070605314111e-10,"ASD 1/sum(Aki), J-resolved",2.301070605314111e-10,8/9,no,82.9649,82.9649,,,
Na VI,Na,5,2s2.2p.3p,1D,2.0,5,108.802,0.012,even,,no,172.23,,,,,,,,,,
Na VI,Na,5,2s2.2p.3d,3F*,2.0,5,114.001,0.012,odd,,no,172.23,2.403846153846154e-11,"ASD 1/sum(Aki), J-resolved",2.403846153846154e-11,1/1,yes,109.5998,109.5998,,,
Na VI,Na,5,2s2.2p.3d,1D*,2.0,5,114.171,0.012,odd,,no,172.23,1.736111111111111e-11,"ASD 1/sum(Aki), J-resolved",1.736111111111111e-11,1/2,no,109.7698,114.084878,,,
Na VI,Na,5,2s.2p2.(4P).3s,5P,1.0,3,114.383,0.012,even,,no,172.23,4.5454545454545455e-11,"ASD 1/sum(Aki), J-resolved",4.5454545454545455e-11,1/1,yes,101.6114,101.6114,,,
Na VI,Na,5,2s.2p2.(4P).3s,5P,2.0,5,114.471,0.012,even,,no,172.23,4.524886877828054e-11,"ASD 1/sum(Aki), J-resolved",4.524886877828054e-11,1/1,yes,101.6994,101.6994,,,
Na VI,Na,5,2s.2p2.(4P).3s,5P,3.0,7,114.587,0.012,even,,no,172.23,4.484304932735426e-11,"ASD 1/sum(Aki), J-resolved",4.484304932735426e-11,1/1,yes,101.81540000000001,101.81540000000001,,,
Na VI,Na,5,2s2.2p.3d,3D*,1.0,3,115.277,0.012,odd,,no,172.23,3.897805161504777e-12,"ASD 1/sum(Aki), J-resolved",3.897805161504777e-12,5/5,yes,115.277,115.277,,,
Na VI,Na,5,2s2.2p.3d,3D*,2.0,5,115.305,0.012,odd,,no,172.23,3.952223936170002e-12,"ASD 1/sum(Aki), J-resolved",3.952223936170002e-12,4/5,no,115.218878,115.218878,,,
Na VI,Na,5,2s2.2p.3d,3D*,3.0,7,115.369,0.012,odd,,no,172.23,3.887480756970253e-12,"ASD 1/sum(Aki), J-resolved",3.887480756970253e-12,2/3,no,115.138888,115.138888,,,
Na VI,Na,5,2s2.2p.3d,3P*,2.0,5,115.791,0.012,odd,,no,172.23,6.5888504974140674e-12,"ASD 1/sum(Aki), J-resolved",6.5888504974140674e-12,4/4,yes,115.56088799999999,115.704878,,,
Na VI,Na,5,2s2.2p.3d,3P*,1.0,3,115.858,0.012,odd,,no,172.23,6.677889946948092e-12,"ASD 1/sum(Aki), J-resolved",6.677889946948092e-12,6/6,yes,115.627888,115.858,,,
Na VI,Na,5,2s2.2p.3d,3P*,0.0,1,115.893,0.012,odd,yes,no,172.23,6.748048127079242e-12,"ASD 1/sum(Aki), J-resolved",6.748048127079242e-12,2/2,yes,115.806878,115.806878,,,
Na VI,Na,5,2s2.2p.3d,1F*,3.0,7,117.221,0.012,odd,,no,172.23,3.3898305084745762e-12,"ASD 1/sum(Aki), J-resolved",3.3898305084745762e-12,1/1,yes,112.8198,112.8198,,,
Na VI,Na,5,2s2.2p.3d,1P*,1.0,3,117.355,0.012,odd,,no,172.23,5.7233154625783944e-12,"ASD 1/sum(Aki), J-resolved",5.7233154625783944e-12,4/4,yes,108.1288,112.9538,,,
