Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0""","=""L13237"""
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""0.264658""","=""""","=""0.000017""","="""""
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""14.2576""","=""""","=""0.0005""","="""""
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""14.3484""","=""""","=""0.0005""","="""""
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""14.4811""","=""""","=""0.0005""","="""""
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""25.4678""","=""""","=""0.0012""","="""""
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""25.4723""","=""""","=""0.0012""","="""""
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""32.7814""","=""""","=""0.0012""","="""""
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""35.1953""","=""""","=""0.0012""","="""""
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""35.3589""","=""""","=""0.0012""","="""""
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""45.5404""","=""""","=""0.0012""","="""""
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""51.1200""","=""""","=""0.0012""","="""""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""51.1305""","=""""","=""0.0012""","="""""
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""57.6548""","=""""","=""0.0012""","="""""
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""57.6664""","=""""","=""0.0012""","="""""
"=""2s2.3s""","=""2S""","=""1/2""",2,"=""""","=""117.952""","=""""","=""0.012""","="""""
"=""2s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""125.028""","=""""","=""0.012""","="""""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""131.495""","=""""","=""0.012""","="""""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""131.510""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",2,"=""""","=""133.564""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",4,"=""""","=""133.655""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",6,"=""""","=""133.820""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""136.782""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""136.955""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",2,"=""""","=""139.707""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",4,"=""""","=""139.784""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",4,"=""""","=""143.174""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",6,"=""""","=""143.348""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",2,"=""""","=""145.352""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",4,"=""""","=""147.013""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",6,"=""""","=""147.045""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""",8,"=""""","=""147.105""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""147.123""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""147.280""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""",6,"=""""","=""147.833""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",4,"=""""","=""147.897""","=""""","=""0.012""","="""""
