spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Na VII,Na,6,2s2.2p,2P*,0.5,2,0.0,0.0,odd,,no,208.504,,,,,,,,,,L13237
Na VII,Na,6,2s2.2p,2P*,1.5,4,0.264658,1.7e-05,odd,,no,208.504,11.402508551881414,"ASD 1/sum(Aki), J-resolved",11.402508551881414,1/1,yes,0.264658,0.264658,,,
Na VII,Na,6,2s.2p2,4P,0.5,2,14.2576,0.0005,even,,no,208.504,1.443001443001443e-05,"ASD 1/sum(Aki), J-resolved",1.443001443001443e-05,2/2,yes,14.2576,14.2576,,,
Na VII,Na,6,2s.2p2,4P,1.5,4,14.3484,0.0005,even,,no,208.504,0.0001154068090017311,"ASD 1/sum(Aki), J-resolved",0.0001154068090017311,2/2,yes,14.083741999999999,14.3484,,,
Na VII,Na,6,2s.2p2,4P,2.5,6,14.4811,0.0005,even,,no,208.504,3.5211267605633805e-05,"ASD 1/sum(Aki), J-resolved",3.5211267605633805e-05,1/1,yes,14.216441999999999,14.216441999999999,,,
Na VII,Na,6,2s.2p2,2D,2.5,6,25.4678,0.0012,even,,no,208.504,7.518796992481203e-10,"ASD 1/sum(Aki), J-resolved",7.518796992481203e-10,1/1,yes,25.203142,25.203142,,,
Na VII,Na,6,2s.2p2,2D,1.5,4,25.4723,0.0012,even,,no,208.504,7.27802037845706e-10,"ASD 1/sum(Aki), J-resolved",7.27802037845706e-10,2/2,yes,25.4723,25.4723,,,
Na VII,Na,6,2s.2p2,2S,0.5,2,32.7814,0.0012,even,,no,208.504,1.607717041800643e-10,"ASD 1/sum(Aki), J-resolved",1.607717041800643e-10,2/2,yes,32.516742,32.7814,,,
Na VII,Na,6,2s.2p2,2P,0.5,2,35.1953,0.0012,even,,no,208.504,8.59106529209622e-11,"ASD 1/sum(Aki), J-resolved",8.59106529209622e-11,2/2,yes,35.1953,35.1953,,,
Na VII,Na,6,2s.2p2,2P,1.5,4,35.3589,0.0012,even,,no,208.504,8.396305625524769e-11,"ASD 1/sum(Aki), J-resolved",8.396305625524769e-11,2/2,yes,35.094242,35.3589,,,
Na VII,Na,6,2p3,4S*,1.5,4,45.5404,0.0012,odd,,no,208.504,9.199591474734937e-11,"ASD 1/sum(Aki), J-resolved",9.199591474734937e-11,8/8,yes,31.0593,31.282799999999998,,,
Na VII,Na,6,2p3,2D*,2.5,6,51.12,0.0012,odd,,no,208.504,2.8272547356516824e-10,"ASD 1/sum(Aki), J-resolved",2.8272547356516824e-10,3/3,yes,25.652199999999997,25.652199999999997,,,
