conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p,2P*,0.5,2.0,0.0,2s2.2p,2P*,1.5,4.0,0.264658,0.264658,4684.6949,0.0877,5.771e-08,1.1542e-07,1.5316e-09
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,4P,0.5,2.0,14.2576,14.2576,86.96008,36800.0,4.172e-06,8.3441e-06,1.1073e-07
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,4P,1.5,4.0,14.3484,14.3484,86.40977,895.0,2.0037e-07,4.0075e-07,5.3179e-09
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2D,1.5,4.0,25.4723,25.4723,48.67413,1170000000.0,0.083114,0.16623,0.0022058
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2S,0.5,2.0,32.7814,32.7814,37.82151,2520000000.0,0.054043,0.10809,0.0014343
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2P,0.5,2.0,35.1953,35.1953,35.22749,7410000000.0,0.13786,0.27572,0.0036588
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2P,1.5,4.0,35.3589,35.3589,35.0645,2030000000.0,0.074838,0.14968,0.0019862
2s2.2p,2P*,0.5,2.0,0.0,2s2.3s,2S,0.5,2.0,117.952,117.952,10.51141,16400000000.0,0.027166,0.054332,0.00072099
2s2.2p,2P*,0.5,2.0,0.0,2s2.3d,2D,1.5,4.0,131.495,131.495,9.42881,220000000000.0,0.58644,1.1729,0.015564
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2P,0.5,2.0,139.707,139.707,8.87459,63900000000.0,0.07545,0.1509,0.0020024
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2P,1.5,4.0,139.784,139.784,8.8697,16000000000.0,0.037742,0.075484,0.0010017
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2D,1.5,4.0,143.174,143.174,8.65969,84100000000.0,0.1891,0.3782,0.0050187
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(3P*).3p,2S,0.5,2.0,145.352,145.352,8.52993,32200000000.0,0.035124,0.070248,0.0009322
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(1P*).3p,2D,1.5,4.0,155.187,155.187,7.98934,9770000000.0,0.018698,0.037397,0.00049626
2s2.2p,2P*,0.5,2.0,0.0,2s.2p.(1P*).3p,2P,0.5,2.0,155.396,155.396,7.9786,22300000000.0,0.021282,0.042564,0.00056483
