spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Na X,Na,9,1s2,1S,0.0,1,0.0,0.0007,even,,no,1465.0992,,,,,,,,,,L21139
Na X,Na,9,1s.2s,3S,1.0,3,1107.81772,7e-05,even,,no,1465.0992,,,,,,,,,,L21139
Na X,Na,9,1s.2p,3P*,0.0,1,1118.606328,1.5e-05,odd,,no,1465.0992,8.695652173913043e-09,"ASD 1/sum(Aki), J-resolved",8.695652173913043e-09,1/1,yes,10.788608000000067,10.788608000000067,,,L21139
Na X,Na,9,1s.2p,3P*,1.0,3,1118.671115,1.4e-05,odd,,no,1465.0992,7.083658000991712e-11,"ASD 1/sum(Aki), J-resolved",7.083658000991712e-11,2/2,yes,1118.671115,1118.671115,,,L21139
Na X,Na,9,1s.2p,3P*,2.0,5,1118.969591,1.1e-05,odd,,no,1465.0992,7.874015748031496e-09,"ASD 1/sum(Aki), J-resolved",7.874015748031496e-09,1/1,yes,11.151871000000028,11.151871000000028,,,L21139
Na X,Na,9,1s.2s,1S,0.0,1,1119.30514,7e-05,even,,no,1465.0992,,,,,,,,,,L21139
Na X,Na,9,1s.2p,1P*,1.0,3,1126.832611,7e-06,odd,,no,1465.0992,7.407384965774437e-14,"ASD 1/sum(Aki), J-resolved",7.407384965774437e-14,2/2,yes,1126.832611,1126.832611,,,L21139
Na X,Na,9,1s.3s,3S,1.0,3,1309.12,0.0019,even,,no,1465.0992,1.1848341232227488e-11,"ASD 1/sum(Aki), J-resolved",1.1848341232227488e-11,3/3,yes,190.15040899999985,190.51367199999981,,,L21139
Na X,Na,9,1s.3p,3P*,0.0,1,1312.0758,0.0009,odd,,no,1465.0992,4.424496846218648e-12,"ASD 1/sum(Aki), J-resolved",4.424496846218648e-12,2/2,yes,204.25808000000006,204.25808000000006,,,L21139
Na X,Na,9,1s.3p,3P*,1.0,3,1312.0968,0.0009,odd,,no,1465.0992,4.424490973374741e-12,"ASD 1/sum(Aki), J-resolved",4.424490973374741e-12,2/2,yes,204.27908000000002,204.27908000000002,,,L21139
Na X,Na,9,1s.3p,3P*,2.0,5,1312.185,0.0009,odd,,no,1465.0992,4.424465524564633e-12,"ASD 1/sum(Aki), J-resolved",4.424465524564633e-12,2/2,yes,204.36727999999994,204.36727999999994,,,L21139
Na X,Na,9,1s.3s,1S,0.0,1,1312.1565,0.0019,even,,no,1465.0992,1.2936610608020698e-11,"ASD 1/sum(Aki), J-resolved",1.2936610608020698e-11,1/1,yes,185.323889,185.323889,,,L21139
Na X,Na,9,1s.3d,3D,1.0,3,1313.7924,0.0011,even,,no,1465.0992,1.4936471728691494e-12,"ASD 1/sum(Aki), J-resolved",1.4936471728691494e-12,6/6,yes,195.18607199999997,195.18607199999997,,,"L22382c208,L19700"
Na X,Na,9,1s.3d,3D,2.0,5,1313.7963,0.0011,even,,no,1465.0992,1.4970013849687954e-12,"ASD 1/sum(Aki), J-resolved",1.4970013849687954e-12,4/4,yes,195.12518499999987,195.12518499999987,,,"L22382c208,L19700"
Na X,Na,9,1s.3d,3D,3.0,7,1313.827,0.0011,even,,no,1465.0992,1.501497150316066e-12,"ASD 1/sum(Aki), J-resolved",1.501497150316066e-12,2/2,yes,194.85740899999996,194.85740899999996,,,"L22382c208,L19700"
Na X,Na,9,1s.3d,1D,2.0,5,1313.9035,0.0011,even,,no,1465.0992,1.5649452269170579e-12,"ASD 1/sum(Aki), J-resolved",1.5649452269170579e-12,1/1,yes,187.07088899999985,187.07088899999985,,,"L22382c208,L19700"
Na X,Na,9,1s.3p,1P*,1.0,3,1314.3444,0.001,odd,,no,1465.0992,2.527801964180185e-13,"ASD 1/sum(Aki), J-resolved",2.527801964180185e-13,4/4,yes,1314.3444,1314.3444,,,L21139
Na X,Na,9,1s.4s,3S,1.0,3,1378.0731,0.0019,even,,no,1465.0992,1.754693805930865e-11,"ASD 1/sum(Aki), J-resolved",1.754693805930865e-11,6/6,yes,259.10350900000003,259.466772,,,L21139
Na X,Na,9,1s.4p,3P*,0.0,1,1379.2863,0.0009,odd,,no,1465.0992,7.523131560687936e-12,"ASD 1/sum(Aki), J-resolved",7.523131560687936e-12,4/4,yes,271.46858,271.46858,,,L21139
Na X,Na,9,1s.4p,3P*,1.0,3,1379.2954,0.0009,odd,,no,1465.0992,7.534463578214701e-12,"ASD 1/sum(Aki), J-resolved",7.534463578214701e-12,5/5,yes,271.47767999999996,271.47767999999996,,,L21139
Na X,Na,9,1s.4p,3P*,2.0,5,1379.3326,0.0009,odd,,no,1465.0992,7.539540933939523e-12,"ASD 1/sum(Aki), J-resolved",7.539540933939523e-12,6/6,yes,271.51487999999995,271.51487999999995,,,L21139
Na X,Na,9,1s.4s,1S,0.0,1,1379.3031,0.0019,even,,no,1465.0992,1.876172607879925e-11,"ASD 1/sum(Aki), J-resolved",1.876172607879925e-11,2/2,yes,252.47048900000004,252.47048900000004,,,L21139
Na X,Na,9,1s.4d,3D,1.0,3,1379.9924,0.0022,even,,no,1465.0992,3.474023631338441e-12,"ASD 1/sum(Aki), J-resolved",3.474023631338441e-12,9/9,yes,261.386072,261.386072,,,"L11959c209,L19700"
Na X,Na,9,1s.4d,3D,2.0,5,1379.9947,0.0021,even,,no,1465.0992,3.481886561068986e-12,"ASD 1/sum(Aki), J-resolved",3.481886561068986e-12,6/6,yes,261.32358499999987,261.32358499999987,,,"L11959c209,L19700"
Na X,Na,9,1s.4d,3D,3.0,7,1380.007,0.0025,even,,no,1465.0992,3.474628486902178e-12,"ASD 1/sum(Aki), J-resolved",3.474628486902178e-12,3/3,yes,261.037409,261.037409,,,"L11959c209,L19700"
Na X,Na,9,1s.4f,3F*,3.0,7,1380.0442,0.0025,odd,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.4f,3F*,2.0,5,1380.0465,0.0025,odd,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.4f,3F*,4.0,9,1380.054,0.0025,odd,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.4d,1D,2.0,5,1380.0491,0.0019,even,,no,1465.0992,3.69139904023625e-12,"ASD 1/sum(Aki), J-resolved",3.69139904023625e-12,2/2,yes,253.2164889999999,253.2164889999999,,,"L11959c209,L19700"
Na X,Na,9,1s.4f,1F*,3.0,7,1380.0555,0.0025,odd,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.4p,1P*,1.0,3,1380.219,0.001,odd,,no,1465.0992,5.998147153630025e-13,"ASD 1/sum(Aki), J-resolved",5.998147153630025e-13,6/6,yes,1380.219,1380.219,,,L21139
Na X,Na,9,1s.5s,3S,1.0,3,1409.6657,0.0019,even,,no,1465.0992,2.7763895829862845e-11,"ASD 1/sum(Aki), J-resolved",2.7763895829862845e-11,9/9,yes,290.696109,291.05937199999994,,,L21139
Na X,Na,9,1s.5p,3P*,0.0,1,1410.2787,0.0009,odd,,no,1465.0992,1.2808838713536598e-11,"ASD 1/sum(Aki), J-resolved",1.2808838713536598e-11,6/6,yes,302.46098000000006,302.46098000000006,,,L21139
Na X,Na,9,1s.5p,3P*,1.0,3,1410.2834,0.0009,odd,,no,1465.0992,1.2827730886007524e-11,"ASD 1/sum(Aki), J-resolved",1.2827730886007524e-11,8/8,yes,302.46568,302.46568,,,L21139
Na X,Na,9,1s.5p,3P*,2.0,5,1410.3024,0.0009,odd,,no,1465.0992,1.2821528680092859e-11,"ASD 1/sum(Aki), J-resolved",1.2821528680092859e-11,10/10,yes,302.48468,302.48468,,,L21139
Na X,Na,9,1s.5s,1S,0.0,1,1410.2833,0.0019,even,,no,1465.0992,2.9559562518474726e-11,"ASD 1/sum(Aki), J-resolved",2.9559562518474726e-11,3/3,yes,283.450689,283.450689,,,L21139
Na X,Na,9,1s.5d,3D,1.0,3,1410.6368,0.0022,even,,no,1465.0992,6.67635905267267e-12,"ASD 1/sum(Aki), J-resolved",6.67635905267267e-12,12/12,yes,292.0304719999999,292.0304719999999,,,"L11959c209,L19700"
Na X,Na,9,1s.5d,3D,2.0,5,1410.638,0.0022,even,,no,1465.0992,6.678232269727743e-12,"ASD 1/sum(Aki), J-resolved",6.678232269727743e-12,8/8,yes,291.9668849999998,291.9668849999998,,,"L11959c209,L19700"
Na X,Na,9,1s.5d,3D,3.0,7,1410.644,0.0025,even,,no,1465.0992,6.70689916383009e-12,"ASD 1/sum(Aki), J-resolved",6.70689916383009e-12,4/4,yes,291.67440899999997,291.67440899999997,,,"L11959c209,L19700"
Na X,Na,9,1s.5f,3F*,3.0,7,1410.6647,0.0015,odd,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.5f,3F*,2.0,5,1410.6658,0.0015,odd,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.5f,3F*,4.0,9,1410.6696,0.0015,odd,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.5d,1D,2.0,5,1410.6678,0.0019,even,,no,1465.0992,7.147962830593281e-12,"ASD 1/sum(Aki), J-resolved",7.147962830593281e-12,3/3,yes,283.8351889999999,283.8351889999999,,,"L11959c209,L19700"
Na X,Na,9,1s.5g,3G,4.0,9,1410.6703,0.0015,even,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.5g,3G,5.0,11,1410.6732,0.0015,even,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.5g,3G,3.0,7,1410.6709,0.0015,even,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.5f,1F*,3.0,7,1410.6705,0.0015,odd,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.5g,1G,4.0,9,1410.6737,0.0015,even,,no,1465.0992,,,,,,,,,,L19700c211
Na X,Na,9,1s.5p,1P*,1.0,3,1410.7505,0.0009,odd,,no,1465.0992,1.168564911683305e-12,"ASD 1/sum(Aki), J-resolved",1.168564911683305e-12,8/8,yes,1410.7505,1410.7505,,,L21139
Na X,Na,9,1s.6s,3S,1.0,3,1426.7235,0.0019,even,,no,1465.0992,4.2760626015564866e-11,"ASD 1/sum(Aki), J-resolved",4.2760626015564866e-11,12/12,yes,307.753909,308.117172,,,L21139
Na X,Na,9,1s.6p,3P*,0.0,1,1427.0754,0.0009,odd,,no,1465.0992,2.054549438130038e-11,"ASD 1/sum(Aki), J-resolved",2.054549438130038e-11,8/8,yes,319.25767999999994,319.25767999999994,,,L21139
Na X,Na,9,1s.6p,3P*,1.0,3,1427.0782,0.0009,odd,,no,1465.0992,2.054211757556259e-11,"ASD 1/sum(Aki), J-resolved",2.054211757556259e-11,11/11,yes,319.2604799999999,319.2604799999999,,,L21139
Na X,Na,9,1s.6p,3P*,2.0,5,1427.0892,0.0009,odd,,no,1465.0992,2.0537425823438846e-11,"ASD 1/sum(Aki), J-resolved",2.0537425823438846e-11,14/14,yes,319.2714799999999,319.2714799999999,,,L21139
Na X,Na,9,1s.6s,1S,0.0,1,1427.0768,0.0019,even,,no,1465.0992,4.5207956600361667e-11,"ASD 1/sum(Aki), J-resolved",4.5207956600361667e-11,4/4,yes,300.244189,300.244189,,,L21139
