Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0.000005""","="" 100                    ""","=""L19200"""
"=""2p""","=""2P*""","=""1/2""",2,"=""(""","=""1236.307667""","="")""","=""0.000006""","="" 100                    ""","=""L19200"""
"=""2p""","=""2P*""","=""3/2""",4,"=""(""","=""1236.9748205""","="")""","=""0.000006""","="" 100                    ""","=""L19200"""
"=""2s""","=""2S""","=""1/2""",2,"=""(""","=""1236.335824""","="")""","=""0.000005""","="" 100                    ""","=""L19200"""
"=""3p""","=""2P*""","=""1/2""",2,"=""(""","=""1465.489929""","="")""","=""0.000006""","="" 100                    ""","=""L3620c107"""
"=""3p""","=""2P*""","=""3/2""",4,"=""(""","=""1465.687622""","="")""","=""0.000004""","="" 100                    ""","=""L3620c107"""
"=""3s""","=""2S""","=""1/2""",2,"=""(""","=""1465.498417""","="")""","=""0.000009""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""3/2""",4,"=""(""","=""1465.68728457""","="")""","=""0.00000012""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""5/2""",6,"=""(""","=""1465.75298776""","="")""","=""0.00000012""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""1/2""",2,"=""(""","=""1545.6765708""","="")""","=""0.0000025""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""3/2""",4,"=""(""","=""1545.7599614""","="")""","=""0.0000012""","="" 100                    ""","=""L3620c107"""
"=""4s""","=""2S""","=""1/2""",2,"=""(""","=""1545.680122""","="")""","=""0.000004""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""3/2""",4,"=""(""","=""1545.7598177""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""5/2""",6,"=""(""","=""1545.7875399""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""5/2""",6,"=""(""","=""1545.7874898""","="")""","=""0.0000004""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""7/2""",8,"=""(""","=""1545.8013407""","="")""","=""0.0000004""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""1/2""",2,"=""(""","=""1582.7799475""","="")""","=""0.0000012""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""3/2""",4,"=""(""","=""1582.8226363""","="")""","=""0.0000009""","="" 100                    ""","=""L3620c107"""
"=""5s""","=""2S""","=""1/2""",2,"=""(""","=""1582.7817684""","="")""","=""0.0000025""","="" 100                    ""","=""L3620c107"""
"=""5d""","=""2D""","=""3/2""",4,"=""(""","=""1582.8225621""","="")""","=""0.0000006""","="" 100                    ""","=""L3620c107"""
