obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""0.7676597052""","=""0.0000000024""","=""""","=""1.8098e+11""",AA,"=""0.000000""","=""(1615.0932190)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""0.7676670981""","=""0.0000000024""","=""""","=""1.8058e+11""",AA,"=""0.000000""","=""(1615.0776651)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
"=""""","=""""","=""0.7734728605""","=""0.0000000024""","=""""","=""2.8884e+11""",AA,"=""0.000000""","=""(1602.9547353)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""0.7734847799""","=""0.0000000024""","=""""","=""2.8825e+11""",AA,"=""0.000000""","=""(1602.9300338)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
"=""""","=""""","=""0.7833107487""","=""0.0000000025""","=""""","=""5.0328e+11""",AA,"=""0.000000""","=""(1582.8226363)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""0.783331875""","=""0.000000003""","=""""","=""5.0241e+11""",AA,"=""0.000000""","=""(1582.7799475)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
"=""""","=""""","=""0.802092185""","=""0.000000003""","=""""","=""9.9832e+11""",AA,"=""0.000000""","=""(1545.7599614)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""0.802135458""","=""0.000000003""","=""""","=""9.9705e+11""",AA,"=""0.000000""","=""(1545.6765708)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
"=""0.84588""","=""0.00007""","=""0.845911479""","=""0.000000004""","=""bl*""","=""2.4484e+12""",AA,"=""0.000000""","=""(1465.687622)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L6845""",
"=""0.84588""","=""0.00007""","=""0.846025592""","=""0.000000005""","=""bl*""","=""2.4476e+12""",AA,"=""0.000000""","=""(1465.489929)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L6845""",
"=""1.0027""","=""0.0003""","=""1.002317884""","=""0.000000006""","=""bl*""","=""9.1633e+12""",AA,"=""0.000000""","=""(1236.9748205)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L2560c7""",
"=""1.0027""","=""0.0003""","=""1.002858768""","=""0.000000006""","=""bl*""","=""9.1839e+12""",AA,"=""0.000000""","=""(1236.307667)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L2560c7""",
"=""""","=""""","=""3.27320319""","=""0.00000005""","=""""","=""3.8439e+10""",AA,"=""(1236.307667)""","=""(1615.09319151)""","=""2p""","=""2P*""","=""1/2""","=""7d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""3.27333161""","=""0.00000005""","=""""","=""2.2485e+09""",AA,"=""(1236.307667)""","=""(1615.0783300)""","=""2p""","=""2P*""","=""1/2""","=""7s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
"=""""","=""""","=""3.27344628""","=""0.00000004""","=""""","=""2.6344e+10""",AA,"=""(1236.335824)""","=""(1615.0932190)""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
"=""""","=""""","=""3.27358071""","=""0.00000004""","=""""","=""2.6398e+10""",AA,"=""(1236.335824)""","=""(1615.0776651)""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
"=""""","=""""","=""3.27893358""","=""0.00000005""","=""""","=""4.5886e+10""",AA,"=""(1236.9748205)""","=""(1615.09836400)""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""L3620""",
"=""""","=""""","=""3.27897843""","=""0.00000005""","=""""","=""7.6315e+09""",AA,"=""(1236.9748205)""","=""(1615.09319151)""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""L3620""",
