spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Na XI,Na,10,1s,2S,0.5,2,0.0,5e-06,even,,no,1648.702285,,,,,,,,,,L19200
Na XI,Na,10,2p,2P*,0.5,2,1236.307667,6e-06,odd,,no,1648.702285,1.0888620302921417e-13,"ASD 1/sum(Aki), J-resolved",1.0888620302921417e-13,1/1,yes,1236.307667,1236.307667,,,L19200
Na XI,Na,10,2p,2P*,1.5,4,1236.9748205,6e-06,odd,,no,1648.702285,1.0913098992720963e-13,"ASD 1/sum(Aki), J-resolved",1.0913098992720963e-13,1/1,yes,1236.9748205,1236.9748205,,,L19200
Na XI,Na,10,2s,2S,0.5,2,1236.335824,5e-06,even,,no,1648.702285,,,,,,,,,,L19200
Na XI,Na,10,3p,2P*,0.5,2,1465.489929,6e-06,odd,,no,1648.702285,3.5998286481563475e-13,"ASD 1/sum(Aki), J-resolved",3.5998286481563475e-13,2/2,yes,1465.489929,1465.489929,,,L3620c107
Na XI,Na,10,3p,2P*,1.5,4,1465.687622,4e-06,odd,,no,1648.702285,3.601332493022418e-13,"ASD 1/sum(Aki), J-resolved",3.601332493022418e-13,2/2,yes,1465.687622,1465.687622,,,L3620c107
Na XI,Na,10,3s,2S,0.5,2,1465.498417,9e-06,even,,no,1648.702285,1.0667008010923016e-11,"ASD 1/sum(Aki), J-resolved",1.0667008010923016e-11,2/2,yes,228.52359649999994,229.19074999999998,,,L3620c107
Na XI,Na,10,3d,2D,1.5,4,1465.68728457,1.2e-07,even,,no,1648.702285,1.0531193394835503e-12,"ASD 1/sum(Aki), J-resolved",1.0531193394835503e-12,2/2,yes,229.37961756999994,229.37961756999994,,,L3620c107
Na XI,Na,10,3d,2D,2.5,6,1465.75298776,1.2e-07,even,,no,1648.702285,1.0557098064883924e-12,"ASD 1/sum(Aki), J-resolved",1.0557098064883924e-12,1/1,yes,228.77816725999992,228.77816725999992,,,L3620c107
Na XI,Na,10,4p,2P*,0.5,2,1545.6765708,2.5e-06,odd,,no,1648.702285,8.40709579061758e-13,"ASD 1/sum(Aki), J-resolved",8.40709579061758e-13,4/4,yes,1545.6765708,1545.6765708,,,L3620c107
Na XI,Na,10,4p,2P*,1.5,4,1545.7599614,1.2e-06,odd,,no,1648.702285,8.404519543831927e-13,"ASD 1/sum(Aki), J-resolved",8.404519543831927e-13,5/5,yes,1545.7599614,1545.7599614,,,L3620c107
Na XI,Na,10,4s,2S,0.5,2,1545.680122,4e-06,even,,no,1648.702285,1.52758046530101e-11,"ASD 1/sum(Aki), J-resolved",1.52758046530101e-11,4/4,yes,308.7053014999999,309.37245499999995,,,L3620c107
Na XI,Na,10,4d,2D,1.5,4,1545.7598177,1e-06,even,,no,1648.702285,2.4602364287208e-12,"ASD 1/sum(Aki), J-resolved",2.4602364287208e-12,4/4,yes,309.45215069999995,309.45215069999995,,,L3620c107
Na XI,Na,10,4d,2D,2.5,6,1545.7875399,1e-06,even,,no,1648.702285,2.46669955599408e-12,"ASD 1/sum(Aki), J-resolved",2.46669955599408e-12,2/2,yes,308.8127193999999,308.8127193999999,,,L3620c107
Na XI,Na,10,4f,2F*,2.5,6,1545.7874898,4e-07,odd,,no,1648.702285,4.945451668100848e-12,"ASD 1/sum(Aki), J-resolved",4.945451668100848e-12,2/2,yes,80.10020523000003,80.10020523000003,,,L3620c107
Na XI,Na,10,4f,2F*,3.5,8,1545.8013407,4e-07,odd,,no,1648.702285,4.949025042066713e-12,"ASD 1/sum(Aki), J-resolved",4.949025042066713e-12,1/1,yes,80.04835294000009,80.04835294000009,,,L3620c107
Na XI,Na,10,5p,2P*,0.5,2,1582.7799475,1.2e-06,odd,,no,1648.702285,1.6257846849782046e-12,"ASD 1/sum(Aki), J-resolved",1.6257846849782046e-12,6/6,yes,1582.7799475,1582.7799475,,,L3620c107
