obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""25.635""","=""0.003""","=""25.635""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""48.365""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.12p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""25.646""","=""0.003""","=""25.646""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""48.344""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.11p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""25.663""","=""0.003""","=""25.663""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""48.313""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.10p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""25.685""","=""0.003""","=""25.685""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""48.271""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.9p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""25.719""","=""0.003""","=""25.719""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""48.208""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.8p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""25.768""","=""0.003""","=""25.768""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""48.116""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""25.848""","=""0.003""","=""25.848""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""47.967""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""25.996""","=""0.003""","=""25.996""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""47.693""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""26.311""","=""0.003""","=""26.311""","=""0.003""","=""a""","=""""",,"=""0.0000000""","=""47.123""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
"=""27.221""","=""0.005""","=""27.221""","=""0.005""","=""a""","=""""",,"=""0.0000000""","=""45.547""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.3p""","=""1P*""","=""1""",1,3,,"=""""","=""L3359""",
