Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,Ne 1S;v=2s2.2p6,2.27273e-08,-16.6704067703729
Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,Ne 1S;v=2s2.2p6,1.70068e-09,-16.8477000841833
Ne 2[1/2]_1;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,3.7594e-08,-1.7625385426742
Ne 2[1/2]_1;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,9.90099e-08,-1.7108184876013013
Ne 2[1/2]_1;v=2s2.2p5(2Po_3/2)3p,Ne 2[1/2]o_0;v=2s2.2p5(2Po_1/2)3s,4.04858e-07,-1.6662297770742
Ne 2[1/2]_1;v=2s2.2p5(2Po_3/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,7.69231e-06,-1.5335251737909026
Ne 2[5/2]_3;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,1.94212e-08,-1.9359884349963998
Ne 2[5/2]_2;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,3.33334e-08,-1.9049732634243988
Ne 2[5/2]_2;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,6.21119e-08,-1.9566933184972974
Ne 2[5/2]_2;v=2s2.2p5(2Po_3/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,3.48433e-07,-1.727679949614
Ne 2[3/2]_1;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,3.11526e-08,-1.9419197022464019
Ne 2[3/2]_1;v=2s2.2p5(2Po_3/2)3p,Ne 2[1/2]o_0;v=2s2.2p5(2Po_1/2)3s,9.25926e-08,-1.8973309917193006
Ne 2[3/2]_1;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,1.56986e-07,-1.9936397573193005
Ne 2[3/2]_1;v=2s2.2p5(2Po_3/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,5.29101e-07,-1.7646263884360032
Ne 2[3/2]_2;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,3.5461e-08,-2.0176921369551977
Ne 2[3/2]_2;v=2s2.2p5(2Po_3/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,5.74714e-08,-1.7886787680719003
Ne 2[3/2]_2;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,2.40385e-07,-1.965972081882299
Ne 2[3/2]_1;v=2s2.2p5(2Po_1/2)3p,Ne 2[1/2]o_0;v=2s2.2p5(2Po_1/2)3s,4.01607e-08,-1.9779188616331993
Ne 2[3/2]_1;v=2s2.2p5(2Po_1/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,4.6083e-08,-1.8452142583499018
Ne 2[3/2]_1;v=2s2.2p5(2Po_1/2)3p,Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,2.849e-07,-2.074227627233199
Ne 2[3/2]_1;v=2s2.2p5(2Po_1/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,1.49254e-06,-2.0225075721603005
Ne 2[3/2]_2;v=2s2.2p5(2Po_1/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,4.29184e-08,-1.8560006347845004
Ne 2[3/2]_2;v=2s2.2p5(2Po_1/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,5.52485e-08,-2.033293948594899
Ne 2[3/2]_2;v=2s2.2p5(2Po_1/2)3p,Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,8.84954e-08,-2.0850140036677978
Ne 2[1/2]_0;v=2s2.2p5(2Po_3/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,1.65838e-08,-2.0404848662180015
Ne 2[1/2]_0;v=2s2.2p5(2Po_3/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,3.4483e-06,-1.8631915524076028
Ne 2[1/2]_1;v=2s2.2p5(2Po_1/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,4.31034e-08,-1.878193294345401
Ne 2[1/2]_1;v=2s2.2p5(2Po_1/2)3p,Ne 2[1/2]o_0;v=2s2.2p5(2Po_1/2)3s,6.84932e-08,-2.0108978976286984
Ne 2[1/2]_1;v=2s2.2p5(2Po_1/2)3p,Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)3s,8.69564e-08,-2.1072066632286983
Ne 2[1/2]_1;v=2s2.2p5(2Po_1/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,1.78253e-07,-2.0554866081557996
Ne 2[1/2]_0;v=2s2.2p5(2Po_1/2)3p,Ne 2[1/2]o_1;v=2s2.2p5(2Po_1/2)3s,1.62601e-08,-2.1178492213352023
Ne 2[1/2]_0;v=2s2.2p5(2Po_1/2)3p,Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)3s,1.1111e-06,-2.295142535145601
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)4s,Ne 2[5/2]_3;v=2s2.2p5(2Po_3/2)3p,7.82158e-08,-1.1088890900140989
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)4s,Ne 2[3/2]_2;v=2s2.2p5(2Po_3/2)3p,2.3642e-07,-1.027185388055301
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)4s,Ne 2[1/2]_1;v=2s2.2p5(2Po_3/2)3p,2.5096e-07,-1.2823389823362987
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)4s,Ne 2[5/2]_2;v=2s2.2p5(2Po_3/2)3p,3.56878e-07,-1.0881842065132012
Ne 2[3/2]o_2;v=2s2.2p5(2Po_3/2)4s,Ne 2[3/2]_2;v=2s2.2p5(2Po_1/2)3p,7.11053e-07,-0.9598635213427009
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)4s,Ne 1S;v=2s2.2p6,1.32774e-08,-19.6877406012847
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)4s,Ne 2[5/2]_2;v=2s2.2p5(2Po_3/2)3p,9.98912e-08,-1.1123605674874
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)4s,Ne 2[3/2]_1;v=2s2.2p5(2Po_3/2)3p,1.78763e-07,-1.0754141286653969
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)4s,Ne 2[3/2]_2;v=2s2.2p5(2Po_3/2)3p,2.49989e-07,-1.0513617490294997
Ne 2[3/2]o_1;v=2s2.2p5(2Po_3/2)4s,Ne 2[1/2]_1;v=2s2.2p5(2Po_3/2)3p,5.27449e-07,-1.3065153433104975
Ne 2[1/2]o_0;v=2s2.2p5(2Po_1/2)4s,Ne 2[3/2]_1;v=2s2.2p5(2Po_1/2)3p,8.84955e-08,-1.067231360335601
