spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ne II,Ne,1,2s2.2p5,2P*,1.5,4,0.0,0.0,odd,,no,40.96297,,metastable - no allowed radiative channel,,,,,,,yes,L9088
Ne II,Ne,1,2s2.2p5,2P*,0.5,2,0.09676024,2.5e-07,odd,,no,40.96297,116.41443538998836,"ASD 1/sum(Aki), J-resolved",116.41443538998836,1/1,yes,0.09676024,0.09676024,,yes,L9088
Ne II,Ne,1,2s.2p6,2S,0.5,2,26.910472,1.1e-05,even,,no,40.96297,1.2135922330097089e-10,"ASD 1/sum(Aki), J-resolved",1.2135922330097089e-10,2/2,yes,26.910472,26.910472,1.21359e-10,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3s,4P,2.5,6,27.16875174,1.4e-07,even,,no,40.96297,,,,,,,,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3s,4P,1.5,4,27.2329339,6e-07,even,,no,40.96297,,,,,,,,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3s,4P,0.5,2,27.2700077,1.4e-07,even,,no,40.96297,,,,,,,,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3s,2P,1.5,4,27.78324821,1.6e-07,even,,no,40.96297,,,,,,,,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3s,2P,0.5,2,27.85915908,1.7e-07,even,,no,40.96297,,,,,,,,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3p,4P*,2.5,6,30.52396899,1.7e-07,odd,,no,40.96297,7.751937984496125e-09,"ASD 1/sum(Aki), J-resolved",7.751937984496125e-09,2/3,no,3.355217249999999,3.355217249999999,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3p,4P*,1.5,4,30.55156804,1.4e-07,odd,,no,40.96297,7.633587786259542e-09,"ASD 1/sum(Aki), J-resolved",7.633587786259542e-09,3/4,no,3.382816299999998,3.382816299999998,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3p,4P*,0.5,2,30.57421575,1.5e-07,odd,,no,40.96297,7.791803023219573e-09,"ASD 1/sum(Aki), J-resolved",7.791803023219573e-09,3/4,no,3.3412818500000014,3.3412818500000014,,,L9088
Ne II,Ne,1,2s2.2p4.(1D).3s,2D,2.5,6,30.54897749,1.9e-07,even,,no,40.96297,,,,,,,,,,L9088
Ne II,Ne,1,2s2.2p4.(1D).3s,2D,1.5,4,30.54939418,2.5e-07,even,,no,40.96297,,,,,,,,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3p,4D*,3.5,8,30.8855318,1.7e-07,odd,,no,40.96297,5.555555555555556e-09,"ASD 1/sum(Aki), J-resolved",5.555555555555556e-09,1/1,yes,3.716780059999998,3.716780059999998,,,L9088
Ne II,Ne,1,2s2.2p4.(3P).3p,4D*,2.5,6,30.9273578,1.5e-07,odd,,no,40.96297,5.747126436781609e-09,"ASD 1/sum(Aki), J-resolved",5.747126436781609e-09,3/3,yes,3.6944239000000003,3.758606059999998,,,L9088
