State,Lifetime /s,Energy /eV
Ne+ 2Po;v=2s2.2p5,,0.0
Ne+ 2S;v=2s.2p6,1.21359e-10,26.909901521623
Ne+ 4Po;v=2s2.2p4(3P)3p,7.7918e-09,30.5735500692436
Ne+ 4Do;v=2s2.2p4(3P)3p,5.6672e-09,30.9754975681061
Ne+ 2Do;v=2s2.2p4(3P)3p,7.63884e-09,31.1840341791754
Ne+ 2So;v=2s2.2p4(3P)3p,6.2383e-09,31.3422343668831
Ne+ 4So;v=2s2.2p4(3P)3p,3.88048e-09,31.3615754556624
Ne+ 2Po;v=2s2.2p4(3P)3p,4.86618e-09,31.5274624863466
Ne+ 2Fo;v=2s2.2p4(1D)3p,7.14286e-09,34.0161398906237
Ne+ 2Po;v=2s2.2p4(1D)3p,4.08163e-09,34.2823278240159
Ne+ 2Do;v=2s2.2p4(1D)3p,5.34759e-09,34.3832486334157
Ne+ 4D;v=2s2.2p4(3P)3d,2.48719e-09,34.6432374998915
Ne+ 2D;v=2s2.2p4(3P)3d,3.76932e-09,34.7735418864753
Ne+ 4P;v=2s2.2p4(3P)3d,2.31535e-09,34.8101163812823
Ne+ 4F;v=2s2.2p4(3P)3d,2.73448e-09,34.8321850595048
Ne+ 2F;v=2s2.2p4(3P)3d,3.3389e-09,34.8419795852328
Ne+ 2P;v=2s2.2p4(3P)3d,3.53232e-09,34.8800418560998
Ne+ 2[4]o;v=2s2.2p4(3P_2)4f,2.5974e-08,37.5453926674957
Ne+ 2[3]o;v=2s2.2p4(3P_2)4f,2.60417e-08,37.547004424894
Ne+ 2[2]o;v=2s2.2p4(3P_2)4f,4.23729e-08,37.5543193238554
Ne+ 2[5]o;v=2s2.2p4(3P_2)4f,3.83142e-08,37.5582867266819
Ne+ 2[1]o;v=2s2.2p4(3P_2)4f,2.63158e-08,37.5649817189517
Ne+ 2[2]o;v=2s2.2p4(3P_1)4f,3.81679e-08,37.6293280335444
Ne+ 2[4]o;v=2s2.2p4(3P_1)4f,3.80228e-08,37.6319316416493
Ne+ 2[3]o;v=2s2.2p4(3P_1)4f,4.26985e-09,37.6407343166707
Ne+ 2[3]o;v=2s2.2p4(3P_0)4f,3.80228e-08,37.6686301177947
Ne+ 2G;v=2s2.2p4(1D)3d,2.75482e-09,37.8595613788213
Ne+ 2Po;v=2s2.2p4(1S)3p,6.25e-09,37.8648925763694
Ne+ 2P;v=2s2.2p4(1D)3d,3.61011e-09,37.8864653292386
Ne+ 2D;v=2s2.2p4(1D)3d,3.67647e-09,37.9708966206407
Ne+ 2F;v=2s2.2p4(1D)3d,3.125e-09,38.0234647080921
Ne+ 2D;v=2s2.2p4(1D)3s,,30.5482727788
Ne+ 2S;v=2s2.2p4(1S)3s,,34.3027989035
Ne+ 2P;v=2s2.2p4(3P)3s,,27.7826073027
Ne+ 4P;v=2s2.2p4(3P)3s,,27.1681250054
