conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,3P,1.0,3.0,0.079706,0.079706,15555.09255,0.00584,1.2711e-08,6.3553e-08,3.3734e-10
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,1D,2.0,5.0,3.203841,3.203841,386.98612,0.174,3.9066e-10,1.9533e-09,1.0368e-11
2s2.2p4,3P,2.0,5.0,0.0,2s.2p5,3P*,2.0,5.0,25.32873,25.32873,48.95003,3640000000.0,0.13076,0.65379,0.0034703
2s2.2p4,3P,2.0,5.0,0.0,2s.2p5,3P*,1.0,3.0,25.40097,25.40097,48.81081,2000000000.0,0.042862,0.21431,0.0011376
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(4S*).3s,5S*,2.0,5.0,38.420352,38.420352,32.27045,140000.0,2.1857e-06,1.0929e-05,5.8009e-08
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(4S*).3s,3S*,1.0,3.0,39.604429,39.604429,31.30564,6100000000.0,0.053776,0.26888,0.0014272
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(2D*).3s,3D*,3.0,7.0,43.782987,43.782987,28.31789,3700000000.0,0.062275,0.31137,0.0016528
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(2D*).3s,3D*,2.0,5.0,43.786633,43.786633,28.31554,1000000000.0,0.01202,0.060101,0.00031901
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(2D*).3s,3D*,1.0,3.0,43.78913,43.78913,28.31392,120000000.0,0.00086535,0.0043268,2.2966e-05
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(2P*).3s,3P*,1.0,3.0,46.430781,46.430781,26.70302,1500000000.0,0.0096211,0.048105,0.00025534
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(2P*).3s,3P*,2.0,5.0,46.431595,46.431595,26.70255,2800000000.0,0.029931,0.14966,0.00079437
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(4S*).3d,3D*,2.0,5.0,49.368371,49.368371,25.1141,2900000000.0,0.027422,0.13711,0.00072777
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(4S*).3d,3D*,3.0,7.0,49.369951,49.369951,25.11329,11000000000.0,0.14561,0.72804,0.0038645
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(2D*).3d,3D*,3.0,7.0,54.160274,54.160274,22.89209,7800000000.0,0.085793,0.42897,0.002277
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p3.(2D*).3d,3D*,2.0,5.0,54.168898,54.168898,22.88845,1800000000.0,0.014137,0.070686,0.0003752
