Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p3""","=""4S*""","=""3/2""",4,"=""""","=""0.000000""","=""""","=""0.000000""","="" 100                                           ""","=""L17865"""
"=""2s2.2p3""","=""2D*""","=""5/2""",6,"=""""","=""5.11242""","=""""","=""0.00003""","=""  99                                           ""","=""L17865"""
"=""2s2.2p3""","=""2D*""","=""3/2""",4,"=""""","=""5.11793""","=""""","=""0.00003""","="" 100                                           ""","=""L17865"""
"=""2s2.2p3""","=""2P*""","=""1/2""",2,"=""""","=""7.74089""","=""""","=""0.00004""","=""  97                                           ""","=""L17865"""
"=""2s2.2p3""","=""2P*""","=""3/2""",4,"=""""","=""7.74167""","=""""","=""0.00004""","=""  97                                           ""","=""L17865"""
"=""2s.2p4""","=""4P""","=""5/2""",6,"=""""","=""22.7961""","=""""","=""0.0003""","=""  99                                           ""","=""L17865"""
"=""2s.2p4""","=""4P""","=""3/2""",4,"=""""","=""22.87220""","=""""","=""0.00024""","=""  99                                           ""","=""L17865"""
"=""2s.2p4""","=""4P""","=""1/2""",2,"=""""","=""22.91218""","=""""","=""0.00025""","=""  99                                           ""","=""L17865"""
"=""2s.2p4""","=""2D""","=""5/2""",6,"=""""","=""31.50186""","=""""","=""0.00017""","=""  99                                           ""","=""L17865"""
"=""2s.2p4""","=""2D""","=""3/2""",4,"=""""","=""31.50447""","=""""","=""0.00017""","=""  99                                           ""","=""L17865"""
"=""2s.2p4""","=""2S""","=""1/2""",2,"=""""","=""37.14906""","=""""","=""0.00025""","=""  99                                           ""","=""L17865"""
"=""2s.2p4""","=""2P""","=""3/2""",4,"=""""","=""39.67776""","=""""","=""0.00021""","=""  98                                           ""","=""L17865"""
"=""2s.2p4""","=""2P""","=""1/2""",2,"=""""","=""39.76646""","=""""","=""0.00022""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""59.350114""","=""+z""","=""0.000025""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""59.397432""","=""+z""","=""0.000000""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""59.469031""","=""+z""","=""0.000017""","=""  97                                           ""","=""L17865"""
"=""2p5""","=""2P*""","=""3/2""",4,"=""""","=""60.1201""","=""""","=""0.0003""","=""  95                                           ""","=""L17865"""
"=""2p5""","=""2P*""","=""1/2""",2,"=""""","=""60.2393""","=""""","=""0.0004""","=""  95                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""60.56635""","=""+z""","=""0.00004""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""60.65403""","=""+z""","=""0.00004""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""63.44525""","=""+z""","=""0.00005""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""63.44610""","=""+z""","=""0.00005""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",2,"=""""","=""63.90414""","=""+z""","=""0.00005""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",2,"=""""","=""64.59614""","=""+z""","=""0.00003""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""64.62248""","=""+z""","=""0.00003""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""64.666007""","=""+z""","=""0.000020""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""64.72549""","=""+z""","=""0.00003""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""65.02933""","=""+z""","=""0.00003""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""65.05021""","=""+z""","=""0.00003""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""65.09310""","=""+z""","=""0.00003""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",4,"=""""","=""65.78882""","=""+z""","=""0.00005""","=""  82         :    16  2s2.2p2.(1D).3p    2D*   ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",6,"=""""","=""65.87673""","=""+z""","=""0.00004""","=""  82         :    16  2s2.2p2.(1D).3p    2D*   ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",4,"=""""","=""66.08189""","=""+z""","=""0.00003""","=""  90         :     8  2s.2p3.(5S*).3s    4S*   ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""",2,"=""""","=""66.54300""","=""+z""","=""0.00005""","=""  82         :    13  2s2.2p2.(1D).3p    2P*   ""","=""L17865"""
"=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",4,"=""""","=""66.55758""","=""+z""","=""0.00005""","=""  82         :    14  2s2.2p2.(1D).3p    2P*   ""","=""L17865"""
"=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""",2,"=""""","=""67.65938""","=""+y""","=""0.00000""","=""  93         :     5  2p4.(1S).3s        2S    ""","=""L17865"""
"=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""",6,"=""""","=""68.85036""","=""+z""","=""0.00006""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""",8,"=""""","=""68.86771""","=""+z""","=""0.00005""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",6,"=""""","=""69.57448""","=""+z""","=""0.00005""","=""  80         :    16  2s2.2p2.(3P).3p    2D*   ""","=""L17865"""
"=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",4,"=""""","=""69.58675""","=""+z""","=""0.00005""","=""  80         :    16  2s2.2p2.(3P).3p    2D*   ""","=""L17865"""
"=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""",2,"=""""","=""70.29430""","=""+z""","=""0.00006""","=""  83         :    13  2s2.2p2.(3P).3p    2P*   ""","=""L17865"""
"=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""",4,"=""""","=""70.33135""","=""+z""","=""0.00005""","=""  82         :    14  2s2.2p2.(3P).3p    2P*   ""","=""L17865"""
"=""2s.2p3.(5S*).3s""","=""6S*""","=""5/2""",6,"=""""","=""70.466419""","=""+x""","=""0.000000""","="" 100                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""",4,"=""""","=""71.01568""","=""+z""","=""0.00004""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""",6,"=""""","=""71.04010""","=""+z""","=""0.00005""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""",8,"=""""","=""71.07509""","=""+z""","=""0.00005""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""",10,"=""""","=""71.12099""","=""+z""","=""0.00005""","=""  98                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""71.44649""","=""+z""","=""0.00006""","=""  86         :    10                     4D    ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""71.49373""","=""+z""","=""0.00007""","=""  50         :    47                     4D    ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""71.55690""","=""+z""","=""0.00004""","=""  86         :    10                     2P    ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""71.55815""","=""+z""","=""0.00004""","=""  93                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""71.56938""","=""+z""","=""0.00005""","=""  50         :    47                     2P    ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""71.58222""","=""+z""","=""0.00005""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""71.82754""","=""+z""","=""0.00005""","=""  93                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""71.86151""","=""+z""","=""0.00005""","=""  95                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""71.87931""","=""+z""","=""0.00005""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""71.87069""","=""+z""","=""0.00006""","=""  92         :     6  2s2.2p2.(1D).3d    2F    ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""71.95851""","=""+z""","=""0.00006""","=""  92         :     6  2s2.2p2.(1D).3d    2F    ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""72.77640""","=""+z""","=""0.00006""","=""  97                                           ""","=""L17865"""
"=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""72.80326""","=""+z""","=""0.00006""","=""  97                                           ""","=""L17865"""
