spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ne IV,Ne,3,2s2.2p3,4S*,1.5,4,0.0,0.0,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p3,2D*,2.5,6,5.11242,3e-05,odd,,no,97.19,1724.1379310344828,"ASD 1/sum(Aki), J-resolved",1724.1379310344828,1/1,yes,5.11242,5.11242,,,L17865
Ne IV,Ne,3,2s2.2p3,2D*,1.5,4,5.11793,3e-05,odd,,no,97.19,182.76757630089352,"ASD 1/sum(Aki), J-resolved",182.76757630089352,4/4,yes,5.11793,5.11793,,,L17865
Ne IV,Ne,3,2s2.2p3,2P*,0.5,2,7.74089,4e-05,odd,,no,97.19,0.9718092707689003,"ASD 1/sum(Aki), J-resolved",0.9718092707689003,5/5,yes,7.74089,7.74089,,,L17865
Ne IV,Ne,3,2s2.2p3,2P*,1.5,4,7.74167,4e-05,odd,,no,97.19,0.46146743417913205,"ASD 1/sum(Aki), J-resolved",0.46146743417913205,8/8,yes,7.74167,7.74167,,,L17865
Ne IV,Ne,3,2s.2p4,4P,2.5,6,22.7961,0.0003,even,,no,97.19,4e-10,"ASD 1/sum(Aki), J-resolved",4e-10,1/3,no,22.7961,22.7961,,,L17865
Ne IV,Ne,3,2s.2p4,4P,1.5,4,22.8722,0.00024,even,,no,97.19,4e-10,"ASD 1/sum(Aki), J-resolved",4e-10,1/4,no,22.8722,22.8722,,,L17865
Ne IV,Ne,3,2s.2p4,4P,0.5,2,22.91218,0.00025,even,,no,97.19,4e-10,"ASD 1/sum(Aki), J-resolved",4e-10,1/2,no,22.91218,22.91218,,,L17865
Ne IV,Ne,3,2s.2p4,2D,2.5,6,31.50186,0.00017,even,,no,97.19,1.669449081803005e-10,"ASD 1/sum(Aki), J-resolved",1.669449081803005e-10,3/3,yes,26.38944,26.38944,,,L17865
Ne IV,Ne,3,2s.2p4,2D,1.5,4,31.50447,0.00017,even,,no,97.19,1.7064846416382252e-10,"ASD 1/sum(Aki), J-resolved",1.7064846416382252e-10,4/5,no,26.38654,31.50447,,,L17865
Ne IV,Ne,3,2s.2p4,2S,0.5,2,37.14906,0.00025,even,,no,97.19,8.264462809917355e-11,"ASD 1/sum(Aki), J-resolved",8.264462809917355e-11,2/2,yes,29.40739,29.40817,,,L17865
Ne IV,Ne,3,2s.2p4,2P,1.5,4,39.67776,0.00021,even,,no,97.19,4.366812227074236e-11,"ASD 1/sum(Aki), J-resolved",4.366812227074236e-11,4/4,yes,34.56534,34.56534,,,L17865
Ne IV,Ne,3,2s.2p4,2P,0.5,2,39.76646,0.00022,even,,no,97.19,4.4444444444444444e-11,"ASD 1/sum(Aki), J-resolved",4.4444444444444444e-11,3/3,yes,34.64853,34.64853,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3s,4P,0.5,2,59.350114,2.5e-05,even,,no,97.19,2.0833333333333334e-10,"ASD 1/sum(Aki), J-resolved",2.0833333333333334e-10,1/1,yes,59.350114,59.350114,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3s,4P,1.5,4,59.397432,0.0,even,,no,97.19,2.0833333333333334e-10,"ASD 1/sum(Aki), J-resolved",2.0833333333333334e-10,1/1,yes,59.397432,59.397432,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3s,4P,2.5,6,59.469031,1.7e-05,even,,no,97.19,2.0833333333333334e-10,"ASD 1/sum(Aki), J-resolved",2.0833333333333334e-10,1/1,yes,59.469031,59.469031,,,L17865
Ne IV,Ne,3,2p5,2P*,1.5,4,60.1201,0.0003,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2p5,2P*,0.5,2,60.2393,0.0004,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3s,2P,0.5,2,60.56635,4e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3s,2P,1.5,4,60.65403,4e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(1D).3s,2D,2.5,6,63.44525,5e-05,even,,no,97.19,1.3351134846461948e-10,"ASD 1/sum(Aki), J-resolved",1.3351134846461948e-10,2/3,no,58.33283,58.33283,,,L17865
Ne IV,Ne,3,2s2.2p2.(1D).3s,2D,1.5,4,63.4461,5e-05,even,,no,97.19,1.3089005235602094e-10,"ASD 1/sum(Aki), J-resolved",1.3089005235602094e-10,2/4,no,58.32817,58.33368,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,2S*,0.5,2,63.90414,5e-05,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,4D*,0.5,2,64.59614,3e-05,odd,,no,97.19,4.166666666666667e-09,"ASD 1/sum(Aki), J-resolved",4.166666666666667e-09,2/2,yes,5.246026000000008,5.246026000000008,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,4D*,1.5,4,64.62248,3e-05,odd,,no,97.19,4.132231404958678e-09,"ASD 1/sum(Aki), J-resolved",4.132231404958678e-09,3/3,yes,5.225047999999994,5.272365999999998,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,4D*,2.5,6,64.666007,2e-05,odd,,no,97.19,4.132231404958678e-09,"ASD 1/sum(Aki), J-resolved",4.132231404958678e-09,2/2,yes,5.268574999999991,5.268574999999991,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,4D*,3.5,8,64.72549,3e-05,odd,,no,97.19,4e-09,"ASD 1/sum(Aki), J-resolved",4e-09,1/1,yes,5.256458999999992,5.256458999999992,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,4P*,0.5,2,65.02933,3e-05,odd,,no,97.19,3.3112582781456954e-09,"ASD 1/sum(Aki), J-resolved",3.3112582781456954e-09,2/4,no,5.631898,42.15713,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,4P*,1.5,4,65.05021,3e-05,odd,,no,97.19,3.205128205128205e-09,"ASD 1/sum(Aki), J-resolved",3.205128205128205e-09,3/6,no,5.581179000000006,42.25411000000001,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,4P*,2.5,6,65.0931,3e-05,odd,,no,97.19,3.1746031746031745e-09,"ASD 1/sum(Aki), J-resolved",3.1746031746031745e-09,2/4,no,5.624069000000006,42.29700000000001,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,2D*,1.5,4,65.78882,5e-05,odd,,no,97.19,3.802281368821292e-09,"ASD 1/sum(Aki), J-resolved",3.802281368821292e-09,2/2,yes,5.222470000000001,5.222470000000001,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,2D*,2.5,6,65.87673,4e-05,odd,,no,97.19,3.5714285714285715e-09,"ASD 1/sum(Aki), J-resolved",3.5714285714285715e-09,1/1,yes,5.222699999999996,5.222699999999996,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,4S*,1.5,4,66.08189,3e-05,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,2P*,0.5,2,66.543,5e-05,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3p,2P*,1.5,4,66.55758,5e-05,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(1S).3s,2S,0.5,2,67.65938,0.0,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(1D).3p,2F*,2.5,6,68.85036,6e-05,odd,,no,97.19,3.5971223021582734e-09,"ASD 1/sum(Aki), J-resolved",3.5971223021582734e-09,2/2,yes,5.404259999999994,5.405109999999993,,,L17865
Ne IV,Ne,3,2s2.2p2.(1D).3p,2F*,3.5,8,68.86771,5e-05,odd,,no,97.19,3.5714285714285715e-09,"ASD 1/sum(Aki), J-resolved",3.5714285714285715e-09,1/1,yes,5.422460000000001,5.422460000000001,,,L17865
Ne IV,Ne,3,2s2.2p2.(1D).3p,2D*,2.5,6,69.57448,5e-05,odd,,no,97.19,2.457002457002457e-09,"ASD 1/sum(Aki), J-resolved",2.457002457002457e-09,2/3,no,6.129229999999993,8.920449999999995,,,L17865
Ne IV,Ne,3,2s2.2p2.(1D).3p,2D*,1.5,4,69.58675,5e-05,odd,,no,97.19,2.4390243902439025e-09,"ASD 1/sum(Aki), J-resolved",2.4390243902439025e-09,2/4,no,6.140649999999994,9.020399999999995,,,L17865
Ne IV,Ne,3,2s2.2p2.(1D).3p,2P*,0.5,2,70.2943,6e-05,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(1D).3p,2P*,1.5,4,70.33135,5e-05,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s.2p3.(5S*).3s,6S*,2.5,6,70.466419,0.0,odd,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,4F,1.5,4,71.01568,4e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,4F,2.5,6,71.0401,5e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,4F,3.5,8,71.07509,5e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,4F,4.5,10,71.12099,5e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,2P,1.5,4,71.44649,6e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,2P,0.5,2,71.49373,7e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,4D,1.5,4,71.5569,4e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,4D,2.5,6,71.55815,4e-05,even,,no,97.19,,,,,,,,,,L17865
Ne IV,Ne,3,2s2.2p2.(3P).3d,4D,0.5,2,71.56938,5e-05,even,,no,97.19,,,,,,,,,,L17865
