obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1.0640263""","=""0.0000008""","=""""","=""3.01e+11""",AA,"=""0.0000""","=""(1165.2362)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.0642433""","=""0.0000008""","=""""","=""2.067e+08""",AA,"=""0.0000""","=""(1164.9986)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.0764398""","=""0.0000008""","=""""","=""5.20e+11""",AA,"=""0.0000""","=""(1151.7987)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.0768263""","=""0.0000008""","=""""","=""3.52e+08""",AA,"=""0.0000""","=""(1151.3854)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.1000478""","=""0.0000009""","=""""","=""1.024e+12""",AA,"=""0.0000""","=""(1127.0801)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.1008459""","=""0.0000009""","=""""","=""6.84e+08""",AA,"=""0.0000""","=""(1126.2629)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.1546793""","=""0.0000010""","=""""","=""2.478e+12""",AA,"=""0.0000""","=""(1073.7544)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.1568202""","=""0.0000010""","=""""","=""1.604e+09""",AA,"=""0.0000""","=""(1071.7672)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.3447302""","=""0.0000007""","=""""","=""8.85e+12""",AA,"=""0.0000""","=""(922.000555)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.3553106""","=""0.0000007""","=""""","=""5.25e+09""",AA,"=""0.0000""","=""(914.802870)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""1.3698971""","=""0.0000008""","=""""","=""""",,"=""0.0000""","=""(905.06210)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""""","=""""",
"=""""","=""4.769657""","=""0.000014""","=""""","=""1.957e+10""",AA,"=""(905.06210)""","=""(1165.0057)""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""4.769788""","=""0.000014""","=""""","=""1.957e+10""",AA,"=""(905.06210)""","=""(1164.9986)""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""4.769818""","=""0.000014""","=""""","=""1.957e+10""",AA,"=""(905.06210)""","=""(1164.9970)""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T7543LS""","=""""",
"=""""","=""4.951240""","=""0.000020""","=""""","=""2.016e+10""",AA,"=""(914.765595)""","=""(1165.1760)""","=""1s.2p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",1,3,,"=""T7543LS""","=""""",
"=""""","=""4.951967""","=""0.000020""","=""""","=""2.72e+10""",AA,"=""(914.802870)""","=""(1165.1765)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""4.951977""","=""0.000020""","=""""","=""1.511e+10""",AA,"=""(914.802870)""","=""(1165.1760)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""4.955743""","=""0.000020""","=""""","=""3.62e+10""",AA,"=""(914.995993)""","=""(1165.1789)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T7543LS""","=""""",
"=""""","=""4.955790""","=""0.000020""","=""""","=""9.05e+09""",AA,"=""(914.995993)""","=""(1165.1765)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T7543LS""","=""""",
"=""""","=""4.955799""","=""0.000020""","=""""","=""1.005e+09""",AA,"=""(914.995993)""","=""(1165.1760)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""4.961059""","=""0.000015""","=""""","=""1.864e+10""",AA,"=""(915.32141)""","=""(1165.2362)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""4.965780""","=""0.000015""","=""""","=""1.357e+07""",AA,"=""(915.32141)""","=""(1164.9986)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
