obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""10.796""","=""0.005""","=""10.7961""","=""0.0006""","=""18""","=""""",,"=""0.1375564""","=""114.979""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).4p""","=""3D*""","=""3""",5,7,,"=""""","=""L11744""",
"=""10.889""","=""0.002""","=""10.8890""","=""0.0020""","=""13""","=""""",,"=""10.96014""","=""124.822""","=""2s.2p3""","=""5S*""","=""2""","=""2s.2p2.(4P).5d""","=""5P""","=""3""",5,7,,"=""""","=""L11744""",
"=""10.957""","=""0.002""","=""10.9570""","=""0.0020""","=""18""","=""1.73e+10""",C,"=""3.755564""","=""116.911""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.6d""","=""1F*""","=""3""",5,7,,"=""T5520c38,LS""","=""L11744""",
"=""11.036""","=""0.002""","=""11.0361""","=""0.0019""","=""23""","=""""",,"=""0.1375564""","=""112.482""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.5d""","=""3P*""","=""2""",5,5,,"=""""","=""L11744""",
"=""11.0410""","=""0.0010""","=""11.0409""","=""0.0010""","=""23""","=""""",,"=""0.1375564""","=""112.433""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.5d""","=""3D*""","=""3""",5,7,,"=""""","=""L11744""",
"=""11.3870""","=""0.0010""","=""11.3871""","=""0.0010""","=""30""","=""2.93e+10""",B,"=""3.755564""","=""112.637""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.5d""","=""1F*""","=""3""",5,7,,"=""T5520c38,LS""","=""L11744""",
"=""11.723""","=""0.005""","=""11.723""","=""0.005""","=""27""","=""4.65e+10""",B,"=""10.96014""","=""116.72""","=""2s.2p3""","=""5S*""","=""2""","=""2s.2p2.(4P).4d""","=""5P""","=""2""",5,5,,"=""T5520c38,LS""","=""L11744""",
"=""11.727""","=""0.005""","=""11.727""","=""0.006""","=""27""","=""4.65e+10""",B,"=""10.96014""","=""116.68""","=""2s.2p3""","=""5S*""","=""2""","=""2s.2p2.(4P).4d""","=""5P""","=""3""",5,7,,"=""T5520c38,LS""","=""L11744""",
"=""""","=""""","=""11.868""","=""0.007""","=""""","=""7.55e+09""",C,"=""0.0000000""","=""104.47""","=""2s2.2p2""","=""3P""","=""0""","=""2s2.2p.4d""","=""3P*""","=""1""",1,3,,"=""T5520c38,LS""","=""""",
"=""11.874""","=""0.005""","=""11.874""","=""0.008""","=""12bl*""","=""2.26e+10""",C,"=""0.0509856""","=""104.47""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.4d""","=""3P*""","=""0""",3,1,,"=""T5520c38,LS""","=""L11744""",
"=""11.874""","=""0.005""","=""11.874""","=""0.006""","=""12bl*""","=""5.65e+09""",C,"=""0.0509856""","=""104.47""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.4d""","=""3P*""","=""1""",3,3,,"=""T5520c38,LS""","=""L11744""",
"=""""","=""""","=""11.879""","=""0.006""","=""""","=""5.65e+09""",C,"=""0.0509856""","=""104.42""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.4d""","=""3P*""","=""2""",3,5,,"=""T5520c38,LS""","=""""",
"=""""","=""""","=""11.884""","=""0.007""","=""""","=""9.39e+09""",C,"=""0.1375564""","=""104.47""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.4d""","=""3P*""","=""1""",5,3,,"=""T5520c38,LS""","=""""",
"=""11.889""","=""0.005""","=""11.889""","=""0.006""","=""37""","=""1.69e+10""",C,"=""0.1375564""","=""104.42""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.4d""","=""3P*""","=""2""",5,5,,"=""T5520c38,LS""","=""L11744""",
"=""11.901""","=""0.005""","=""11.8964""","=""0.0006""","=""66bl*""","=""3.80e+10""",B,"=""0.0509856""","=""104.271""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.4d""","=""3D*""","=""2""",3,5,,"=""T5520c38,LS""","=""L11744""",
"=""11.901""","=""0.005""","=""11.9012""","=""0.0006""","=""66bl*""","=""5.05e+10""",B,"=""0.1375564""","=""104.315""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.4d""","=""3D*""","=""3""",5,7,,"=""T5520c38,LS""","=""L11744""",
