spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ne V,Ne,4,2s2.2p2,3P,0.0,1,0.0,0.0,even,,no,126.247,,,,,,,,,,L11744
Ne V,Ne,4,2s2.2p2,3P,1.0,3,0.0509856,6e-07,even,,no,126.247,775.1937984496125,"ASD 1/sum(Aki), J-resolved",775.1937984496125,1/1,yes,0.0509856,0.0509856,,,L11744
Ne V,Ne,4,2s2.2p2,3P,2.0,5,0.1375564,1.4e-06,even,,no,126.247,217.8646247173996,"ASD 1/sum(Aki), J-resolved",217.8646247173996,3/3,yes,0.0865708,0.1375564,,,L11744
Ne V,Ne,4,2s2.2p2,1D,2.0,5,3.755564,1.5e-05,even,,no,126.247,1.921336635470564,"ASD 1/sum(Aki), J-resolved",1.921336635470564,5/5,yes,3.6180076000000003,3.755564,,,L11744
Ne V,Ne,4,2s2.2p2,1S,0.0,1,7.9245,7e-05,even,,no,126.247,0.14691191161779396,"ASD 1/sum(Aki), J-resolved",0.14691191161779396,3/3,yes,7.8735144,7.8735144,,,L11744
Ne V,Ne,4,2s.2p3,5S*,2.0,5,10.96014,0.00019,odd,,no,126.247,,,,,,,,,,L11744
Ne V,Ne,4,2s.2p3,3D*,3.0,7,21.80043,0.00019,odd,,no,126.247,7.142857142857143e-10,"ASD 1/sum(Aki), J-resolved",7.142857142857143e-10,1/1,yes,21.662873599999998,21.662873599999998,,,L11744
Ne V,Ne,4,2s.2p3,3D*,2.0,5,21.80916,0.00019,odd,,no,126.247,7.407407407407407e-10,"ASD 1/sum(Aki), J-resolved",7.407407407407407e-10,2/2,yes,21.758174399999998,21.758174399999998,,,L11744
Ne V,Ne,4,2s.2p3,3D*,1.0,3,21.81192,0.00019,odd,,no,126.247,7.194244604316547e-10,"ASD 1/sum(Aki), J-resolved",7.194244604316547e-10,3/3,yes,21.81192,21.81192,,,L11744
Ne V,Ne,4,2s.2p3,3P*,2.0,5,25.80747,0.00025,odd,,no,126.247,2.5e-10,"ASD 1/sum(Aki), J-resolved",2.5e-10,2/2,yes,25.669913599999997,25.756484399999998,,,L11744
