conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,3P,1.0,3.0,0.050986,0.050986,24317.49325,0.00129,3.4309e-08,3.4309e-08,9.1056e-10
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,3P,2.0,5.0,0.137556,0.137556,9013.3355,5.2e-09,3.1667e-14,3.1667e-14,8.4044e-16
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,1D,2.0,5.0,3.755564,3.755564,330.1347,1.9e-05,1.5523e-13,1.5523e-13,4.1197e-15
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3D*,1.0,3.0,21.81192,21.81192,56.8424,770000000.0,0.1119,0.1119,0.0029697
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3P*,1.0,3.0,25.80772,25.80772,48.04152,1300000000.0,0.13495,0.13495,0.0035814
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3S*,1.0,3.0,34.63761,34.63761,35.79467,2500000000.0,0.14406,0.14406,0.0038235
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3s,3P*,1.0,3.0,73.9713,73.9713,16.76112,5990000000.0,0.075686,0.075686,0.0020087
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3s,1P*,1.0,3.0,75.04,75.04,16.52241,11900000.0,0.00014611,0.00014611,3.8777e-06
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3d,3D*,1.0,3.0,86.569,86.569,14.32201,82800000000.0,0.76387,0.76387,0.020273
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3d,3P*,1.0,3.0,87.051,87.051,14.24271,17400000000.0,0.15875,0.15875,0.0042132
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.3d,1P*,1.0,3.0,88.163,88.163,14.06306,89200000.0,0.00079342,0.00079342,2.1057e-05
2s2.2p2,3P,0.0,1.0,0.0,2s.2p2.(4P).3p,3S*,1.0,3.0,91.395,91.395,13.56575,3240000000.0,0.026817,0.026817,0.00071173
2s2.2p2,3P,0.0,1.0,0.0,2s.2p2.(4P).3p,3P*,1.0,3.0,94.936,94.936,13.05977,6750000000.0,0.051779,0.051779,0.0013742
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.4s,3P*,1.0,3.0,99.377,99.377,12.47615,2580000000.0,0.018062,0.018062,0.00047936
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.4d,3P*,1.0,3.0,104.47,104.47,11.86792,7550000000.0,0.047827,0.047827,0.0012693
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p2,3P,2.0,5.0,0.137556,0.086571,14321.71106,0.00459,2.3524e-08,7.0572e-08,6.2433e-10
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p2,3P,2.0,5.0,0.137556,0.086571,14321.71106,1.1e-09,5.6376e-15,1.6913e-14,1.4962e-16
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p2,1D,2.0,5.0,3.755564,3.704578,334.6783,0.138,3.8623e-10,1.1587e-09,1.025e-11
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p2,1D,2.0,5.0,3.755564,3.704578,334.6783,6.2e-05,1.7352e-13,5.2057e-13,4.6053e-15
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p2,1S,0.0,1.0,7.9245,7.873514,157.46996,4.2,5.2045e-10,1.5614e-09,1.3813e-11
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p3,3D*,2.0,5.0,21.80916,21.758174,56.98281,1000000000.0,0.081133,0.2434,0.0021533
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p3,3D*,1.0,3.0,21.81192,21.760934,56.97559,580000000.0,0.028227,0.084681,0.00074915
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p3,3P*,2.0,5.0,25.80747,25.756484,48.13708,1000000000.0,0.057899,0.1737,0.0015366
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p3,3P*,1.0,3.0,25.80772,25.756734,48.13661,1000000000.0,0.034738,0.10422,0.00092196
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p3,3P*,0.0,1.0,25.81165,25.760664,48.12927,4000000000.0,0.046304,0.13891,0.0012289
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p3,3S*,1.0,3.0,34.63761,34.586624,35.84744,7300000000.0,0.14064,0.42191,0.0037325
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3s,3P*,0.0,1.0,73.9247,73.873714,16.78326,18000000000.0,0.025337,0.076012,0.00067246
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3s,3P*,1.0,3.0,73.9713,73.920314,16.77268,4480000000.0,0.018895,0.056684,0.00050147
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3s,3P*,2.0,5.0,74.0825,74.031514,16.74749,4520000000.0,0.031677,0.095031,0.00084071
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3s,1P*,1.0,3.0,75.04,74.989014,16.53365,17000000.0,6.967e-05,0.00020901,1.849e-06
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3d,3D*,1.0,3.0,86.569,86.518014,14.33045,49100000000.0,0.15117,0.4535,0.004012
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3d,3D*,2.0,5.0,86.593,86.542014,14.32647,111000000000.0,0.56926,1.7078,0.015108
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3d,3P*,2.0,5.0,87.007,86.956014,14.25827,8010000000.0,0.040689,0.12207,0.0010799
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3d,3P*,1.0,3.0,87.051,87.000014,14.25105,26300000000.0,0.080077,0.24023,0.0021253
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3d,3P*,0.0,1.0,87.074,87.023014,14.24729,77300000000.0,0.078412,0.23524,0.0020811
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.3d,1P*,1.0,3.0,88.163,88.112014,14.0712,21800000.0,6.4711e-05,0.00019413,1.7174e-06
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p2.(4P).3p,3S*,1.0,3.0,91.395,91.344014,13.57332,9710000000.0,0.02682,0.080459,0.00071179
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p2.(4P).3p,3P*,1.0,3.0,94.936,94.885014,13.06678,5060000000.0,0.012952,0.038857,0.00034375
2s2.2p2,3P,1.0,3.0,0.050986,2s.2p2.(4P).3p,3P*,2.0,5.0,94.972,94.921014,13.06183,5060000000.0,0.021571,0.064712,0.00057249
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.4s,3P*,0.0,1.0,99.34,99.289014,12.4872,7730000000.0,0.0060235,0.01807,0.00015986
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.4s,3P*,1.0,3.0,99.377,99.326014,12.48255,1930000000.0,0.0045084,0.013525,0.00011965
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.4s,3P*,2.0,5.0,99.493,99.442014,12.46799,1930000000.0,0.0074965,0.022489,0.00019896
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.4d,3D*,2.0,5.0,104.271,104.220014,11.89639,38000000000.0,0.13438,0.40313,0.0035663
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.4d,3P*,2.0,5.0,104.42,104.369014,11.87941,5650000000.0,0.019923,0.059768,0.00052875
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.4d,3P*,0.0,1.0,104.47,104.419014,11.87372,22600000000.0,0.015923,0.047768,0.00042259
2s2.2p2,3P,1.0,3.0,0.050986,2s2.2p.4d,3P*,1.0,3.0,104.47,104.419014,11.87372,5650000000.0,0.011942,0.035826,0.00031694
