Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0""","=""  96                                      ""","=""L9340"""
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""0.162024""","=""""","=""0.000025""","=""  95                                      ""","=""L9340"""
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""12.4353""","=""""","=""0.0014""","="" 100                                      ""","=""L9340"""
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""12.4898""","=""""","=""0.0014""","="" 100                                      ""","=""L9340"""
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""12.5700""","=""""","=""0.0014""","="" 100                                      ""","=""L9340"""
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""22.19170""","=""""","=""0.00024""","="" 100                                      ""","=""L9340"""
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""22.19540""","=""""","=""0.00020""","="" 100                                      ""","=""L9340"""
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""28.6219""","=""""","=""0.0004""","="" 100                                      ""","=""L9340"""
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""30.9075""","=""""","=""0.0004""","=""  99                                      ""","=""L9340"""
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""31.0084""","=""""","=""0.0004""","=""  99                                      ""","=""L9340"""
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""39.8748""","=""""","=""0.0014""","="" 100                                      ""","=""L9340"""
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""44.5769""","=""""","=""0.0004""","=""  99                                      ""","=""L9340"""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""44.5853""","=""""","=""0.0004""","=""  99                                      ""","=""L9340"""
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""50.3385""","=""""","=""0.0004""","=""  95                                      ""","=""L9340"""
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""50.3437""","=""""","=""0.0004""","=""  95                                      ""","=""L9340"""
"=""2s2.3s""","=""2S""","=""1/2""",2,"=""""","=""89.58882""","=""""","=""0.007""","=""  94                                      ""","=""L9340"""
"=""2s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""95.6174""","=""""","=""0.007""","=""  92         :     5  2p2.(1S).2p    2P*  ""","=""L9340"""
"=""2s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""95.65744""","=""""","=""0.007""","=""  92         :     5  2p2.(1S).2p    2P*  ""","=""L9340"""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""[""","=""101.1981""","=""]""","=""0.0014""","=""  94         :     5  2p2.3d         2D   ""","=""L9340"""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""[""","=""101.2076""","=""]""","=""0.0014""","=""  94         :     5  2p2.3d         2D   ""","=""L9340"""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",2,"=""""","=""103.3554""","=""""","=""0.007""","=""  99                                      ""","=""L9340"""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",4,"=""""","=""103.4104""","=""""","=""0.007""","=""  99                                      ""","=""L9340"""
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",6,"=""""","=""103.5107""","=""""","=""0.007""","=""  99                                      ""","=""L9340"""
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""106.096""","=""""","=""0.021""","=""  95                                      ""","=""L9340"""
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""106.194""","=""""","=""0.017""","=""  95                                      ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",2,"=""""","=""108.63""","=""""","=""0.04""","=""  79         :    18                 4D   ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",4,"=""""","=""108.70""","=""""","=""0.04""","=""  83         :    14                 4D   ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""4D""","=""1/2""",2,"=""[""","=""108.81""","=""]+x""","=""0.04""","=""  81         :    18                 2P   ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""4D""","=""3/2""",4,"=""[""","=""108.843""","=""]+y""","=""0.025""","=""  85         :    14                 2P   ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""4D""","=""5/2""",6,"=""""","=""108.9246""","=""""","=""0.007""","=""  99                                      ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""4D""","=""7/2""",8,"=""""","=""109.0115""","=""""","=""0.005""","=""  99                                      ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""4P""","=""1/2""",2,"=""""","=""110.8513""","=""""","=""0.005""","=""  99                                      ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""4P""","=""3/2""",4,"=""""","=""110.8921""","=""""","=""0.007""","=""  98                                      ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""4P""","=""5/2""",6,"=""""","=""110.9446""","=""""","=""0.007""","=""  99                                      ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",4,"=""""","=""111.598""","=""""","=""0.017""","=""  97                                      ""","=""L9340"""
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",6,"=""""","=""111.716""","=""""","=""0.014""","=""  97                                      ""","=""L9340"""
