Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s2.2s2""","=""1S""","=""0""",1,"=""""","=""0.00000""","=""""","=""0.00000""","=""  94             :     6  1s2.2p2             1S        ""","=""L9089"""
"=""1s2.2s.2p""","=""3P*""","=""0""",1,"=""""","=""13.7936""","=""""","=""0.0005""","="" 100                                                    ""","=""L9089"""
"=""1s2.2s.2p""","=""3P*""","=""1""",3,"=""""","=""13.8500""","=""""","=""0.0004""","="" 100                                                    ""","=""L9089"""
"=""1s2.2s.2p""","=""3P*""","=""2""",5,"=""""","=""13.9733""","=""""","=""0.0005""","="" 100                                                    ""","=""L9089"""
"=""1s2.2s.2p""","=""1P*""","=""1""",3,"=""""","=""26.65060""","=""""","=""0.00016""","=""  99                                                    ""","=""L9089"""
"=""1s2.2p2""","=""3P""","=""0""",1,"=""""","=""35.8724""","=""""","=""0.0004""","="" 100                                                    ""","=""L9089"""
"=""1s2.2p2""","=""3P""","=""1""",3,"=""""","=""35.9357""","=""""","=""0.0004""","="" 100                                                    ""","=""L9089"""
"=""1s2.2p2""","=""3P""","=""2""",5,"=""""","=""36.0452""","=""""","=""0.0006""","="" 100                                                    ""","=""L9089"""
"=""1s2.2p2""","=""1D""","=""2""",5,"=""""","=""39.38911""","=""""","=""0.00019""","=""  99                                                    ""","=""L9089"""
"=""1s2.2p2""","=""1S""","=""0""",1,"=""""","=""48.7413""","=""""","=""0.0006""","=""  93             :     6  1s2.2s2             1S        ""","=""L9089"""
"=""1s2.2s.3s""","=""3S""","=""1""",3,"=""""","=""121.29378""","=""""","=""0.005""","=""  98                                                    ""","=""L9089"""
"=""1s2.2s.3s""","=""1S""","=""0""",1,"=""""","=""123.7589""","=""""","=""0.005""","=""  96                                                    ""","=""L9089"""
"=""1s2.2s.3p""","=""1P*""","=""1""",3,"=""""","=""127.1607""","=""""","=""0.005""","=""  88             :    10  1s2.2p.3s           1P*       ""","=""L9089"""
"=""1s2.2s.3p""","=""3P*""","=""0""",1,"=""""","=""127.5012""","=""""","=""0.005""","=""  99                                                    ""","=""L9089"""
"=""1s2.2s.3p""","=""3P*""","=""1""",3,"=""""","=""127.51770""","=""""","=""0.005""","=""  98                                                    ""","=""L9089"""
"=""1s2.2s.3p""","=""3P*""","=""2""",5,"=""""","=""127.5494""","=""""","=""0.005""","=""  99                                                    ""","=""L9089"""
"=""1s2.2s.3d""","=""3D""","=""1""",3,"=""""","=""130.7178""","=""""","=""0.005""","=""  98                                                    ""","=""L9089"""
"=""1s2.2s.3d""","=""3D""","=""2""",5,"=""""","=""130.7233""","=""""","=""0.005""","=""  98                                                    ""","=""L9089"""
"=""1s2.2s.3d""","=""3D""","=""3""",7,"=""""","=""130.7324""","=""""","=""0.005""","=""  98                                                    ""","=""L9089"""
"=""1s2.2s.3d""","=""1D""","=""2""",5,"=""""","=""132.900""","=""""","=""0.005""","=""  98                                                    ""","=""L9089"""
"=""1s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""138.888""","=""""","=""0.016""","=""  98                                                    ""","=""L9089"""
"=""1s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""138.952""","=""""","=""0.007""","=""  98                                                    ""","=""L9089"""
"=""1s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""139.080""","=""""","=""0.006""","=""  98                                                    ""","=""L9089"""
"=""1s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""141.201""","=""""","=""0.009""","=""  88             :    10  1s2.2s.3p           1P*       ""","=""L9089"""
"=""1s2.2p.3p""","=""1P""","=""1""",3,"=""""","=""142.414""","=""""","=""0.005""","=""  98                                                    ""","=""L9089"""
"=""1s2.2p.3p""","=""3D""","=""1""",3,"=""""","=""143.138""","=""""","=""0.016""","=""  96                                                    ""","=""L9089"""
"=""1s2.2p.3p""","=""3D""","=""2""",5,"=""""","=""143.217""","=""""","=""0.009""","=""  98                                                    ""","=""L9089"""
"=""1s2.2p.3p""","=""3D""","=""3""",7,"=""""","=""143.344""","=""""","=""0.006""","=""  98                                                    ""","=""L9089"""
"=""1s2.2p.3p""","=""3S""","=""1""",3,"=""""","=""144.506""","=""""","=""0.010""","=""  96                                                    ""","=""L9089"""
"=""1s2.2p.3p""","=""3P""","=""0""",1,"=""""","=""145.25""","=""""","=""0.06""","="" 100                                                    ""","=""L9089"""
"=""1s2.2p.3p""","=""3P""","=""1""",3,"=""""","=""145.312""","=""""","=""0.014""","=""  99                                                    ""","=""L9089"""
