Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s2.2s""","=""2S""","=""1/2""",2,"=""""","=""0.00000""","=""""","=""0.00000""","="" 100                                           ""","=""L9090"""
"=""1s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""15.88850""","=""""","=""0.00012""","="" 100                                           ""","=""u57"""
"=""1s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""16.09288""","=""""","=""0.00005""","="" 100                                           ""","=""u57"""
"=""1s2.3s""","=""2S""","=""1/2""",2,"=""[""","=""136.3685""","=""]""","=""0.0021""","="" 100                                           ""","=""L9090"""
"=""1s2.3p""","=""2P*""","=""1/2""",2,"=""[""","=""140.7022""","=""]""","=""0.0022""","="" 100                                           ""","=""L9090"""
"=""1s2.3p""","=""2P*""","=""3/2""",4,"=""[""","=""140.7627""","=""]""","=""0.0022""","="" 100                                           ""","=""L9090"""
"=""1s2.3d""","=""2D""","=""3/2""",4,"=""[""","=""142.253""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.3d""","=""2D""","=""5/2""",6,"=""[""","=""142.271""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.4s""","=""2S""","=""1/2""",2,"=""[""","=""182.2092""","=""]""","=""0.0024""","="" 100                                           ""","=""L9090"""
"=""1s2.4p""","=""2P*""","=""1/2""",2,"=""[""","=""183.982""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.4p""","=""2P*""","=""3/2""",4,"=""[""","=""184.007""","=""]""","=""0.004""","="" 100                                           ""","=""L9090"""
"=""1s2.4d""","=""2D""","=""3/2""",4,"=""[""","=""184.6254""","=""]""","=""0.0024""","="" 100                                           ""","=""L9090"""
"=""1s2.4d""","=""2D""","=""5/2""",6,"=""[""","=""184.6331""","=""]""","=""0.0025""","="" 100                                           ""","=""L9090"""
"=""1s2.4f""","=""2F*""","=""5/2""",6,"=""[""","=""184.667""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.4f""","=""2F*""","=""7/2""",8,"=""[""","=""184.670""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.5s""","=""2S""","=""1/2""",2,"=""[""","=""203.019""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.5p""","=""2P*""","=""1/2""",2,"=""[""","=""203.912""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.5p""","=""2P*""","=""3/2""",4,"=""[""","=""203.925""","=""]""","=""0.004""","="" 100                                           ""","=""L9090"""
"=""1s2.5d""","=""2D""","=""3/2""",4,"=""[""","=""204.239""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.5d""","=""2D""","=""5/2""",6,"=""[""","=""204.243""","=""]""","=""0.004""","="" 100                                           ""","=""L9090"""
"=""1s2.5f""","=""2F*""","=""5/2""",6,"=""[""","=""204.2616""","=""]""","=""0.0021""","="" 100                                           ""","=""L9090"""
"=""1s2.5f""","=""2F*""","=""7/2""",8,"=""[""","=""204.2636""","=""]""","=""0.0021""","="" 100                                           ""","=""L9090"""
"=""1s2.5g""","=""2G""","=""""",18,"=""[""","=""204.2653""","=""]""","=""0.0020""","="" 100                                           ""","=""L9090"""
"=""1s2.6s""","=""2S""","=""1/2""",2,"=""[""","=""214.192""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.6p""","=""2P*""","=""1/2""",2,"=""[""","=""214.704""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.6p""","=""2P*""","=""3/2""",4,"=""[""","=""214.712""","=""]""","=""0.003""","="" 100                                           ""","=""L9090"""
"=""1s2.6d""","=""2D""","=""3/2""",4,"=""[""","=""214.8924""","=""]""","=""0.0025""","="" 100                                           ""","=""L9090"""
