obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""0.936157861""","=""0.000000003""","=""""","=""1.9731e+11""",AA,"=""0.000000""","=""(1324.39413864)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""0.936169779""","=""0.000000003""","=""""","=""1.9698e+11""",AA,"=""0.000000""","=""(1324.3772782)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""0.948067037""","=""0.000000003""","=""""","=""3.4381e+11""",AA,"=""0.000000""","=""(1307.7577176)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""0.948088161""","=""0.000000003""","=""""","=""3.4331e+11""",AA,"=""0.000000""","=""(1307.7285795)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""0.970802754""","=""0.000000003""","=""""","=""6.8198e+11""",AA,"=""0.000000""","=""(1277.1306837)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""0.970846021""","=""0.000000003""","=""""","=""6.8127e+11""",AA,"=""0.000000""","=""(1277.0737663)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""1.023848727""","=""0.000000004""","=""""","=""1.6726e+12""",AA,"=""0.000000""","=""(1210.9620799)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""1.023962821""","=""0.000000004""","=""""","=""1.6722e+12""",AA,"=""0.000000""","=""(1210.827150)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""1.213207793""","=""0.000000006""","=""""","=""6.2608e+12""",AA,"=""0.000000""","=""(1021.9535284)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""1.213748609""","=""0.000000006""","=""""","=""6.2725e+12""",AA,"=""0.000000""","=""(1021.498171)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""4.09329354""","=""0.00000005""","=""""","=""4.3098e+10""",AA,"=""(1021.498171)""","=""(1324.39410926)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""4.09351082""","=""0.00000005""","=""""","=""2.4598e+09""",AA,"=""(1021.498171)""","=""(1324.3780315)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""4.09356477""","=""0.00000005""","=""""","=""2.8616e+10""",AA,"=""(1021.518270)""","=""(1324.39413864)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""4.09379266""","=""0.00000005""","=""""","=""2.8671e+10""",AA,"=""(1021.518270)""","=""(1324.3772782)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""4.09938040""","=""0.00000004""","=""""","=""5.1501e+10""",AA,"=""(1021.9535284)""","=""(1324.39971830)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""4.09945643""","=""0.00000004""","=""""","=""8.5696e+09""",AA,"=""(1021.9535284)""","=""(1324.39410926)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""4.09967437""","=""0.00000005""","=""""","=""4.9696e+09""",AA,"=""(1021.9535284)""","=""(1324.3780315)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""4.33118203""","=""0.00000005""","=""""","=""7.8940e+10""",AA,"=""(1021.498171)""","=""(1307.7576672)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""4.33148539""","=""0.00000006""","=""""","=""4.9531e+10""",AA,"=""(1021.518270)""","=""(1307.7577176)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""4.33160249""","=""0.00000005""","=""""","=""4.3132e+09""",AA,"=""(1021.498171)""","=""(1307.7298805)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""4.33192636""","=""0.00000006""","=""""","=""4.9646e+10""",AA,"=""(1021.518270)""","=""(1307.7285795)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""4.33793557""","=""0.00000005""","=""""","=""9.4349e+10""",AA,"=""(1021.9535284)""","=""(1307.7673598)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""4.33808268""","=""0.00000005""","=""""","=""1.5703e+10""",AA,"=""(1021.9535284)""","=""(1307.7576672)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""4.33850448""","=""0.00000005""","=""""","=""8.7145e+09""",AA,"=""(1021.9535284)""","=""(1307.7298805)""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""4.85009691""","=""0.00000007""","=""""","=""1.7267e+11""",AA,"=""(1021.498171)""","=""(1277.1305859)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""4.85047642""","=""0.00000007""","=""""","=""9.6741e+10""",AA,"=""(1021.518270)""","=""(1277.1306837)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""4.85112705""","=""0.00000008""","=""""","=""8.6308e+09""",AA,"=""(1021.498171)""","=""(1277.0763026)""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""4.85155672""","=""0.00000007""","=""""","=""9.7037e+10""",AA,"=""(1021.518270)""","=""(1277.0737663)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""4.85839136""","=""0.00000006""","=""""","=""2.0646e+11""",AA,"=""(1021.9535284)""","=""(1277.1495164)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""4.85875179""","=""0.00000006""","=""""","=""3.4374e+10""",AA,"=""(1021.9535284)""","=""(1277.1305859)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
