Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d8.(3F).4s2""","=""3F""","=""4""",9,"=""""","=""0.0000000""","=""""","=""0""","=""  97                                                   ""","=""L11151"""
"=""3d8.(3F).4s2""","=""3F""","=""3""",7,"=""""","=""0.1651673""","=""""","=""""","=""  97                                                   ""","="""""
"=""3d8.(3F).4s2""","=""3F""","=""2""",5,"=""""","=""0.2748172""","=""""","=""""","=""  96                                                   ""","="""""
"=""3d9.(2D).4s""","=""3D""","=""3""",7,"=""""","=""0.0253904""","=""""","=""""","=""  99                                                   ""","="""""
"=""3d9.(2D).4s""","=""3D""","=""2""",5,"=""""","=""0.1090833""","=""""","=""""","=""  90             :     9  3d9.(2D).4s          1D      ""","="""""
"=""3d9.(2D).4s""","=""3D""","=""1""",3,"=""""","=""0.2123957""","=""""","=""""","=""  99                                                   ""","="""""
"=""3d9.(2D).4s""","=""1D""","=""2""",5,"=""""","=""0.4227783""","=""""","=""""","=""  89             :     9  3d9.(2D).4s          3D      ""","="""""
"=""3d8.(1D).4s2""","=""1D""","=""2""",5,"=""""","=""1.6764334""","=""""","=""""","=""  77             :    19  3d8.(3P).4s2         3P      ""","="""""
"=""3d10""","=""1S""","=""0""",1,"=""""","=""1.8261434""","=""""","=""""","=""  94                                                   ""","="""""
"=""3d8.(3P).4s2""","=""3P""","=""2""",5,"=""""","=""1.9353740""","=""""","=""""","=""  78             :    18  3d8.(1D).4s2         1D      ""","="""""
"=""3d8.(3P).4s2""","=""3P""","=""1""",3,"=""""","=""1.9507675""","=""""","=""""","=""  97                                                   ""","="""""
"=""3d8.(3P).4s2""","=""3P""","=""0""",1,"=""""","=""1.9858928""","=""""","=""""","=""  96                                                   ""","="""""
"=""3d8.(1G).4s2""","=""1G""","=""4""",9,"=""""","=""2.7403390""","=""""","=""""","=""  97                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""4""",9,"=""""","=""3.1930336""","=""""","=""""","=""  95                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""3""",7,"=""""","=""3.3061486""","=""""","=""""","=""  93                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""2""",5,"=""""","=""3.3990104""","=""""","=""""","=""  93                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""1""",3,"=""""","=""3.4645554""","=""""","=""""","=""  95                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""0""",1,"=""""","=""3.4979659""","=""""","=""""","=""  96                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""6""",13,"=""""","=""3.3799201""","=""""","=""""","=""  98                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""5""",11,"=""""","=""3.4195327""","=""""","=""""","=""  82             :    14  3d8.(3F).4s.4p.(3P*) 5F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""4""",9,"=""""","=""3.4799965""","=""""","=""""","=""  83             :    12  3d8.(3F).4s.4p.(3P*) 5F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""3""",7,"=""""","=""3.5432227""","=""""","=""""","=""  87             :     8  3d8.(3F).4s.4p.(3P*) 5F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""2""",5,"=""""","=""3.5971791""","=""""","=""""","=""  95                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""5""",11,"=""""","=""3.5387700""","=""""","=""""","=""  85             :    13  3d8.(3F).4s.4p.(3P*) 5G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""4""",9,"=""""","=""3.6060130""","=""""","=""""","=""  75             :    11  3d8.(3F).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""3""",7,"=""""","=""3.6987932""","=""""","=""""","=""  56             :    19  3d9.(2D).4p          3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""2""",5,"=""""","=""3.7397508""","=""""","=""""","=""  76             :     6  3d9.(2D).4p          3D*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""1""",3,"=""""","=""3.7681281""","=""""","=""""","=""  98                                                   ""","="""""
"=""3d9.(2D).4p""","=""3P*""","=""2""",5,"=""""","=""3.5421297""","=""""","=""""","=""  93                                                   ""","="""""
"=""3d9.(2D).4p""","=""3P*""","=""1""",3,"=""""","=""3.6576174""","=""""","=""""","=""  90                                                   ""","="""""
"=""3d9.(2D).4p""","=""3P*""","=""0""",1,"=""""","=""3.7433620""","=""""","=""""","=""  97                                                   ""","="""""
"=""3d9.(2D).4p""","=""3F*""","=""3""",7,"=""""","=""3.6353112""","=""""","=""""","=""  33             :    30  3d8.(3F).4s.4p.(3P)  5F*     ""","="""""
"=""3d9.(2D).4p""","=""3F*""","=""4""",9,"=""""","=""3.6551768""","=""""","=""""","=""  81             :    10  3d8.(3F).4s.4p.(3P)  3D*     ""","="""""
"=""3d9.(2D).4p""","=""3F*""","=""2""",5,"=""""","=""3.7963235""","=""""","=""""","=""  72             :     8  3d8.(3F).4s.4p.(3P)  3F*     ""","="""""
"=""3d9.(2D).4p""","=""3D*""","=""3""",7,"=""""","=""3.6784739""","=""""","=""""","=""  57             :    18  3d8.(3F).4s.4p.(3P)  3D*     ""","="""""
"=""3d9.(2D).4p""","=""3D*""","=""2""",5,"=""""","=""3.7056989""","=""""","=""""","=""  36             :    18  3d9.(2D).4p          1D*     ""","="""""
"=""3d9.(2D).4p""","=""3D*""","=""1""",3,"=""""","=""3.8327008""","=""""","=""""","=""  64             :    28  3d8.(3F).4s.4p.(3P)  3D*     ""","="""""
"=""3d9.(2D).4p""","=""*""","=""3""",7,"=""""","=""3.6784770""","=""""","=""""","=""  30  3D*        :    30  3d8.(3F).4s.4p.(3P*) 5F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""5""",11,"=""""","=""3.8339304""","=""""","=""""","=""  94             :     5  3d8.(3F).4s.4p.(3P*) 5G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""4""",9,"=""""","=""3.8409993""","=""""","=""""","=""  78             :    14  3d8.(3F).4s.4p.(3P*) 1G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""3""",7,"=""""","=""3.9409818""","=""""","=""""","=""  93                                                   ""","="""""
"=""3d9.(2D).4p""","=""1F*""","=""3""",7,"=""""","=""3.8473561""","=""""","=""""","=""  56             :    31  3d9.(2D).4p          3F*     ""","="""""
"=""3d9.(2D).4p""","=""1D*""","=""2""",5,"=""""","=""3.8982659""","=""""","=""""","=""  67             :    14  3d9.(2D).4p          3D*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""4""",9,"=""""","=""4.0881776""","=""""","=""""","=""  77             :    10  3d8.(3F).4s.4p.(3P*) 1G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""3""",7,"=""""","=""4.1054062""","=""""","=""""","=""  37             :    31  3d8.(3F).4s.4p.(3P*) 3D*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""",5,"=""""","=""4.2357049""","=""""","=""""","=""  53             :    29  3d8.(3F).4s.4p.(3P*) 3D*     ""","="""""
"=""3d9.(2D).4p""","=""1P*""","=""1""",3,"=""""","=""4.0892791""","=""""","=""""","=""  94                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""3""",7,"=""""","=""4.1535726""","=""""","=""""","=""  38             :    35  3d8.(3F).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""2""",5,"=""""","=""4.1672193""","=""""","=""""","=""  34             :    32  3d8.(3F).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""",3,"=""""","=""4.2661171""","=""""","=""""","=""  66             :    27  3d9.(2D).4p          3D*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""1G*""","=""4""",9,"=""""","=""4.1646453""","=""""","=""""","=""  75             :    13  3d8.(3F).4s.4p.(3P*) 3G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""1F*""","=""3""",7,"=""""","=""4.4186880""","=""""","=""""","=""  83             :     9  3d8.(3F).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""1D*""","=""2""",5,"=""""","=""4.5379197""","=""""","=""""","=""  82             :     9  3d9.(2D).4p          1D*     ""","="""""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""3""",7,"=""""","=""5.0041571""","=""""","=""""","=""  87             :    10  3d8.(1D).4s.4p.(3P*) 3D*     ""","="""""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""2""",5,"=""""","=""5.0194026""","=""""","=""""","=""  89                                                   ""","="""""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""1""",3,"=""""","=""5.0547113""","=""""","=""""","=""  94                                                   ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""4""",9,"=""""","=""5.2798934""","=""""","=""""","=""  53             :    40  3d8.(3P).4s.4p.(3P*) 5D*     ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""3""",7,"=""""","=""5.3025380""","=""""","=""""","=""  61             :    17  3d8.(1D).4s.4p.(3P*) 5D*     ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""2""",5,"=""""","=""5.3256424""","=""""","=""""","=""  71             :    14  3d8.(1D).4s.4p.(3P*) 3D*     ""","="""""
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""",7,"=""""","=""5.2824639""","=""""","=""""","="" 100                                                   ""","="""""
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""",5,"=""""","=""5.3052851""","=""""","=""""","=""  99                                                   ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""3""",7,"=""""","=""5.2843298""","=""""","=""""","=""  39             :    32  3d8.(3F).4s.4p.(1P*) 3D*     ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""2""",5,"=""""","=""5.2883800""","=""""","=""""","=""  58             :    15  3d8.(1D).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""1""",3,"=""""","=""5.2887058""","=""""","=""""","=""  76                                                   ""","="""""
"=""3d8.(3F).4s.4p.(1P*)""","=""3G*""","=""5""",11,"=""""","=""5.3424268""","=""""","=""""","=""  96                                                   ""","="""""
