conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s2,3F,3.0,7.0,0.165167,0.165167,7506.58262,0.062,4.0737e-08,3.6663e-07,1.0812e-09
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(1D).4s2,1D,2.0,5.0,1.676433,1.676433,739.57127,0.0056,2.5511e-11,2.296e-10,6.7707e-13
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3P).4s2,3P,2.0,5.0,1.935374,1.935374,640.62139,0.032,1.0938e-10,9.8442e-10,2.903e-12
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(1G).4s2,1G,4.0,9.0,2.740339,2.740339,452.4411,0.32,9.8205e-10,8.8385e-09,2.6064e-11
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(1G).4s2,1G,4.0,9.0,2.740339,2.740339,452.4411,0.00022,6.7516e-13,6.0764e-12,1.7919e-14
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),5D*,3.0,7.0,3.306149,3.306149,375.01097,27000.0,4.4276e-05,0.00039848,1.1751e-06
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),5G*,5.0,11.0,3.419533,3.419533,362.57644,260000.0,0.0006263,0.0056367,1.6622e-05
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),5G*,4.0,9.0,3.479996,3.479996,356.27679,290000.0,0.00055186,0.0049668,1.4646e-05
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),5F*,5.0,11.0,3.53877,3.53877,350.35958,150000.0,0.00033739,0.0030365,8.9543e-06
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),5G*,3.0,7.0,3.543223,3.543223,349.91929,1100.0,1.5705e-06,1.4135e-05,4.1682e-08
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),5F*,4.0,9.0,3.606013,3.606013,343.82627,4400000.0,0.0077981,0.070183,0.00020696
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d9.(2D).4p,3F*,3.0,7.0,3.635311,3.635311,341.05525,370000.0,0.00050184,0.0045166,1.3319e-05
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d9.(2D).4p,3F*,4.0,9.0,3.655177,3.655177,339.20165,6600000.0,0.011385,0.10246,0.00030215
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d9.(2D).4p,*,3.0,7.0,3.678477,3.678477,337.05307,18000000.0,0.023844,0.2146,0.00063283
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),5F*,3.0,7.0,3.698793,3.698793,335.20176,2800.0,3.6685e-06,3.3016e-05,9.7361e-08
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),3G*,5.0,11.0,3.83393,3.83393,323.38667,7300000.0,0.013989,0.1259,0.00037126
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),3G*,4.0,9.0,3.840999,3.840999,322.79152,230000.0,0.00035928,0.0032335,9.5353e-06
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d9.(2D).4p,1F*,3.0,7.0,3.847356,3.847356,322.25818,1600000.0,0.0019375,0.017438,5.1421e-05
3d8.(3F).4s2,3F,4.0,9.0,0.0,3d8.(3F).4s.4p.(3P*),3G*,3.0,7.0,3.940982,3.940982,314.60231,21000.0,2.4236e-05,0.00021812,6.4322e-07
