spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Ni II,Ni,1,3p6.3d9,2D,2.5,6,0.0,0.0,even,,no,18.168838,,,,,,,,,,L7185
Ni II,Ni,1,3p6.3d9,2D,1.5,4,0.186837,,even,,no,18.168838,18.050541516245488,"ASD 1/sum(Aki), J-resolved",18.050541516245488,1/1,yes,0.186837,0.186837,,,
Ni II,Ni,1,3p6.3d8.(3F).4s,4F,4.5,10,1.040711,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3F).4s,4F,3.5,8,1.156778,,even,,no,18.168838,35.03731474019831,"ASD 1/sum(Aki), J-resolved",35.03731474019831,4/4,yes,0.11606700000000014,1.156778,,,
Ni II,Ni,1,3p6.3d8.(3F).4s,4F,2.5,6,1.254182,,even,,no,18.168838,34.55902681780481,"ASD 1/sum(Aki), J-resolved",34.55902681780481,5/5,yes,0.09740399999999982,1.254182,,,
Ni II,Ni,1,3p6.3d8.(3F).4s,4F,1.5,4,1.322154,,even,,no,18.168838,87.57334267448988,"ASD 1/sum(Aki), J-resolved",87.57334267448988,5/5,yes,0.06797200000000014,1.322154,,,
Ni II,Ni,1,3p6.3d8.(3F).4s,2F,3.5,8,1.680034,,even,,no,18.168838,2.8582044759482086,"ASD 1/sum(Aki), J-resolved",2.8582044759482086,6/6,yes,1.680034,1.680034,,,
Ni II,Ni,1,3p6.3d8.(3F).4s,2F,2.5,6,1.859214,,even,,no,18.168838,2.741581289256017,"ASD 1/sum(Aki), J-resolved",2.741581289256017,8/8,yes,1.672377,1.859214,,,
Ni II,Ni,1,3p6.3d8.(3P).4s,4P,2.5,6,2.865062,,even,,no,18.168838,1.2041429259854284,"ASD 1/sum(Aki), J-resolved",1.2041429259854284,14/14,yes,2.865062,2.865062,,,
Ni II,Ni,1,3p6.3d8.(3P).4s,4P,1.5,4,3.073345,,even,,no,18.168838,2.6502843755134924,"ASD 1/sum(Aki), J-resolved",2.6502843755134924,14/14,yes,2.886508,3.073345,,,
Ni II,Ni,1,3p6.3d8.(3P).4s,4P,0.5,2,3.079263,,even,,no,18.168838,40.74979625101874,"ASD 1/sum(Aki), J-resolved",40.74979625101874,7/7,yes,0.12891300000000028,3.079263,,,
Ni II,Ni,1,3p6.3d8.(1D).4s,2D,1.5,4,2.95035,,even,,no,18.168838,0.6303397657405294,"ASD 1/sum(Aki), J-resolved",0.6303397657405294,13/13,yes,2.95035,2.95035,,,
Ni II,Ni,1,3p6.3d8.(1D).4s,2D,2.5,6,3.104116,,even,,no,18.168838,0.884463426995062,"ASD 1/sum(Aki), J-resolved",0.884463426995062,17/17,yes,3.104116,3.104116,,,
Ni II,Ni,1,3p6.3d8.(3P).4s,2P,1.5,4,3.604336,,even,,no,18.168838,0.11709297349538485,"ASD 1/sum(Aki), J-resolved",0.11709297349538485,20/20,yes,3.604336,3.604336,,,
Ni II,Ni,1,3p6.3d8.(3P).4s,2P,0.5,2,3.669121,,even,,no,18.168838,0.1133425860931299,"ASD 1/sum(Aki), J-resolved",0.1133425860931299,11/11,yes,3.482284,3.669121,,,
Ni II,Ni,1,3p6.3d8.(1G).4s,2G,4.5,10,4.029428,,even,,no,18.168838,0.19683342263009607,"ASD 1/sum(Aki), J-resolved",0.19683342263009607,11/11,yes,4.029428,4.029428,,,
Ni II,Ni,1,3p6.3d8.(1G).4s,2G,3.5,8,4.032405,,even,,no,18.168838,0.23343447971527898,"ASD 1/sum(Aki), J-resolved",0.23343447971527898,18/18,yes,3.8455679999999997,4.032405,,,
Ni II,Ni,1,3p6.3d7.4s2,4F,4.5,10,6.32883,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,4F,3.5,8,6.472713,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,4F,2.5,6,6.575865,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,4F,1.5,4,6.645701,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4D*,3.5,8,6.392359,,odd,,no,18.168838,3.3747300215982723e-09,"ASD 1/sum(Aki), J-resolved",3.3747300215982723e-09,4/4,yes,5.351648,5.351648,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4D*,2.5,6,6.538734,,odd,,no,18.168838,3.4482758620689654e-09,"ASD 1/sum(Aki), J-resolved",3.4482758620689654e-09,1/1,yes,5.381956,5.381956,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4D*,1.5,4,6.649845,,odd,,no,18.168838,3.3003300330033003e-09,"ASD 1/sum(Aki), J-resolved",3.3003300330033003e-09,2/2,yes,5.395663,5.395663,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4D*,0.5,2,6.717,,odd,,no,18.168838,3.3333333333333334e-09,"ASD 1/sum(Aki), J-resolved",3.3333333333333334e-09,1/1,yes,5.394845999999999,5.394845999999999,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4G*,4.5,10,6.616438,,odd,,no,18.168838,3.205128205128205e-09,"ASD 1/sum(Aki), J-resolved",3.205128205128205e-09,3/3,yes,5.4596599999999995,5.575727,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4G*,5.5,12,6.632719,,odd,,no,18.168838,2.941176470588235e-09,"ASD 1/sum(Aki), J-resolved",2.941176470588235e-09,1/1,yes,5.592008,5.592008,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4G*,3.5,8,6.727709,,odd,,no,18.168838,3.1887755102040815e-09,"ASD 1/sum(Aki), J-resolved",3.1887755102040815e-09,3/3,yes,5.570931,5.570931,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4G*,2.5,6,6.821451,,odd,,no,18.168838,2.987750224081267e-09,"ASD 1/sum(Aki), J-resolved",2.987750224081267e-09,4/4,yes,5.499296999999999,5.664673,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4F*,4.5,10,6.764212,,odd,,no,18.168838,3.003003003003003e-09,"ASD 1/sum(Aki), J-resolved",3.003003003003003e-09,3/3,yes,5.723501,5.723501,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4F*,3.5,8,6.870935,,odd,,no,18.168838,2.8993911278631486e-09,"ASD 1/sum(Aki), J-resolved",2.8993911278631486e-09,4/4,yes,5.616753,5.830224,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4F*,2.5,6,6.952446,,odd,,no,18.168838,3.012048192771084e-09,"ASD 1/sum(Aki), J-resolved",3.012048192771084e-09,4/4,yes,5.698264,5.795668,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,4F*,1.5,4,6.995745,,odd,,no,18.168838,3.000300030003e-09,"ASD 1/sum(Aki), J-resolved",3.000300030003e-09,3/3,yes,5.673591,5.741563,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,2G*,4.5,10,6.856283,,odd,,no,18.168838,3.194888178913738e-09,"ASD 1/sum(Aki), J-resolved",3.194888178913738e-09,2/2,yes,5.176249,5.699505,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,2G*,3.5,8,6.989164,,odd,,no,18.168838,3.1605562579013907e-09,"ASD 1/sum(Aki), J-resolved",3.1605562579013907e-09,4/4,yes,5.12995,5.832386,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,2F*,3.5,8,7.077086,,odd,,no,18.168838,2.891844997108155e-09,"ASD 1/sum(Aki), J-resolved",2.891844997108155e-09,6/6,yes,5.397052,7.077086,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,2F*,2.5,6,7.252234,,odd,,no,18.168838,3.112356053532524e-09,"ASD 1/sum(Aki), J-resolved",3.112356053532524e-09,4/4,yes,5.39302,6.0954559999999995,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,2D*,2.5,6,7.119193,,odd,,no,18.168838,3.2467532467532466e-09,"ASD 1/sum(Aki), J-resolved",3.2467532467532466e-09,2/2,yes,5.439159,5.439159,,,
Ni II,Ni,1,3p6.3d8.(3F).4p,2D*,1.5,4,7.27861,,odd,,no,18.168838,3.472222222222222e-09,"ASD 1/sum(Aki), J-resolved",3.472222222222222e-09,2/2,yes,5.419396,5.956455999999999,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,4P*,2.5,6,8.253794,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,4P*,1.5,4,8.254832,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,4P*,0.5,2,8.310787,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1D).4p,2F*,2.5,6,8.393066,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1D).4p,2F*,3.5,8,8.447193,,odd,,no,18.168838,4.347826086956522e-09,"ASD 1/sum(Aki), J-resolved",4.347826086956522e-09,1/1,yes,5.582131,5.582131,,,
Ni II,Ni,1,3p6.3d7.4s2,4P,2.5,6,8.416067,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,4P,1.5,4,8.450338,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,4P,0.5,2,8.518925,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1D).4p,2D*,1.5,4,8.450057,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1D).4p,2D*,2.5,6,8.522175,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1D).4p,2P*,0.5,2,8.465842,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1D).4p,2P*,1.5,4,8.550651,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,2G,4.5,10,8.723397,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,2G,3.5,8,8.859631,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,4D*,2.5,6,8.757681,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,4D*,1.5,4,8.766522,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,4D*,0.5,2,8.771721,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,4D*,3.5,8,8.775368,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,2D*,2.5,6,8.898449,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,2D*,1.5,4,8.973408,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,2P*,1.5,4,9.049067,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,2P*,0.5,2,9.162835,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,2P,1.5,4,9.161655,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,2S*,0.5,2,9.209959,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3P).4p,4S*,1.5,4,9.212141,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1G).4p,2H*,4.5,10,9.317348,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1G).4p,2H*,5.5,12,9.388292,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1G).4p,2F*,3.5,8,9.412587,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1G).4p,2F*,2.5,6,9.472644,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,2H,5.5,12,9.51298,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,2H,4.5,10,9.638134,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,2D2,2.5,6,9.588004,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.4s2,2D2,1.5,4,9.789228,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1G).4p,2G*,3.5,8,9.896794,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(1G).4p,2G*,4.5,10,9.909298,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6F*,5.5,12,10.705194,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6F*,4.5,10,10.770511,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6F*,3.5,8,10.85334,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6F*,2.5,6,10.926549,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6F*,1.5,4,10.98277,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6F*,0.5,2,11.019913,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6D*,4.5,10,10.93192,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6D*,3.5,8,11.047053,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6G*,5.5,12,11.09167,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6G*,4.5,10,11.148469,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6G*,3.5,8,11.192711,,odd,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d7.(4F).4s.4p.(3P*),6G*,2.5,6,11.223816,,odd,yes,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3F).5s,4F,4.5,10,11.381756,,even,,no,18.168838,,,,,,,,,,
Ni II,Ni,1,3p6.3d8.(3F).5s,4F,3.5,8,11.446947,,even,,no,18.168838,,,,,,,,,,
