conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3p6.3d8,3F,4.0,9.0,0.0,3p6.3d8,3F,3.0,7.0,0.16871,0.16871,7348.95373,0.065,4.0934e-08,3.684e-07,1.0864e-09
3p6.3d8,3F,4.0,9.0,0.0,3p6.3d8,1D,2.0,5.0,1.7397,1.7397,712.67574,0.0045,1.9036e-11,1.7133e-10,5.0522e-13
3p6.3d8,3F,4.0,9.0,0.0,3p6.3d8,3P,2.0,5.0,2.06578,2.06578,600.18104,0.05,1.5001e-10,1.3501e-09,3.9813e-12
3p6.3d8,3F,4.0,9.0,0.0,3p6.3d8,1G,4.0,9.0,2.86511,2.86511,432.738,0.35,9.826e-10,8.8434e-09,2.6078e-11
3p6.3d8,3F,4.0,9.0,0.0,3p6.3d8,1G,4.0,9.0,2.86511,2.86511,432.738,0.00027,7.5801e-13,6.8221e-12,2.0118e-14
3p6.3d8,3F,3.0,7.0,0.16871,3p6.3d8,3F,2.0,5.0,0.28139,0.11268,11003.2125,0.027,3.5005e-08,2.4504e-07,9.2904e-10
3p6.3d8,3F,3.0,7.0,0.16871,3p6.3d8,1D,2.0,5.0,1.7397,1.57099,789.21061,0.48,3.2015e-09,2.2411e-08,8.4969e-11
3p6.3d8,3F,3.0,7.0,0.16871,3p6.3d8,1D,2.0,5.0,1.7397,1.57099,789.21061,0.00054,3.6017e-12,2.5212e-11,9.559e-14
3p6.3d8,3F,3.0,7.0,0.16871,3p6.3d8,3P,2.0,5.0,2.06578,1.89707,653.55627,0.11,5.0314e-10,3.522e-09,1.3353e-11
3p6.3d8,3F,3.0,7.0,0.16871,3p6.3d8,3P,1.0,3.0,2.10498,1.93627,640.32495,0.038,1.0011e-10,7.0075e-10,2.6569e-12
3p6.3d8,3F,3.0,7.0,0.16871,3p6.3d8,1G,4.0,9.0,2.86511,2.6964,459.81382,0.18,7.3357e-10,5.135e-09,1.9469e-11
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,1D,2.0,5.0,1.7397,1.45831,850.19096,0.21,2.2757e-09,1.1378e-08,6.0397e-11
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,1D,2.0,5.0,1.7397,1.45831,850.19096,0.00019,2.059e-12,1.0295e-11,5.4645e-14
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,3P,2.0,5.0,2.06578,1.78439,694.82679,0.022,1.5923e-10,7.9617e-10,4.2261e-12
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,3P,2.0,5.0,2.06578,1.78439,694.82679,0.00072,5.2113e-12,2.6056e-11,1.3831e-13
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,3P,1.0,3.0,2.10498,1.82359,679.89076,0.0028,1.1643e-11,5.8213e-11,3.0899e-13
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,3P,1.0,3.0,2.10498,1.82359,679.89076,0.013,5.4055e-11,2.7027e-10,1.4346e-12
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,3P,0.0,1.0,2.13633,1.85494,668.40005,0.046,6.162e-11,3.081e-10,1.6354e-12
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,1G,4.0,9.0,2.86511,2.58372,479.86701,0.00039,2.4235e-12,1.2117e-11,6.4319e-14
3p6.3d8,3F,2.0,5.0,0.28139,3p6.3d8,1S,0.0,1.0,6.51314,6.23175,198.95567,0.2,2.3737e-11,1.1869e-10,6.2999e-13
3p6.3d8,1D,2.0,5.0,1.7397,3p6.3d8,3P,2.0,5.0,2.06578,0.32608,3802.2632,0.098,2.1241e-08,1.062e-07,5.6373e-10
3p6.3d8,1D,2.0,5.0,1.7397,3p6.3d8,3P,1.0,3.0,2.10498,0.36528,3394.22357,0.09,9.3268e-09,4.6634e-08,2.4753e-10
3p6.3d8,1D,2.0,5.0,1.7397,3p6.3d8,3P,1.0,3.0,2.10498,0.36528,3394.22357,1.8e-06,1.8654e-13,9.3268e-13,4.9507e-15
3p6.3d8,1D,2.0,5.0,1.7397,3p6.3d8,3P,0.0,1.0,2.13633,0.39663,3125.94101,2.4e-06,7.0317e-14,3.5159e-13,1.8662e-15
3p6.3d8,1D,2.0,5.0,1.7397,3p6.3d8,1G,4.0,9.0,2.86511,1.12541,1101.68026,0.00062,2.0306e-11,1.0153e-10,5.3893e-13
3p6.3d8,1D,2.0,5.0,1.7397,3p6.3d8,1S,0.0,1.0,6.51314,4.77344,259.73763,10.0,2.0228e-09,1.0114e-08,5.3686e-11
3p6.3d8,3P,2.0,5.0,2.06578,3p6.3d8,3P,1.0,3.0,2.10498,0.0392,31628.62204,0.00059,5.3091e-09,2.6546e-08,1.409e-10
3p6.3d8,3P,2.0,5.0,2.06578,3p6.3d8,1G,4.0,9.0,2.86511,0.79933,1551.10153,2.7e-05,1.753e-12,8.7649e-12,4.6524e-14
3p6.3d8,3P,2.0,5.0,2.06578,3p6.3d8,1S,0.0,1.0,6.51314,4.44736,278.78157,1.9,4.4276e-10,2.2138e-09,1.1751e-11
3p6.3d8,3P,1.0,3.0,2.10498,3p6.3d8,3P,0.0,1.0,2.13633,0.03135,39548.38864,0.00086,6.7219e-09,2.0166e-08,1.784e-10
3p6.3d8,3P,1.0,3.0,2.10498,3p6.3d8,1S,0.0,1.0,6.51314,4.40816,281.26066,2.9,1.1464e-09,3.4393e-09,3.0427e-11
3p6.3d7.(4F).4s,5F,5.0,11.0,6.658439,3p6.3d7.(4F).4p,5F*,5.0,11.0,13.664646,7.006207,176.96337,620000000.0,0.29108,3.2019,0.0077254
3p6.3d7.(4F).4s,5F,5.0,11.0,6.658439,3p6.3d7.(4F).4p,5G*,6.0,13.0,13.983911,7.325472,169.2508,790000000.0,0.40096,4.4105,0.010641
3p6.3d7.(4F).4s,5F,5.0,11.0,6.658439,3p6.3d7.(4F).4p,5G*,4.0,9.0,14.097638,7.439199,166.66337,3800000.0,0.0012947,0.014242,3.4362e-05
3p6.3d7.(4F).4s,5F,4.0,9.0,6.776707,3p6.3d7.(4F).4p,5F*,4.0,9.0,13.684303,6.907596,179.48965,270000000.0,0.13041,1.1737,0.003461
3p6.3d7.(4F).4s,5F,4.0,9.0,6.776707,3p6.3d7.(4F).4p,5G*,5.0,11.0,14.027686,7.250979,170.9896,630000000.0,0.33751,3.0376,0.0089576
3p6.3d7.(4F).4s,5F,3.0,7.0,6.869504,3p6.3d7.(4F).4p,5F*,3.0,7.0,13.789671,6.920167,179.16359,250000000.0,0.12031,0.84216,0.003193
