Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p3""","=""4S*""","=""3/2""",4,"=""""","=""0.000000""","=""""","=""0""","=""L11267"""
"=""2s2.2p3""","=""2D*""","=""5/2""",6,"=""""","=""3.324085""","=""""","=""""","="""""
"=""2s2.2p3""","=""2D*""","=""3/2""",4,"=""""","=""3.326567""","=""""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""",4,"=""""","=""5.017394""","=""""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""",2,"=""""","=""5.017641""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""5/2""",6,"=""""","=""14.857920""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""3/2""",4,"=""""","=""14.878157""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""1/2""",2,"=""""","=""14.888377""","=""""","=""""","="""""
"=""2s.2p4""","=""2D""","=""5/2""",6,"=""""","=""20.579946""","=""""","=""""","="""""
"=""2s.2p4""","=""2D""","=""3/2""",4,"=""""","=""20.580943""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""22.9662478""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""22.9793029""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""22.9989602""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""23.4191946""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""23.4415082""","=""""","=""""","="""""
"=""2s.2p4""","=""2S""","=""1/2""",2,"=""""","=""24.265006""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",2,"=""""","=""25.2856211""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",2,"=""""","=""25.6313478""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""25.6382319""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""25.6495863""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""25.6650368""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""25.661218""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""25.661347""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""25.8316247""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""25.8373471""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""25.8487467""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",4,"=""""","=""26.2254001""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",6,"=""""","=""26.2490334""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",4,"=""""","=""26.3047208""","=""""","=""""","="""""
"=""2s.2p4""","=""2P""","=""3/2""",4,"=""""","=""26.358274""","=""""","=""""","="""""
