obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""37.457220""","=""""","=""""",,"=""0.000000""","=""33.100214""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""5/2""",4,6,,"=""""","=""L11267""",
"=""""","=""37.48098""","=""""","=""""",,"=""0.000000""","=""33.07923""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""3/2""",4,4,,"=""""","=""L11267""",
"=""""","=""37.49559""","=""""","=""""",,"=""0.000000""","=""33.06634""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""1/2""",4,2,,"=""""","=""L11267""",
"=""37.6693""","=""37.66930""","=""1""","=""""",,"=""0.000000""","=""32.91386""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",4,4,,"=""""","=""L3492""",
"=""37.6745""","=""37.67450""","=""1""","=""""",,"=""0.000000""","=""32.90931""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",4,6,,"=""""","=""L3492""",
"=""37.7045""","=""37.70450""","=""1*""","=""""",,"=""0.000000""","=""32.88313""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",4,6,,"=""""","=""L3492""",
"=""37.7045""","=""37.70450""","=""1*""","=""""",,"=""0.000000""","=""32.88313""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",4,4,,"=""""","=""L3492""",
"=""""","=""38.42658""","=""""","=""""",,"=""3.324085""","=""35.58930""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).6s""","=""2D""","=""5/2""",6,6,,"=""""","=""L11267""",
"=""""","=""38.42680""","=""""","=""""",,"=""3.324085""","=""35.58912""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).6s""","=""2D""","=""3/2""",6,4,,"=""""","=""L11267""",
"=""""","=""38.42953""","=""""","=""""",,"=""3.326567""","=""35.58930""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).6s""","=""2D""","=""5/2""",4,6,,"=""""","=""L11267""",
"=""""","=""38.42976""","=""""","=""""",,"=""3.326567""","=""35.58912""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).6s""","=""2D""","=""3/2""",4,4,,"=""""","=""L11267""",
"=""""","=""38.764932""","=""""","=""5.59e+07""",C+,"=""0.000000""","=""31.983597""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""""","=""38.789770""","=""""","=""5.58e+07""",C+,"=""0.000000""","=""31.963118""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""38.805453""","=""""","=""5.58e+07""",C+,"=""0.000000""","=""31.950200""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""39.1912""","=""39.190623""","=""5""","=""2.38e+09""",C+,"=""0.000000""","=""31.636190""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""L3492""",
"=""39.1943""","=""39.193798""","=""10""","=""2.38e+09""",C+,"=""0.000000""","=""31.633627""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""L3492""",
"=""39.2002""","=""39.199544""","=""15""","=""2.38e+09""",C+,"=""0.000000""","=""31.628990""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""L3492""",
"=""39.2322""","=""39.231622""","=""15*""","=""""",,"=""0.000000""","=""31.603128""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""",4,6,,"=""""","=""L3492""",
"=""39.2322""","=""39.233939""","=""15*""","=""""",,"=""0.000000""","=""31.601262""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""",4,4,,"=""""","=""L3492""",
"=""""","=""39.787682""","=""""","=""""",,"=""3.324085""","=""34.485538""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).5s""","=""2D""","=""5/2""",6,6,,"=""""","=""L11267""",
"=""""","=""39.787728""","=""""","=""""",,"=""3.324085""","=""34.485502?""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).5s""","=""2D""","=""3/2""",6,4,,"=""""","=""L11267""",
"=""""","=""39.790851""","=""""","=""""",,"=""3.326567""","=""34.485538""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).5s""","=""2D""","=""5/2""",4,6,,"=""""","=""L11267""",
"=""""","=""39.790897""","=""""","=""""",,"=""3.326567""","=""34.485502?""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).5s""","=""2D""","=""3/2""",4,4,,"=""""","=""L11267""",
"=""40.10""","=""40.117984""","=""*""","=""1.88e+08""",D,"=""3.324085""","=""34.228977""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",6,6,,"=""T5723LS""","=""L7084""",
"=""40.10""","=""40.121206""","=""*""","=""1.34e+07""",E,"=""3.326567""","=""34.228977""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",4,6,,"=""T5723LS""","=""L7084""",
