conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p3,4S*,1.5,4.0,0.0,2s2.2p3,2D*,2.5,6.0,3.324085,3.324085,372.98745,2.86e-05,8.9476e-14,3.579e-13,2.3747e-15
2s2.2p3,4S*,1.5,4.0,0.0,2s2.2p3,2D*,2.5,6.0,3.324085,3.324085,372.98745,1.98e-06,6.1945e-15,2.4778e-14,1.644e-16
2s2.2p3,4S*,1.5,4.0,0.0,2s2.2p3,2D*,1.5,4.0,3.326567,3.326567,372.70916,1.86e-05,3.8736e-14,1.5494e-13,1.028e-15
2s2.2p3,4S*,1.5,4.0,0.0,2s2.2p3,2D*,1.5,4.0,3.326567,3.326567,372.70916,0.000159,3.3113e-13,1.3245e-12,8.7882e-15
2s2.2p3,4S*,1.5,4.0,0.0,2s2.2p3,2P*,1.5,4.0,5.017394,5.017394,247.10875,2.43e-07,2.2245e-16,8.8982e-16,5.904e-18
2s2.2p3,4S*,1.5,4.0,0.0,2s2.2p3,2P*,1.5,4.0,5.017394,5.017394,247.10875,0.0522,4.7787e-11,1.9115e-10,1.2683e-12
2s2.2p3,4S*,1.5,4.0,0.0,2s2.2p3,2P*,0.5,2.0,5.017641,5.017641,247.09659,0.0212,9.7028e-12,3.8811e-11,2.5751e-13
2s2.2p3,4S*,1.5,4.0,0.0,2s2.2p3,2P*,0.5,2.0,5.017641,5.017641,247.09659,3.72e-07,1.7026e-16,6.8103e-16,4.5186e-18
2s2.2p3,4S*,1.5,4.0,0.0,2s.2p4,4P,2.5,6.0,14.85792,14.85792,83.44654,861000000.0,0.13483,0.5393,0.0035783
2s2.2p3,4S*,1.5,4.0,0.0,2s.2p4,4P,1.5,4.0,14.878157,14.878157,83.33304,865000000.0,0.090055,0.36022,0.0023901
2s2.2p3,4S*,1.5,4.0,0.0,2s.2p4,4P,0.5,2.0,14.888377,14.888377,83.27583,867000000.0,0.04507,0.18028,0.0011962
