conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,3P,1.0,3.0,0.014032,0.014032,88356.29113,2.61e-05,9.1642e-09,9.1642e-09,2.4322e-10
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,3P,2.0,5.0,0.037961,0.037961,32661.19919,3.17e-11,2.5349e-15,2.5349e-15,6.7275e-17
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p2,1D,2.0,5.0,2.513565,2.513565,493.26036,2.41e-06,4.3954e-14,4.3954e-14,1.1665e-15
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3D*,1.0,3.0,14.88532,14.88532,83.29293,341000000.0,0.1064,0.1064,0.0028239
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3P*,1.0,3.0,17.65309,17.65309,70.23371,606000000.0,0.13445,0.13445,0.0035682
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,3S*,1.0,3.0,24.43576,24.43576,50.73883,1610000000.0,0.18642,0.18642,0.0049475
2s2.2p2,3P,0.0,1.0,0.0,2s.2p3,1P*,1.0,3.0,26.09394,26.09394,47.51456,48600.0,4.9348e-06,4.9348e-06,1.3097e-07
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.(2P*).3s,3P*,1.0,3.0,33.150537,33.150537,37.40036,1260000000.0,0.079269,0.079269,0.0021038
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.(2P*).3s,1P*,1.0,3.0,33.85777,33.85777,36.61913,441000.0,2.6597e-05,2.6597e-05,7.0589e-07
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.(2P*).3d,3D*,1.0,3.0,40.571256,40.571256,30.55962,12000000000.0,0.50403,0.50403,0.013377
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.(2P*).3d,3P*,1.0,3.0,40.863194,40.863194,30.34129,4290000000.0,0.17763,0.17763,0.0047142
2s2.2p2,3P,0.0,1.0,0.0,2s.2p2.(4P).3p,3S*,1.0,3.0,45.038919,45.038919,27.52824,406000000.0,0.013838,0.013838,0.00036725
2s2.2p2,3P,0.0,1.0,0.0,2s.2p2.(4P).3p,3D*,1.0,3.0,46.440965,46.440965,26.69716,3690000000.0,0.11829,0.11829,0.0031393
2s2.2p2,3P,0.0,1.0,0.0,2s.2p2.(4P).3p,3P*,1.0,3.0,46.917833,46.917833,26.42582,2340000000.0,0.073494,0.073494,0.0019505
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.(2P*).4d,3D*,1.0,3.0,47.018174,47.018174,26.36942,3320000000.0,0.10383,0.10383,0.0027556
2s2.2p2,3P,0.0,1.0,0.0,2s2.2p.(2P*).6d,3D*,1.0,3.0,51.4758,51.4758,24.08592,1430000000.0,0.037312,0.037312,0.00099025
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p2,3P,2.0,5.0,0.037961,0.023928,51814.66308,9.76e-05,6.5473e-09,1.9642e-08,1.7377e-10
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p2,3P,2.0,5.0,0.037961,0.023928,51814.66308,7.34e-12,4.9239e-16,1.4772e-15,1.3068e-17
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p2,1D,2.0,5.0,2.513565,2.499533,496.02951,0.00621,3.8178e-11,1.1453e-10,1.0132e-12
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p2,1D,2.0,5.0,2.513565,2.499533,496.02951,4.57e-06,2.8096e-14,8.4287e-14,7.4566e-16
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p2,1S,0.0,1.0,5.354349,5.340317,232.16638,0.215,5.7913e-11,1.7374e-10,1.537e-12
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,5S*,2.0,5.0,7.479321,7.465289,166.08092,220.0,1.5162e-07,4.5487e-07,4.0241e-09
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,3D*,2.0,5.0,14.88472,14.870688,83.37489,458000000.0,0.079551,0.23865,0.0021113
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,3D*,1.0,3.0,14.88532,14.871288,83.37153,248000000.0,0.025843,0.07753,0.00068588
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,3P*,2.0,5.0,17.65299,17.638958,70.28998,447000000.0,0.055183,0.16555,0.0014645
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,3P*,1.0,3.0,17.65309,17.639058,70.28958,466000000.0,0.034517,0.10355,0.00091607
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,3P*,0.0,1.0,17.65454,17.640508,70.2838,1830000000.0,0.045175,0.13553,0.0011989
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,1D*,2.0,5.0,23.19174,23.177708,53.49286,12100.0,8.6514e-07,2.5954e-06,2.2961e-08
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,3S*,1.0,3.0,24.43576,24.421728,50.76799,4820000000.0,0.18625,0.55874,0.004943
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p3,1P*,1.0,3.0,26.09394,26.079908,47.54012,785000.0,2.6598e-05,7.9794e-05,7.0591e-07
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3s,3P*,0.0,1.0,33.135857,33.121825,37.43278,3790000000.0,0.026539,0.079616,0.00070434
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3s,3P*,1.0,3.0,33.150537,33.136505,37.4162,946000000.0,0.019855,0.059565,0.00052695
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3s,3P*,2.0,5.0,33.182387,33.168355,37.38027,950000000.0,0.033168,0.099503,0.00088027
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3s,1P*,1.0,3.0,33.85777,33.843738,36.63431,643000.0,1.2937e-05,3.8812e-05,3.4336e-07
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3d,3D*,1.0,3.0,40.571256,40.557224,30.57019,9010000000.0,0.12624,0.37871,0.0033503
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3d,3D*,2.0,5.0,40.577338,40.563306,30.56561,16200000000.0,0.37817,1.1345,0.010037
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3d,3P*,2.0,5.0,40.849049,40.835017,30.36223,3210000000.0,0.07394,0.22182,0.0019624
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3d,3P*,1.0,3.0,40.863194,40.849162,30.35171,3210000000.0,0.044333,0.133,0.0011766
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).3d,3P*,0.0,1.0,40.870788,40.856756,30.34607,12900000000.0,0.059365,0.1781,0.0015756
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p2.(4P).3p,3S*,1.0,3.0,45.038919,45.024887,27.53682,1220000000.0,0.013869,0.041607,0.00036808
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p2.(4P).3p,3D*,1.0,3.0,46.440965,46.426933,26.70523,2760000000.0,0.029509,0.088528,0.00078318
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p2.(4P).3p,3D*,2.0,5.0,46.452356,46.438324,26.69868,4980000000.0,0.088699,0.2661,0.0023541
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p2.(4P).3p,3P*,2.0,5.0,46.916325,46.902293,26.43457,1760000000.0,0.03073,0.092191,0.00081558
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p2.(4P).3p,3P*,1.0,3.0,46.917833,46.903801,26.43372,1760000000.0,0.018437,0.055311,0.00048932
2s2.2p2,3P,1.0,3.0,0.014032,2s.2p2.(4P).3p,3P*,0.0,1.0,46.91998,46.905948,26.43251,7030000000.0,0.024545,0.073636,0.00065144
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).4d,3D*,1.0,3.0,47.018174,47.004142,26.37729,2490000000.0,0.025973,0.077919,0.00068932
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).4d,3D*,2.0,5.0,47.026342,47.01231,26.37271,4480000000.0,0.077857,0.23357,0.0020663
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).6d,3D*,2.0,5.0,51.4758,51.461768,24.09249,1930000000.0,0.027992,0.083975,0.0007429
2s2.2p2,3P,1.0,3.0,0.014032,2s2.2p.(2P*).6d,3D*,1.0,3.0,51.4758,51.461768,24.09249,1070000000.0,0.0093112,0.027934,0.00024712
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p2,1D,2.0,5.0,2.513565,2.475604,500.82397,0.0181,6.8063e-11,3.4031e-10,1.8064e-12
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p2,1D,2.0,5.0,2.513565,2.475604,500.82397,3.52e-05,1.3236e-13,6.6182e-13,3.513e-15
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p2,1S,0.0,1.0,5.354349,5.316388,233.21133,0.000634,1.0339e-13,5.1695e-13,2.744e-15
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,5S*,2.0,5.0,7.479321,7.44136,166.61496,548.0,2.2807e-07,1.1403e-06,6.053e-09
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,3D*,3.0,7.0,14.88123,14.843269,83.5289,599000000.0,0.087718,0.43859,0.002328
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,3D*,2.0,5.0,14.88472,14.846759,83.50927,144000000.0,0.015055,0.075277,0.00039957
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,3D*,1.0,3.0,14.88532,14.847359,83.50589,15600000.0,0.00097852,0.0048926,2.597e-05
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,3P*,2.0,5.0,17.65299,17.615029,70.38546,1370000000.0,0.10175,0.50876,0.0027005
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,3P*,1.0,3.0,17.65309,17.615129,70.38506,754000000.0,0.0336,0.168,0.00089175
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,1D*,2.0,5.0,23.19174,23.153779,53.54815,258000.0,1.1091e-05,5.5455e-05,2.9435e-07
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,3S*,1.0,3.0,24.43576,24.397799,50.81778,8040000000.0,0.18677,0.93383,0.0049568
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p3,1P*,1.0,3.0,26.09394,26.055979,47.58378,145000.0,2.9532e-06,1.4766e-05,7.8379e-08
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).3s,3P*,1.0,3.0,33.150537,33.112576,37.44324,1580000000.0,0.019926,0.099629,0.00052883
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).3s,3P*,2.0,5.0,33.182387,33.144426,37.40725,2850000000.0,0.059788,0.29894,0.0015868
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).3s,1P*,1.0,3.0,33.85777,33.819809,36.66023,503000.0,6.0809e-06,3.0405e-05,1.6139e-07
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).3d,3D*,1.0,3.0,40.571256,40.533295,30.58824,600000000.0,0.0050498,0.025249,0.00013402
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).3d,3D*,2.0,5.0,40.577338,40.539377,30.58365,5400000000.0,0.075724,0.37862,0.0020097
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).3d,3D*,3.0,7.0,40.586496,40.548535,30.57674,21600000000.0,0.42386,2.1193,0.011249
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).3d,3P*,2.0,5.0,40.849049,40.811088,30.38003,9610000000.0,0.13297,0.66486,0.0035291
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).3d,3P*,1.0,3.0,40.863194,40.825233,30.3695,5340000000.0,0.044302,0.22151,0.0011758
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p2.(4P).3p,3S*,1.0,3.0,45.038919,45.000958,27.55146,2020000000.0,0.013793,0.068964,0.00036606
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p2.(4P).3p,3D*,1.0,3.0,46.440965,46.403004,26.719,184000000.0,0.0011816,0.005908,3.136e-05
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p2.(4P).3p,3D*,2.0,5.0,46.452356,46.414395,26.71245,1660000000.0,0.017758,0.08879,0.0004713
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p2.(4P).3p,3D*,3.0,7.0,46.468675,46.430714,26.70306,6630000000.0,0.099225,0.49613,0.0026334
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p2.(4P).3p,3P*,2.0,5.0,46.916325,46.878364,26.44806,5260000000.0,0.055161,0.27581,0.001464
2s2.2p2,3P,2.0,5.0,0.037961,2s.2p2.(4P).3p,3P*,1.0,3.0,46.917833,46.879872,26.44721,2920000000.0,0.018372,0.091859,0.00048759
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).4d,3D*,1.0,3.0,47.018174,46.980213,26.39073,166000000.0,0.00104,0.0051999,2.7601e-05
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).4d,3D*,2.0,5.0,47.026342,46.988381,26.38614,1490000000.0,0.015552,0.077762,0.00041276
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).4d,3D*,3.0,7.0,47.034243,46.996282,26.3817,5970000000.0,0.08721,0.43605,0.0023146
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).6d,3D*,3.0,7.0,51.4758,51.437839,24.10369,2560000000.0,0.031217,0.15609,0.00082851
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).6d,3D*,2.0,5.0,51.4758,51.437839,24.10369,641000000.0,0.0055832,0.027916,0.00014818
2s2.2p2,3P,2.0,5.0,0.037961,2s2.2p.(2P*).6d,3D*,1.0,3.0,51.4758,51.437839,24.10369,71200000.0,0.0003721,0.0018605,9.8755e-06
2s2.2p2,1D,2.0,5.0,2.513565,2s2.2p2,1S,0.0,1.0,5.354349,2.840784,436.4436,1.71,9.7666e-10,4.8833e-09,2.592e-11
2s2.2p2,1D,2.0,5.0,2.513565,2s.2p3,5S*,2.0,5.0,7.479321,4.965756,249.67839,0.00474,4.43e-12,2.215e-11,1.1757e-13
2s2.2p2,1D,2.0,5.0,2.513565,2s.2p3,3D*,3.0,7.0,14.88123,12.367665,100.24867,18000.0,3.7968e-06,1.8984e-05,1.0077e-07
2s2.2p2,1D,2.0,5.0,2.513565,2s.2p3,3D*,2.0,5.0,14.88472,12.371155,100.22039,3660.0,5.5113e-07,2.7556e-06,1.4627e-08
2s2.2p2,1D,2.0,5.0,2.513565,2s.2p3,3D*,1.0,3.0,14.88532,12.371755,100.21553,2290.0,2.0688e-07,1.0344e-06,5.4906e-09
2s2.2p2,1D,2.0,5.0,2.513565,2s.2p3,3P*,2.0,5.0,17.65299,15.139425,81.89492,6690.0,6.7267e-07,3.3633e-06,1.7853e-08
