conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,3P*,1.0,3.0,10.17645,10.17645,121.83443,2340.0,1.5622e-06,1.5622e-06,4.1461e-08
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,3P*,2.0,5.0,10.21448,10.21448,121.38082,0.0217,2.3966e-11,2.3966e-11,6.3605e-13
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.2p,1P*,1.0,3.0,19.68841,19.68841,62.97319,2872000000.0,0.51224,0.51224,0.013595
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p2,3P,1.0,3.0,26.48528,26.48528,46.81249,0.036,3.5482e-12,3.5482e-12,9.4169e-14
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p2,3P,2.0,5.0,26.51861,26.51861,46.75366,0.299,4.8993e-11,4.8993e-11,1.3003e-12
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p2,1D,2.0,5.0,28.72979,28.72979,43.15527,2920.0,4.0764e-07,4.0764e-07,1.0819e-08
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.3p,1P*,1.0,3.0,72.01311,72.01311,17.21689,29400000000.0,0.39196,0.39196,0.010403
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p.(2P*<3/2>).3d,1P*,1.0,3.0,89.17872,89.17872,13.90289,5130000000.0,0.044597,0.044597,0.0011836
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.4p,1P*,1.0,3.0,91.48556,91.48556,13.55232,9420000000.0,0.077814,0.077814,0.0020652
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.5p,1P*,1.0,3.0,99.4931,99.4931,12.46159,7150000000.0,0.049938,0.049938,0.0013254
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.6p,1P*,1.0,3.0,104.09912,104.09912,11.91021,4640000000.0,0.029603,0.029603,0.00078567
1s2.2s2,1S,0.0,1.0,0.0,1s2.2p.(2P*<3/2>).4d,1P*,1.0,3.0,105.07165,105.07165,11.79997,904000000.0,0.0056612,0.0056612,0.00015025
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.7p,1P*,1.0,3.0,106.73477,106.73477,11.6161,2280000000.0,0.013837,0.013837,0.00036723
1s2.2s2,1S,0.0,1.0,0.0,1s2.2s.8p,1P*,1.0,3.0,108.41761,108.41761,11.4358,1720000000.0,0.010117,0.010117,0.0002685
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.2p,3P*,1.0,3.0,10.17645,0.01687,73493.89354,4.54e-05,1.1029e-08,1.1029e-08,2.9271e-10
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.2p,3P*,2.0,5.0,10.21448,0.0549,22583.6427,1.34e-10,5.123e-15,5.123e-15,1.3596e-16
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.2p,1P*,1.0,3.0,19.68841,9.52883,130.11482,0.0673,5.1245e-11,5.1245e-11,1.36e-12
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p2,3P,1.0,3.0,26.48528,16.3257,75.94419,737300000.0,0.19126,0.19126,0.0050759
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p2,3P,2.0,5.0,26.51861,16.35903,75.78946,0.032,1.3778e-11,1.3778e-11,3.6568e-13
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p2,1D,2.0,5.0,28.72979,18.57021,66.7651,0.135,4.5109e-11,4.5109e-11,1.1972e-12
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.3s,3S,1.0,3.0,67.81597,57.65639,21.50398,2030000000.0,0.04222,0.04222,0.0011205
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.3d,3D,1.0,3.0,74.48337,64.32379,19.27501,38300000000.0,0.63998,0.63998,0.016985
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p.(2P*<1/2>).3p,3D,1.0,3.0,83.95599,73.79641,16.80084,4190000000.0,0.053193,0.053193,0.0014118
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p.(2P*<3/2>).3p,3S,1.0,3.0,84.79811,74.63853,16.61129,1820000000.0,0.022587,0.022587,0.00059946
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p.(2P*<3/2>).3p,3P,1.0,3.0,85.4893,75.32972,16.45887,4100000000.0,0.049953,0.049953,0.0013258
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.4s,3S,1.0,3.0,89.5761,79.41652,15.61189,365000000.0,0.0040011,0.0040011,0.00010619
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.4d,3D,1.0,3.0,92.02596,81.86638,15.1447,12600000000.0,0.12998,0.12998,0.0034496
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.5s,3S,1.0,3.0,98.70022,88.54064,14.00308,366000000.0,0.0032278,0.0032278,8.5666e-05
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.5d,3D,1.0,3.0,99.98661,89.82703,13.80255,6250000000.0,0.053552,0.053552,0.0014213
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p.(2P*<1/2>).4p,3D,1.0,3.0,103.01438,92.8548,13.35248,2640000000.0,0.021169,0.021169,0.00056184
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p.(2P*<3/2>).4p,3S,1.0,3.0,103.16378,93.0042,13.33103,833000000.0,0.0066581,0.0066581,0.00017671
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2p.(2P*<3/2>).4p,3P,1.0,3.0,103.52333,93.36375,13.27969,2220000000.0,0.017608,0.017608,0.00046732
1s2.2s.2p,3P*,0.0,1.0,10.15958,1s2.2s.6d,3D,1.0,3.0,104.2748,94.11522,13.17366,3080000000.0,0.024041,0.024041,0.00063804
