spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
O VII,O,6,1s2,1S,0.0,1,0.0,0.00015,even,,no,739.32697,,,,,,,,,,L21139
O VII,O,6,1s.2s,3S,1.0,3,561.072349,1.7e-05,even,,no,739.32697,0.0009615384615384616,"ASD 1/sum(Aki), J-resolved",0.0009615384615384616,1/1,yes,561.072349,561.072349,,,L21139
O VII,O,6,1s.2p,3P*,0.0,1,568.632762,4e-06,odd,,no,739.32697,1.2825445684237528e-08,"ASD 1/sum(Aki), J-resolved",1.2825445684237528e-08,1/1,yes,7.560412999999926,7.560412999999926,,,L21139
O VII,O,6,1s.2p,3P*,1.0,3,568.640052,3e-06,odd,,no,739.32697,1.2787723785166241e-08,"ASD 1/sum(Aki), J-resolved",1.2787723785166241e-08,1/2,no,7.567702999999938,568.640052,,,L21139
O VII,O,6,1s.2p,3P*,2.0,5,568.708437,3e-06,odd,,no,739.32697,1.2397565118210783e-08,"ASD 1/sum(Aki), J-resolved",1.2397565118210783e-08,2/2,yes,7.6360879999999725,568.708437,,,L21139
O VII,O,6,1s.2s,1S,0.0,1,568.899694,1.6e-05,even,,no,739.32697,,,,,,,,,,L21139
O VII,O,6,1s.2p,1P*,1.0,3,573.9610626,1.4e-06,odd,,no,739.32697,3.022038085815208e-13,"ASD 1/sum(Aki), J-resolved",3.022038085815208e-13,2/2,yes,573.9610626,573.9610626,,,L21139
O VII,O,6,1s.3s,3S,1.0,3,662.0341,0.0009,even,,no,739.32697,4.443062087964937e-11,"ASD 1/sum(Aki), J-resolved",4.443062087964937e-11,4/4,yes,93.32566299999996,662.0341,,,L21139
O VII,O,6,1s.3p,3P*,0.0,1,664.0908,0.0004,odd,,no,739.32697,,,,,,,,,,L21139
O VII,O,6,1s.3p,3P*,1.0,3,664.0937,0.0004,odd,,no,739.32697,,,,,,,,,,L21139
