conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2,1S,0.0,1.0,0.0,1s.2s,3S,1.0,3.0,561.072349,561.072349,2.20977,1040.0,2.2841e-10,2.2841e-10,6.0619e-12
1s2,1S,0.0,1.0,0.0,1s.2p,3P*,2.0,5.0,568.708437,568.708437,2.1801,331000.0,1.1793e-07,1.1793e-07,3.1298e-09
1s2,1S,0.0,1.0,0.0,1s.2p,1P*,1.0,3.0,573.961063,573.961063,2.16015,3309000000000.0,0.69446,0.69446,0.018431
1s2,1S,0.0,1.0,0.0,1s.3s,3S,1.0,3.0,662.0341,662.0341,1.87278,357.0,5.6315e-11,5.6315e-11,1.4946e-12
1s2,1S,0.0,1.0,0.0,1s.3d,1D,2.0,5.0,665.2449,665.2449,1.86374,145100000.0,3.778e-05,3.778e-05,1.0027e-06
1s2,1S,0.0,1.0,0.0,1s.3p,1P*,1.0,3.0,665.5744,665.5744,1.86282,936500000000.0,0.14616,0.14616,0.0038791
1s2,1S,0.0,1.0,0.0,1s.4s,3S,1.0,3.0,696.3327,696.3327,1.78053,184.0,2.6236e-11,2.6236e-11,6.963e-13
1s.2s,3S,1.0,3.0,561.072349,1s.2p,3P*,0.0,1.0,568.632762,7.560413,163.9913,77970000.0,0.010479,0.031436,0.0002781
1s.2s,3S,1.0,3.0,561.072349,1s.2p,3P*,1.0,3.0,568.640052,7.567703,163.83333,78200000.0,0.031468,0.094404,0.00083516
1s.2s,3S,1.0,3.0,561.072349,1s.2p,3P*,2.0,5.0,568.708437,7.636088,162.36612,80330000.0,0.052915,0.15874,0.0014044
1s.2p,3P*,0.0,1.0,568.632762,1s.3s,3S,1.0,3.0,662.0341,93.401338,13.27435,2505000000.0,0.019852,0.019852,0.00052689
1s.2p,3P*,0.0,1.0,568.632762,1s.3d,3D,1.0,3.0,665.1906,96.557838,12.84041,89820000000.0,0.66606,0.66606,0.017677
1s.2p,3P*,0.0,1.0,568.632762,1s.4s,3S,1.0,3.0,696.3327,127.699938,9.70903,987700000.0,0.0041875,0.0041875,0.00011114
1s.2p,3P*,0.0,1.0,568.632762,1s.4d,3D,1.0,3.0,697.6272,128.994438,9.61159,29580000000.0,0.12291,0.12291,0.0032619
1s.2p,3P*,0.0,1.0,568.632762,1s.5d,3D,1.0,3.0,712.6427,144.009938,8.60942,13690000000.0,0.045639,0.045639,0.0012112
1s.2p,3P*,0.0,1.0,568.632762,1s.6d,3D,1.0,3.0,720.7978,152.165038,8.14801,7515000000.0,0.022439,0.022439,0.00059554
1s.2p,3P*,0.0,1.0,568.632762,1s.7d,3D,1.0,3.0,725.7146,157.081838,7.89297,4610000000.0,0.012917,0.012917,0.00034282
1s.2p,3P*,1.0,3.0,568.640052,1s.3s,3S,1.0,3.0,662.0341,93.394048,13.27539,7512000000.0,0.019848,0.059543,0.00052676
1s.2p,3P*,1.0,3.0,568.640052,1s.3d,3D,1.0,3.0,665.1906,96.550548,12.84138,67350000000.0,0.1665,0.49951,0.004419
1s.2p,3P*,1.0,3.0,568.640052,1s.3d,3D,2.0,5.0,665.1916,96.551548,12.84124,121300000000.0,0.49979,1.4994,0.013264
1s.2p,3P*,1.0,3.0,568.640052,1s.4s,3S,1.0,3.0,696.3327,127.692648,9.70958,2963000000.0,0.0041879,0.012564,0.00011115
1s.2p,3P*,1.0,3.0,568.640052,1s.4d,3D,1.0,3.0,697.6272,128.987148,9.61214,22180000000.0,0.030723,0.092168,0.00081538
1s.2p,3P*,1.0,3.0,568.640052,1s.4d,3D,2.0,5.0,697.6277,128.987648,9.6121,39930000000.0,0.092182,0.27654,0.0024465
1s.2p,3P*,1.0,3.0,568.640052,1s.5d,3D,1.0,3.0,712.6427,144.002648,8.60986,10260000000.0,0.011402,0.034207,0.00030262
1s.2p,3P*,1.0,3.0,568.640052,1s.5d,3D,2.0,5.0,712.6429,144.002848,8.60984,18480000000.0,0.03423,0.10269,0.00090845
1s.2p,3P*,1.0,3.0,568.640052,1s.6d,3D,1.0,3.0,720.7978,152.157748,8.1484,5635000000.0,0.0056092,0.016827,0.00014887
1s.2p,3P*,1.0,3.0,568.640052,1s.6d,3D,2.0,5.0,720.7979,152.157848,8.14839,10140000000.0,0.016822,0.050467,0.00044647
1s.2p,3P*,1.0,3.0,568.640052,1s.7d,3D,2.0,5.0,725.7146,157.074548,7.89333,6220000000.0,0.0096832,0.02905,0.00025699
1s.2p,3P*,1.0,3.0,568.640052,1s.7d,3D,1.0,3.0,725.7146,157.074548,7.89333,3450000000.0,0.0032226,0.0096677,8.5526e-05
1s.2p,3P*,2.0,5.0,568.708437,1s.3s,3S,1.0,3.0,662.0341,93.325663,13.28511,12490000000.0,0.019829,0.099146,0.00052627
1s.2p,3P*,2.0,5.0,568.708437,1s.3d,3D,1.0,3.0,665.1906,96.482163,12.85048,4481000000.0,0.0066562,0.033281,0.00017665
1s.2p,3P*,2.0,5.0,568.708437,1s.3d,3D,2.0,5.0,665.1916,96.483163,12.85035,40330000000.0,0.099843,0.49921,0.0026498
1s.2p,3P*,2.0,5.0,568.708437,1s.3d,3D,3.0,7.0,665.1979,96.489463,12.84951,161300000000.0,0.55898,2.7949,0.014835
1s.2p,3P*,2.0,5.0,568.708437,1s.4s,3S,1.0,3.0,696.3327,127.624263,9.71478,4930000000.0,0.0041853,0.020926,0.00011108
1s.2p,3P*,2.0,5.0,568.708437,1s.4d,3D,1.0,3.0,697.6272,128.918763,9.61723,1476000000.0,0.001228,0.00614,3.2591e-05
1s.2p,3P*,2.0,5.0,568.708437,1s.4d,3D,2.0,5.0,697.6277,128.919263,9.6172,13290000000.0,0.018428,0.092141,0.00048908
1s.2p,3P*,2.0,5.0,568.708437,1s.4d,3D,3.0,7.0,697.6302,128.921763,9.61701,53230000000.0,0.10333,0.51665,0.0027424
1s.2p,3P*,2.0,5.0,568.708437,1s.5d,3D,1.0,3.0,712.6427,143.934263,8.61395,683300000.0,0.00045606,0.0022803,1.2104e-05
