spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
O VIII,O,7,1s,2S,0.5,2,0.0,1.2e-06,even,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,2p,2P*,0.5,2,653.4938315,1.2e-06,odd,,no,871.4099138,3.892868265337901e-13,"ASD 1/sum(Aki), J-resolved",3.892868265337901e-13,1/1,yes,653.4938315,653.4938315,,,L19200
O VIII,O,7,2p,2P*,1.5,4,653.6801232,1.2e-06,odd,,no,871.4099138,3.89741990802089e-13,"ASD 1/sum(Aki), J-resolved",3.89741990802089e-13,1/1,yes,653.6801232,653.6801232,,,L19200
O VIII,O,7,2s,2S,0.5,2,653.5029124,1.2e-06,even,,no,871.4099138,,,,,,,,,,L19200
O VIII,O,7,3p,2P*,0.5,2,774.579018,1e-06,odd,,no,871.4099138,1.2862894408499801e-12,"ASD 1/sum(Aki), J-resolved",1.2862894408499801e-12,2/2,yes,774.579018,774.579018,,,L3620c107
O VIII,O,7,3p,2P*,1.5,4,774.634218,5e-07,odd,,no,871.4099138,1.2865674637380961e-12,"ASD 1/sum(Aki), J-resolved",1.2865674637380961e-12,2/2,yes,774.634218,774.634218,,,L3620c107
O VIII,O,7,3s,2S,0.5,2,774.5817281,1.2e-06,even,,no,871.4099138,3.836429971725511e-11,"ASD 1/sum(Aki), J-resolved",3.836429971725511e-11,2/2,yes,120.90160489999994,121.08789659999991,,,L3620c107
O VIII,O,7,3d,2D,1.5,4,774.63412537,2.5e-08,even,,no,871.4099138,3.768195674865005e-12,"ASD 1/sum(Aki), J-resolved",3.768195674865005e-12,2/2,yes,121.14029386999994,121.14029386999994,,,L3620c107
O VIII,O,7,3d,2D,2.5,6,774.652496814,2.5e-08,even,,no,871.4099138,3.7730153939028075e-12,"ASD 1/sum(Aki), J-resolved",3.7730153939028075e-12,1/1,yes,120.97237361399993,120.97237361399993,,,L3620c107
O VIII,O,7,4p,2P*,0.5,2,816.951257,5e-07,odd,,no,871.4099138,3.003392632317466e-12,"ASD 1/sum(Aki), J-resolved",3.003392632317466e-12,4/4,yes,816.951257,816.951257,,,L3620c107
O VIII,O,7,4p,2P*,1.5,4,816.97454286,2.5e-07,odd,,no,871.4099138,3.0028804530169475e-12,"ASD 1/sum(Aki), J-resolved",3.0028804530169475e-12,5/5,yes,816.97454286,816.97454286,,,L3620c107
O VIII,O,7,4s,2S,0.5,2,816.9524042,6e-07,even,,no,871.4099138,5.491216798730431e-11,"ASD 1/sum(Aki), J-resolved",5.491216798730431e-11,4/4,yes,163.27228100000002,163.4585727,,,L3620c107
O VIII,O,7,4d,2D,1.5,4,816.97450318,2.5e-07,even,,no,871.4099138,8.804723558094446e-12,"ASD 1/sum(Aki), J-resolved",8.804723558094446e-12,4/4,yes,163.48067168,163.48067168,,,L3620c107
O VIII,O,7,4d,2D,2.5,6,816.98225418,2.5e-07,even,,no,871.4099138,8.817098116667843e-12,"ASD 1/sum(Aki), J-resolved",8.817098116667843e-12,2/2,yes,163.30213098000002,163.30213098000002,,,L3620c107
O VIII,O,7,4f,2F*,2.5,6,816.98224019,1.1e-07,odd,,no,871.4099138,1.7682840571509407e-11,"ASD 1/sum(Aki), J-resolved",1.7682840571509407e-11,2/2,yes,42.34811481999998,42.34811481999998,,,L3620c107
O VIII,O,7,4f,2F*,3.5,8,816.98611418,1.1e-07,odd,,no,871.4099138,1.7690035203170053e-11,"ASD 1/sum(Aki), J-resolved",1.7690035203170053e-11,1/1,yes,42.333617366,42.333617366,,,L3620c107
O VIII,O,7,5p,2P*,0.5,2,836.5603164,2.5e-07,odd,,no,871.4099138,5.807206662166856e-12,"ASD 1/sum(Aki), J-resolved",5.807206662166856e-12,6/6,yes,836.5603164,836.5603164,,,L3620c107
O VIII,O,7,5p,2P*,1.5,4,836.57223773,1.2e-07,odd,,no,871.4099138,5.805144754970732e-12,"ASD 1/sum(Aki), J-resolved",5.805144754970732e-12,8/8,yes,836.57223773,836.57223773,,,L3620c107
O VIII,O,7,5s,2S,0.5,2,836.56090475,2.5e-07,even,,no,871.4099138,8.541854231549167e-11,"ASD 1/sum(Aki), J-resolved",8.541854231549167e-11,6/6,yes,182.88078154999994,183.0670732499999,,,L3620c107
O VIII,O,7,5d,2D,1.5,4,836.5722174,2.5e-07,even,,no,871.4099138,1.696771637444017e-11,"ASD 1/sum(Aki), J-resolved",1.696771637444017e-11,7/7,yes,183.07838589999994,183.07838589999994,,,L3620c107
O VIII,O,7,5d,2D,2.5,6,836.57618589,2.5e-07,even,,no,871.4099138,1.6992486666666917e-11,"ASD 1/sum(Aki), J-resolved",1.6992486666666917e-11,5/5,yes,182.89606269,182.89606269,,,L3620c107
O VIII,O,7,5f,2F*,2.5,6,836.57617868,1.1e-07,odd,,no,871.4099138,3.420919125708857e-11,"ASD 1/sum(Aki), J-resolved",3.420919125708857e-11,4/4,yes,61.942053310000006,61.942053310000006,,,L3620c107
O VIII,O,7,5f,2F*,3.5,8,836.57816224,1.1e-07,odd,,no,871.4099138,3.422430610219378e-11,"ASD 1/sum(Aki), J-resolved",3.422430610219378e-11,2/2,yes,61.92566542600002,61.92566542600002,,,L3620c107
O VIII,O,7,5g,2G,3.5,8,836.578158482,2.5e-08,even,,no,871.4099138,5.732347522422077e-11,"ASD 1/sum(Aki), J-resolved",5.732347522422077e-11,2/2,yes,19.59591829200008,19.59591829200008,,,L3620c107
O VIII,O,7,5g,2G,4.5,10,836.579348432,2.5e-08,even,,no,871.4099138,5.733287467033597e-11,"ASD 1/sum(Aki), J-resolved",5.733287467033597e-11,1/1,yes,19.593234252000002,19.593234252000002,,,L3620c107
O VIII,O,7,6p,2P*,0.5,2,847.21080161,1.2e-07,odd,,no,871.4099138,9.965521289442786e-12,"ASD 1/sum(Aki), J-resolved",9.965521289442786e-12,8/8,yes,847.21080161,847.21080161,,,L3620c107
O VIII,O,7,6p,2P*,1.5,4,847.21770014,9e-08,odd,,no,871.4099138,9.960746590229756e-12,"ASD 1/sum(Aki), J-resolved",9.960746590229756e-12,11/11,yes,847.21770014,847.21770014,,,L3620c107
O VIII,O,7,6s,2S,0.5,2,847.21114235,1.2e-07,even,,no,871.4099138,1.2978854849678902e-10,"ASD 1/sum(Aki), J-resolved",1.2978854849678902e-10,8/8,yes,193.53101915000002,193.71731085,,,L3620c107
O VIII,O,7,6d,2D,1.5,4,847.21768819,1.2e-07,even,,no,871.4099138,2.900860566394766e-11,"ASD 1/sum(Aki), J-resolved",2.900860566394766e-11,10/10,yes,193.72385668999993,193.72385668999993,,,L3620c107
O VIII,O,7,6d,2D,2.5,6,847.21998475,1.2e-07,even,,no,871.4099138,2.9052109080129492e-11,"ASD 1/sum(Aki), J-resolved",2.9052109080129492e-11,8/8,yes,193.53986154999996,193.53986154999996,,,L3620c107
O VIII,O,7,6f,2F*,2.5,6,847.2199806,9e-08,odd,,no,871.4099138,8.462482809523983e-11,"ASD 1/sum(Aki), J-resolved",8.462482809523983e-11,5/5,yes,72.58585522999999,72.58585522999999,,,L3620c107
O VIII,O,7,6f,2F*,3.5,8,847.22112852,9e-08,odd,,no,871.4099138,8.466837366574814e-11,"ASD 1/sum(Aki), J-resolved",8.466837366574814e-11,4/4,yes,72.56863170600002,72.56863170600002,,,L3620c107
O VIII,O,7,6g,2G,3.5,8,847.221126332,2.5e-08,even,,no,871.4099138,9.838675242056007e-11,"ASD 1/sum(Aki), J-resolved",9.838675242056007e-11,4/4,yes,30.23888614200007,30.23888614200007,,,L3620c107
O VIII,O,7,6g,2G,4.5,10,847.221814977,2.5e-08,even,,no,871.4099138,9.8405825624877e-11,"ASD 1/sum(Aki), J-resolved",9.8405825624877e-11,2/2,yes,30.23570079700005,30.23570079700005,,,L3620c107
O VIII,O,7,6h,2H*,4.5,10,847.221813626,6e-09,odd,,no,871.4099138,1.4826786071717164e-10,"ASD 1/sum(Aki), J-resolved",1.4826786071717164e-10,2/2,yes,10.643655143999922,10.643655143999922,,,L3620c107
O VIII,O,7,6h,2H*,5.5,12,847.222272686,6e-09,odd,,no,871.4099138,1.4828435006969363e-10,"ASD 1/sum(Aki), J-resolved",1.4828435006969363e-10,1/1,yes,10.642924254000036,10.642924254000036,,,L3620c107
O VIII,O,7,7p,2P*,0.5,2,853.63208405,1e-07,odd,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7p,2P*,1.5,4,853.63642806,7e-08,odd,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7s,2S,0.5,2,853.63229874,1.1e-07,even,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7d,2D,1.5,4,853.63642049,9e-08,even,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7d,2D,2.5,6,853.63786672,9e-08,even,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7f,2F*,2.5,6,853.63786408,6e-08,odd,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7f,2F*,3.5,8,853.63858695,6e-08,odd,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7g,2G,3.5,8,853.638585582,2.5e-08,even,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7g,2G,4.5,10,853.639019254,2.5e-08,even,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7h,2H*,4.5,10,853.639018405,9e-09,odd,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7h,2H*,5.5,12,853.639307498,9e-09,odd,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7i,2I,5.5,12,853.6393069176,2.5e-09,even,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,7i,2I,6.5,14,853.6395134033,2.5e-09,even,,no,871.4099138,,,,,,,,,,L3620c107
O VIII,O,7,8p,2P*,0.5,2,857.79942601,7e-08,odd,,no,871.4099138,,,,,,,,,,L3620c107
