spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
P I,P,0,3s2.3p3,4S*,1.5,4,0.0,0.0,odd,,no,10.486686,,metastable - no allowed radiative channel,,,,,,,yes,L7147
P I,P,0,3s2.3p3,2D*,1.5,4,1.408587,,odd,,no,10.486686,3367.0033670033667,"ASD 1/sum(Aki), J-resolved",3367.0033670033667,2/2,yes,1.408587,1.408587,3367.0,,
P I,P,0,3s2.3p3,2D*,2.5,6,1.410522,,odd,,no,10.486686,5021.5676329834705,"ASD 1/sum(Aki), J-resolved",5021.5676329834705,4/4,yes,1.410522,1.410522,3367.0,,
P I,P,0,3s2.3p3,2P*,0.5,2,2.32132,,odd,,no,10.486686,5.083762614721458,"ASD 1/sum(Aki), J-resolved",5.083762614721458,5/5,yes,0.912733,2.32132,5.08376,,
P I,P,0,3s2.3p3,2P*,1.5,4,2.324457,,odd,,no,10.486686,3.38294449628337,"ASD 1/sum(Aki), J-resolved",3.38294449628337,8/8,yes,2.324457,2.324457,5.08376,,
P I,P,0,3s2.3p2.(3P).4s,4P,0.5,2,6.9356043,,even,,no,10.486686,4.6842795578040096e-09,"ASD 1/sum(Aki), J-resolved",4.6842795578040096e-09,4/4,yes,6.9356043,6.9356043,,,
P I,P,0,3s2.3p2.(3P).4s,4P,1.5,4,6.9543513,,even,,no,10.486686,4.6531755596606904e-09,"ASD 1/sum(Aki), J-resolved",4.6531755596606904e-09,5/5,yes,6.9543513,6.9543513,,,
P I,P,0,3s2.3p2.(3P).4s,4P,2.5,6,6.9852271,,even,,no,10.486686,4.6063114361893594e-09,"ASD 1/sum(Aki), J-resolved",4.6063114361893594e-09,4/4,yes,6.9852271,6.9852271,,,
P I,P,0,3s2.3p2.(3P).4s,2P,0.5,2,7.1757806,,even,,no,10.486686,2.3857807467493736e-09,"ASD 1/sum(Aki), J-resolved",2.3857807467493736e-09,4/4,yes,5.767193600000001,7.1757806,,,
P I,P,0,3s2.3p2.(3P).4s,2P,1.5,4,7.2127021,,even,,no,10.486686,2.384586035864174e-09,"ASD 1/sum(Aki), J-resolved",2.384586035864174e-09,5/5,yes,5.802180099999999,7.2127021,,,
P I,P,0,3s.3p4,4P,2.5,6,7.3813433,,even,,no,10.486686,2.564102564102564e-08,"ASD 1/sum(Aki), J-resolved",2.564102564102564e-08,1/1,yes,7.3813433,7.3813433,2.5641e-08,,
P I,P,0,3s.3p4,4P,1.5,4,7.4038306,,even,,no,10.486686,2.5e-08,"ASD 1/sum(Aki), J-resolved",2.5e-08,1/1,yes,7.4038306,7.4038306,2.5641e-08,,
P I,P,0,3s.3p4,4P,0.5,2,7.4167807,,even,,no,10.486686,2.564102564102564e-08,"ASD 1/sum(Aki), J-resolved",2.564102564102564e-08,1/1,yes,7.4167807,7.4167807,2.5641e-08,,
P I,P,0,3s2.3p2.(3P).4p,2S*,0.5,2,7.9646942,,odd,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(1D).4s,2D,1.5,4,8.0783444,,even,,no,10.486686,2.9204908060028935e-09,"ASD 1/sum(Aki), J-resolved",2.9204908060028935e-09,5/5,yes,6.669757400000001,8.0783444,,,
P I,P,0,3s2.3p2.(1D).4s,2D,2.5,6,8.078454,,even,,no,10.486686,2.8965021839626466e-09,"ASD 1/sum(Aki), J-resolved",2.8965021839626466e-09,4/4,yes,6.667932,8.078454,,,
P I,P,0,3s2.3p2.(3P).4p,4D*,0.5,2,8.1052879,,odd,,no,10.486686,4.926108374384236e-08,"ASD 1/sum(Aki), J-resolved",4.926108374384236e-08,2/2,yes,1.1696836000000008,1.1696836000000008,,,
P I,P,0,3s2.3p2.(3P).4p,4D*,1.5,4,8.1147813,,odd,,no,10.486686,4.8192771084337347e-08,"ASD 1/sum(Aki), J-resolved",4.8192771084337347e-08,3/3,yes,1.1604300000000007,1.179177000000001,,,
P I,P,0,3s2.3p2.(3P).4p,4D*,2.5,6,8.1315198,,odd,,no,10.486686,4.761904761904762e-08,"ASD 1/sum(Aki), J-resolved",4.761904761904762e-08,2/2,yes,1.1771684999999996,1.1771684999999996,,,
P I,P,0,3s2.3p2.(3P).4p,4D*,3.5,8,8.1567289,,odd,,no,10.486686,4.761904761904762e-08,"ASD 1/sum(Aki), J-resolved",4.761904761904762e-08,1/1,yes,1.1715017999999988,1.1715017999999988,,,
P I,P,0,3s2.3p2.(3P).4p,4P*,0.5,2,8.225538,,odd,,no,10.486686,3.787878787878788e-08,"ASD 1/sum(Aki), J-resolved",3.787878787878788e-08,2/2,yes,1.2711867000000003,1.2899337000000006,,,
P I,P,0,3s2.3p2.(3P).4p,4P*,1.5,4,8.2276264,,odd,,no,10.486686,3.9215686274509804e-08,"ASD 1/sum(Aki), J-resolved",3.9215686274509804e-08,3/3,yes,1.2920221000000005,1.2920221000000005,,,
P I,P,0,3s2.3p2.(3P).4p,4P*,2.5,6,8.2504346,,odd,,no,10.486686,3.831417624521073e-08,"ASD 1/sum(Aki), J-resolved",3.831417624521073e-08,2/2,yes,1.2652074999999998,1.2960833000000003,,,
P I,P,0,3s2.3p2.(3P).4p,2D*,1.5,4,8.2837898,,odd,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(3P).4p,2D*,2.5,6,8.3210594,,odd,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(3P).4p,4S*,1.5,4,8.2864403,,odd,,no,10.486686,3.4965034965034967e-08,"ASD 1/sum(Aki), J-resolved",3.4965034965034967e-08,3/3,yes,1.3012132000000003,1.350836000000001,,,
P I,P,0,3s2.3p2.(3P).3d,2P,1.5,4,8.4196598,,even,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(3P).3d,2P,0.5,2,8.4466228,,even,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(3P).4p,2P*,0.5,2,8.4273389,,odd,,no,10.486686,3.8022813688212925e-08,"ASD 1/sum(Aki), J-resolved",3.8022813688212925e-08,2/2,yes,1.2515583000000001,1.2515583000000001,,,
P I,P,0,3s2.3p2.(3P).4p,2P*,1.5,4,8.4418455,,odd,,no,10.486686,3.9215686274509804e-08,"ASD 1/sum(Aki), J-resolved",3.9215686274509804e-08,2/2,yes,1.2291433999999999,1.266064899999999,,,
P I,P,0,3s2.3p2.(3P).3d,4F,1.5,4,8.4536377,,even,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(3P).3d,4F,2.5,6,8.4634281,,even,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(3P).3d,4F,3.5,8,8.4777261,,even,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(3P).3d,4F,4.5,10,8.496966,,even,,no,10.486686,,,,,,,,,,
P I,P,0,3s2.3p2.(3P).3d,4D,0.5,2,8.6637719,,even,,no,10.486686,,,,,,,,,,
