Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p2""","=""3P""","=""0""",1,"=""""","=""0.000000""","=""""","=""0""","=""                                                    ""","=""L7147"""
"=""3s2.3p2""","=""3P""","=""1""",3,"=""""","=""0.020445""","=""""","=""""","=""                                                    ""","="""""
"=""3s2.3p2""","=""3P""","=""2""",5,"=""""","=""0.058163""","=""""","=""""","=""                                                    ""","="""""
"=""3s2.3p2""","=""1D""","=""2""",5,"=""""","=""1.101266""","=""""","=""""","=""                                                    ""","="""""
"=""3s2.3p2""","=""1S""","=""0""",1,"=""""","=""2.675037""","=""""","=""""","=""                                                    ""","="""""
"=""3s.3p3""","=""5S*""","=""2""",5,"=""""","=""5.665708""","=""""","=""""","="" 100                                                ""","="""""
"=""3s.3p3""","=""3D*""","=""1""",3,"=""""","=""8.090149""","=""""","=""""","=""  81         :    17  3p.3d                3D*      ""","="""""
"=""3s.3p3""","=""3D*""","=""2""",5,"=""""","=""8.092740""","=""""","=""""","=""  81         :    17  3p.3d                3D*      ""","="""""
"=""3s.3p3""","=""3D*""","=""3""",7,"=""""","=""8.097057""","=""""","=""""","=""  81         :    17  3p.3d                3D*      ""","="""""
"=""3s.3p3""","=""3P*""","=""2""",5,"=""""","=""9.517530""","=""""","=""""","=""  71         :    25  3p.3d                3P*      ""","="""""
"=""3s.3p3""","=""3P*""","=""1""",3,"=""""","=""9.523515""","=""""","=""""","=""  74         :    25  3p.3d                3P*      ""","="""""
"=""3s.3p3""","=""3P*""","=""0""",1,"=""""","=""9.524852""","=""""","=""""","=""  74         :    25  3p.3d                3P*      ""","="""""
"=""3s2.3p.3d""","=""1D*""","=""2""",5,"=""""","=""9.634836""","=""""","=""""","=""  63         :    32  3s.3p3               1D*      ""","="""""
"=""3s2.3p.4s""","=""3P*""","=""0""",1,"=""""","=""10.736728""","=""""","=""""","="" 100                                                ""","="""""
